院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
北京大学医学部,安徽,历史类,2025,本科批,663,43,
西安交通大学,安徽,历史类,2025,本科批,631,713,
西安交通大学,安徽,历史类,2025,本科提前批,630,763,
华东师范大学,安徽,历史类,2025,国家专项计划批,627,934,
华东师范大学,安徽,历史类,2025,本科批,627,934,
中南大学,安徽,历史类,2025,本科批,622,1238,23
对外经济贸易大学,安徽,历史类,2025,本科批,621,1310,27
上海财经大学,安徽,历史类,2025,本科批,621,1310,
山东大学,安徽,历史类,2025,本科批,618,1545,85
吉林大学,安徽,历史类,2025,本科批,617,1630,33
华东师范大学,安徽,历史类,2025,高校专项计划批,617,1630,
华中师范大学,安徽,历史类,2025,本科批,616,1730,
南京师范大学,安徽,历史类,2025,本科批,616,1730,
华东师范大学,安徽,历史类,2025,本科提前批,616,1730,
北京邮电大学,安徽,历史类,2025,本科批,615,1806,14
中央民族大学,安徽,历史类,2025,本科批,615,1806,
华中师范大学,安徽,历史类,2025,国家专项计划批,613,1891,
中国海洋大学,安徽,历史类,2025,本科批,612,2093,
北京科技大学,安徽,历史类,2025,本科批,611,2198,18
兰州大学,安徽,历史类,2025,本科批,611,2198,22
北京中医药大学,安徽,历史类,2025,本科批,609,2382,
中央财经大学,安徽,历史类,2025,本科批,609,2382,
西北政法大学,安徽,历史类,2025,本科批,606,2700,
北京林业大学,安徽,历史类,2025,本科批,605,2806,
南京师范大学,安徽,历史类,2025,高校专项计划批,605,2806,
北京外国语大学,安徽,历史类,2025,本科批,603,3034,
中国石油大学(北京),安徽,历史类,2025,本科批,603,3034,
中国人民公安大学,安徽,历史类,2025,本科提前批,603,3034,
南京师范大学,安徽,历史类,2025,国家专项计划批,602,3157,
北京化工大学,安徽,历史类,2025,本科批,602,3157,
南京理工大学,安徽,历史类,2025,本科批,602,3157,
深圳大学,安徽,历史类,2025,本科批,602,3157,20
北京林业大学,安徽,历史类,2025,国家专项计划批,601,3285,
华东理工大学,安徽,历史类,2025,本科批,600,3415,
中国传媒大学,安徽,历史类,2025,本科批,600,3415,
中国地质大学(北京),安徽,历史类,2025,本科批,599,3545,
中国地质大学(武汉),安徽,历史类,2025,本科批,599,3545,
武汉理工大学,安徽,历史类,2025,本科批,598,3680,
华东理工大学,安徽,历史类,2025,国家专项计划批,597,3818,
中国石油大学(华东),安徽,历史类,2025,本科批,595,4107,
大连海事大学,安徽,历史类,2025,本科批,594,4267,
江南大学,安徽,历史类,2025,本科批,594,4267,39
华中师范大学,安徽,历史类,2025,高校专项计划批,591,4725,
北京工商大学,安徽,历史类,2025,本科批,590,4870,6
中央戏剧学院,安徽,历史类,2025,本科批,587,5358,
江苏大学,安徽,历史类,2025,本科批,586,5530,8
南京工业大学,安徽,历史类,2025,本科批,586,5530,3
首都经济贸易大学,安徽,历史类,2025,本科批,586,5530,
上海海事大学,安徽,历史类,2025,本科批,585,5713,
山东科技大学,安徽,历史类,2025,本科批,584,5893,2
上海海洋大学,安徽,历史类,2025,本科批,583,6080,
浙江工商大学,安徽,历史类,2025,本科批,583,6080,36
中国刑事警察学院,安徽,历史类,2025,本科提前批,583,6080,20
东北林业大学,安徽,历史类,2025,本科批,582,6237,
扬州大学,安徽,历史类,2025,本科批,582,6237,19
江苏师范大学,安徽,历史类,2025,本科批,581,6406,
西南石油大学,安徽,历史类,2025,本科批,581,6237,
湘潭大学,安徽,历史类,2025,本科批,581,6406,61
南方医科大学,安徽,历史类,2025,本科批,580,6603,
宁夏大学,安徽,历史类,2025,本科批,580,6603,
上海戏剧学院,安徽,历史类,2025,本科批,580,6406,
湖北大学,安徽,历史类,2025,本科批,579,6788,
内蒙古大学,安徽,历史类,2025,本科批,579,6788,10
上海中医药大学,安徽,历史类,2025,本科批,579,6788,
浙江理工大学,安徽,历史类,2025,本科批,579,6788,
华中师范大学,安徽,历史类,2025,本科提前批,578,6979,
中国民航大学,安徽,历史类,2025,本科批,576,7421,
南京信息工程大学,安徽,历史类,2025,本科批,575,7632,26
