分数,位次,省份,年份,科类
668,23,安徽,2025,历史类
667,27,安徽,2025,历史类
666,30,安徽,2025,历史类
665,33,安徽,2025,历史类
664,38,安徽,2025,历史类
663,43,安徽,2025,历史类
662,48,安徽,2025,历史类
661,53,安徽,2025,历史类
660,55,安徽,2025,历史类
659,65,安徽,2025,历史类
658,72,安徽,2025,历史类
657,80,安徽,2025,历史类
656,85,安徽,2025,历史类
655,94,安徽,2025,历史类
654,101,安徽,2025,历史类
653,112,安徽,2025,历史类
652,125,安徽,2025,历史类
651,139,安徽,2025,历史类
650,156,安徽,2025,历史类
649,177,安徽,2025,历史类
648,199,安徽,2025,历史类
647,216,安徽,2025,历史类
646,242,安徽,2025,历史类
645,263,安徽,2025,历史类
644,289,安徽,2025,历史类
643,311,安徽,2025,历史类
642,342,安徽,2025,历史类
641,363,安徽,2025,历史类
640,390,安徽,2025,历史类
639,420,安徽,2025,历史类
638,447,安徽,2025,历史类
637,478,安徽,2025,历史类
636,514,安徽,2025,历史类
635,555,安徽,2025,历史类
634,587,安徽,2025,历史类
633,626,安徽,2025,历史类
632,663,安徽,2025,历史类
631,713,安徽,2025,历史类
630,763,安徽,2025,历史类
629,819,安徽,2025,历史类
628,870,安徽,2025,历史类
627,934,安徽,2025,历史类
626,972,安徽,2025,历史类
625,1045,安徽,2025,历史类
624,1108,安徽,2025,历史类
623,1179,安徽,2025,历史类
622,1238,安徽,2025,历史类
621,1310,安徽,2025,历史类
620,1375,安徽,2025,历史类
619,1458,安徽,2025,历史类
618,1545,安徽,2025,历史类
617,1630,安徽,2025,历史类
616,1730,安徽,2025,历史类
615,1806,安徽,2025,历史类
614,1891,安徽,2025,历史类
613,1980,安徽,2025,历史类
612,2093,安徽,2025,历史类
611,2198,安徽,2025,历史类
610,2298,安徽,2025,历史类
609,2382,安徽,2025,历史类
608,2492,安徽,2025,历史类
607,2600,安徽,2025,历史类
606,2700,安徽,2025,历史类
605,2806,安徽,2025,历史类
604,2917,安徽,2025,历史类
