院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
华东师范大学,北京,综合,2025,本科批,645,3841,
北京大学医学部,北京,综合,2025,本科批,641,4368,
上海财经大学,北京,综合,2025,本科批,635,5304,
山东大学,北京,综合,2025,本科批,634,5441,41
中央财经大学,北京,综合,2025,本科批,632,5749,
北京邮电大学,北京,综合,2025,本科批,628,6399,334
西安交通大学,北京,综合,2025,本科批,628,6399,
对外经济贸易大学,北京,综合,2025,本科批,627,6561,82
北京科技大学,北京,综合,2025,本科批,626,6740,212
中国人民公安大学,北京,综合,2025,本科批,625,6896,
吉林大学,北京,综合,2025,本科批,625,6896,71
中南大学,北京,综合,2025,本科批,622,7440,20
北京外国语大学,北京,综合,2025,本科批,619,7983,
华东理工大学,北京,综合,2025,本科批,619,7983,
西北政法大学,北京,综合,2025,本科批,618,8158,
兰州大学,北京,综合,2025,本科批,618,8158,46
深圳大学,北京,综合,2025,本科批,611,9523,11
南京邮电大学,北京,综合,2025,本科批,610,9714,8
中国海洋大学,北京,综合,2025,本科批,610,9714,
南京理工大学,北京,综合,2025,本科批,607,10111,
南京信息工程大学,北京,综合,2025,本科批,606,10538,8
成都中医药大学,北京,综合,2025,本科批,606,10538,
中央民族大学,北京,综合,2025,本科批,604,10979,
中国石油大学(北京),北京,综合,2025,本科批,604,10979,
西交利物浦大学,北京,综合,2025,本科批,603,11195,108
武汉理工大学,北京,综合,2025,本科批,603,11195,
温州医科大学,北京,综合,2025,本科批,600,11883,
南方医科大学,北京,综合,2025,本科批,600,11883,
华中师范大学,北京,综合,2025,本科批,599,12103,
中央美术学院,北京,综合,2025,本科批,598,12318,
哈尔滨医科大学,北京,综合,2025,本科批,597,12555,8
上海政法学院,北京,综合,2025,本科批,597,12555,
南京师范大学,北京,综合,2025,本科批,597,12555,
中国人民公安大学,北京,综合,2025,本科提前批A段,597,12555,
中央戏剧学院,北京,综合,2025,本科批,596,12777,
中国石油大学(华东),北京,综合,2025,本科批,596,12777,
大连医科大学,北京,综合,2025,本科批,595,13015,
北京化工大学,北京,综合,2025,本科批,592,13650,
东北师范大学,北京,综合,2025,本科批,592,13650,
中国地质大学(北京),北京,综合,2025,本科批,591,13897,
辽宁中医药大学,北京,综合,2025,本科批,591,13897,
江南大学,北京,综合,2025,本科批,589,14358,31
天津工业大学,北京,综合,2025,本科批,588,14358,8
北京工业大学,北京,综合,2025,本科批,586,15084,
北京林业大学,北京,综合,2025,本科批,585,15321,
中国传媒大学,北京,综合,2025,本科批,585,15321,
燕山大学,北京,综合,2025,本科批,585,14810,7
上海戏剧学院,北京,综合,2025,本科批,584,15547,
大连海事大学,北京,综合,2025,本科批,583,15792,
西南石油大学,北京,综合,2025,本科批,583,15792,
浙江工业大学,北京,综合,2025,本科批,580,16470,16
中国地质大学(武汉),北京,综合,2025,本科批,580,16470,
武汉科技大学,北京,综合,2025,本科批,578,16470,
湘潭大学,北京,综合,2025,本科批,577,17264,16
海南大学,北京,综合,2025,本科批,577,16724,
昆明医科大学,北京,综合,2025,本科批,577,17264,
上海对外经贸大学,北京,综合,2025,本科批,576,17506,
滨州医学院,北京,综合,2025,本科批,576,17506,
青海大学,北京,综合,2025,本科批,574,17970,
贵州大学,北京,综合,2025,本科批,572,18465,
浙江工商大学,北京,综合,2025,本科批,570,18955,7
内蒙古大学,北京,综合,2025,本科批,569,19221,15
中国石油大学(北京)克拉玛依校区,北京,综合,2025,本科批,569,19221,
中国计量大学,北京,综合,2025,本科批,568,19488,8
西南医科大学,北京,综合,2025,本科批,568,19488,
华南农业大学,北京,综合,2025,本科批,567,19705,4
上海理工大学,北京,综合,2025,本科批,566,19221,
南京工程学院,北京,综合,2025,本科批,564,20465,
中国消防救援学院,北京,综合,2025,本科提前批A段,564,20465,
东北电力大学,北京,综合,2025,本科批,562,20953,5
山东第二医科大学,北京,综合,2025,本科批,562,20953,5
东北林业大学,北京,综合,2025,本科批,561,21198,
河北中医药大学,北京,综合,2025,本科批,559,21697,
新疆大学,北京,综合,2025,本科批,556,22479,
中国民航大学,北京,综合,2025,本科提前批A段,555,22748,
中国民航大学,北京,综合,2025,本科批,554,23002,
河南大学,北京,综合,2025,本科批,554,23002,
上海海事大学,北京,综合,2025,本科批,553,23262,
扬州大学,北京,综合,2025,本科批,553,23262,11
长沙理工大学,北京,综合,2025,本科批,552,23531,
延边大学,北京,综合,2025,本科批,551,23796,
山东第一医科大学,北京,综合,2025,本科批,550,24089,6
上海海洋大学,北京,综合,2025,本科批,549,24347,
南昌医学院,北京,综合,2025,本科批,549,24089,
首都医科大学,北京,综合,2025,本科批,548,24611,
河北医科大学,北京,综合,2025,本科批,548,24611,
