分数,位次,省份,年份,科类
698,113,北京,2025,综合
697,136,北京,2025,综合
696,148,北京,2025,综合
695,169,北京,2025,综合
694,186,北京,2025,综合
693,201,北京,2025,综合
692,228,北京,2025,综合
691,256,北京,2025,综合
690,277,北京,2025,综合
689,303,北京,2025,综合
688,340,北京,2025,综合
687,385,北京,2025,综合
686,419,北京,2025,综合
685,461,北京,2025,综合
684,503,北京,2025,综合
683,551,北京,2025,综合
682,589,北京,2025,综合
681,639,北京,2025,综合
680,685,北京,2025,综合
679,742,北京,2025,综合
678,807,北京,2025,综合
677,861,北京,2025,综合
676,911,北京,2025,综合
675,974,北京,2025,综合
674,1029,北京,2025,综合
673,1088,北京,2025,综合
672,1157,北京,2025,综合
671,1244,北京,2025,综合
670,1328,北京,2025,综合
669,1395,北京,2025,综合
668,1474,北京,2025,综合
667,1552,北京,2025,综合
666,1630,北京,2025,综合
665,1732,北京,2025,综合
664,1800,北京,2025,综合
663,1882,北京,2025,综合
662,1961,北京,2025,综合
661,2059,北京,2025,综合
660,2153,北京,2025,综合
659,2246,北京,2025,综合
658,2331,北京,2025,综合
657,2445,北京,2025,综合
656,2540,北京,2025,综合
655,2652,北京,2025,综合
654,2767,北京,2025,综合
653,2889,北京,2025,综合
652,2999,北京,2025,综合
651,3101,北京,2025,综合
650,3203,北京,2025,综合
649,3332,北京,2025,综合
648,3461,北京,2025,综合
647,3590,北京,2025,综合
646,3712,北京,2025,综合
645,3841,北京,2025,综合
644,3976,北京,2025,综合
643,4102,北京,2025,综合
642,4245,北京,2025,综合
641,4368,北京,2025,综合
640,4517,北京,2025,综合
639,4674,北京,2025,综合
638,4834,北京,2025,综合
637,4989,北京,2025,综合
636,5139,北京,2025,综合
635,5304,北京,2025,综合
634,5441,北京,2025,综合
633,5597,北京,2025,综合
632,5749,北京,2025,综合
631,5919,北京,2025,综合
630,6087,北京,2025,综合
629,6251,北京,2025,综合
628,6399,北京,2025,综合
627,6561,北京,2025,综合
626,6740,北京,2025,综合
625,6896,北京,2025,综合
624,7064,北京,2025,综合
623,7249,北京,2025,综合
622,7440,北京,2025,综合
621,7613,北京,2025,综合
620,7804,北京,2025,综合
619,7983,北京,2025,综合
618,8158,北京,2025,综合
617,8325,北京,2025,综合
616,8526,北京,2025,综合
615,8721,北京,2025,综合
614,8923,北京,2025,综合
613,9134,北京,2025,综合
612,9327,北京,2025,综合
611,9523,北京,2025,综合
