院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
清华大学,重庆,历史类,2025,本科批,667,,
北京大学,重庆,历史类,2025,本科批,661,,
复旦大学,重庆,历史类,2025,本科批,651,75,
中国人民大学,重庆,历史类,2025,本科批,646,108,
浙江大学,重庆,历史类,2025,本科批,642,156,
南京大学,重庆,历史类,2025,本科批,641,167,
同济大学,重庆,历史类,2025,本科批,630,330,
武汉大学,重庆,历史类,2025,本科批,630,347,
北京师范大学,重庆,历史类,2025,本科批,629,372,
南开大学,重庆,历史类,2025,本科批,627,416,
北京航空航天大学,重庆,历史类,2025,本科批,626,447,
厦门大学,重庆,历史类,2025,本科提前批B段,624,477,
中山大学,重庆,历史类,2025,本科批,620,634,
西安交通大学,重庆,历史类,2025,本科批,620,634,
上海财经大学,重庆,历史类,2025,本科批,619,669,
华东师范大学,重庆,历史类,2025,本科批,618,707,
北京理工大学,重庆,历史类,2025,本科批,615,830,
中国政法大学,重庆,历史类,2025,本科批,614,863,
华东师范大学,重庆,历史类,2025,本科提前批B段,611,985,
东南大学,重庆,历史类,2025,本科批,610,1038,
中国人民公安大学,重庆,历史类,2025,本科提前批A段,610,1038,
华南理工大学,重庆,历史类,2025,本科批,608,1141,
哈尔滨工业大学,重庆,历史类,2025,本科批,606,1233,
山东大学,重庆,历史类,2025,本科批,605,1300,
中央财经大学,重庆,历史类,2025,本科批,603,1407,
华中科技大学,重庆,历史类,2025,本科批,603,1407,
外交学院,重庆,历史类,2025,本科提前批B段,603,1407,
中南大学,重庆,历史类,2025,本科批,601,1511,
上海外国语大学,重庆,历史类,2025,本科批,599,1649,
电子科技大学,重庆,历史类,2025,本科批,599,1649,
苏州大学,重庆,历史类,2025,本科批,598,1703,
西北工业大学,重庆,历史类,2025,本科批,596,1820,
北京交通大学,重庆,历史类,2025,本科批,595,1881,
吉林大学,重庆,历史类,2025,本科批,594,1953,
武警警官学院,重庆,历史类,2025,本科提前批A段,594,1953,
东华大学,重庆,历史类,2025,本科批,593,2031,
北京科技大学,重庆,历史类,2025,本科批,592,2114,
中国社会科学院大学,重庆,历史类,2025,本科批,592,2114,
吉林大学,重庆,历史类,2025,本科提前批B段,592,2114,
山东大学,重庆,历史类,2025,本科提前批B段,592,2114,
南京师范大学,重庆,历史类,2025,本科批,591,2192,
四川大学,重庆,历史类,2025,本科批,591,2192,
对外经济贸易大学,重庆,历史类,2025,本科提前批B段,591,2192,6
首都师范大学,重庆,历史类,2025,本科批,590,2192,
东北大学秦皇岛分校,重庆,历史类,2025,本科批,590,2261,
湖南大学,重庆,历史类,2025,本科批,589,2345,
西北农林科技大学,重庆,历史类,2025,本科批,589,2345,
中央民族大学,重庆,历史类,2025,本科批,588,2422,
天津大学,重庆,历史类,2025,本科批,588,2422,
中国海洋大学,重庆,历史类,2025,本科提前批B段,588,2422,
华北电力大学,重庆,历史类,2025,本科批,587,2504,
华中师范大学,重庆,历史类,2025,本科批,587,2504,
中国消防救援学院,重庆,历史类,2025,本科提前批A段,587,2504,
中央财经大学,重庆,历史类,2025,本科提前批B段,587,2504,
厦门大学,重庆,历史类,2025,本科批,585,2681,
兰州大学,重庆,历史类,2025,本科批,585,2681,
北京外国语大学,重庆,历史类,2025,本科批,584,2756,
中国传媒大学,重庆,历史类,2025,本科批,584,2756,
对外经济贸易大学,重庆,历史类,2025,本科批,584,2756,21
中国矿业大学,重庆,历史类,2025,本科批,583,2840,
深圳大学,重庆,历史类,2025,本科批,583,2840,
南京师范大学,重庆,历史类,2025,本科提前批B段,583,2756,
北京中医药大学,重庆,历史类,2025,本科批,582,2943,
中国石油大学(北京),重庆,历史类,2025,本科批,582,2943,
河海大学,重庆,历史类,2025,本科批,582,2943,
东北师范大学,重庆,历史类,2025,本科提前批B段,582,2943,
上海大学,重庆,历史类,2025,本科批,581,3042,
北京化工大学,重庆,历史类,2025,本科批,580,3140,
中国地质大学(北京),重庆,历史类,2025,本科批,580,3140,
上海海关学院,重庆,历史类,2025,本科批,580,3140,
华东政法大学,重庆,历史类,2025,本科批,579,3241,
中国药科大学,重庆,历史类,2025,本科批,579,3140,
中国海洋大学,重庆,历史类,2025,本科批,579,3241,
西安电子科技大学,重庆,历史类,2025,本科批,579,3241,
黑龙江中医药大学,重庆,历史类,2025,本科批,578,3349,
中国地质大学(武汉),重庆,历史类,2025,本科批,578,3349,
华东理工大学,重庆,历史类,2025,本科提前批B段,578,3349,
西南财经大学,重庆,历史类,2025,本科提前批B段,578,3349,
哈尔滨工程大学,重庆,历史类,2025,本科批,577,3464,
武汉理工大学,重庆,历史类,2025,本科批,577,3464,
广西大学,重庆,历史类,2025,本科批,577,3464,
西南交通大学,重庆,历史类,2025,本科批,577,3464,
郑州大学,重庆,历史类,2025,本科批,576,3581,
华中农业大学,重庆,历史类,2025,本科批,576,3581,
中南财经政法大学,重庆,历史类,2025,本科提前批B段,576,3581,
