分数,位次,省份,年份,科类
652,66,重庆,2025,历史类
651,75,重庆,2025,历史类
650,80,重庆,2025,历史类
649,86,重庆,2025,历史类
648,94,重庆,2025,历史类
647,99,重庆,2025,历史类
646,108,重庆,2025,历史类
645,117,重庆,2025,历史类
644,126,重庆,2025,历史类
643,137,重庆,2025,历史类
642,156,重庆,2025,历史类
641,167,重庆,2025,历史类
640,177,重庆,2025,历史类
639,191,重庆,2025,历史类
638,207,重庆,2025,历史类
637,226,重庆,2025,历史类
636,238,重庆,2025,历史类
635,255,重庆,2025,历史类
634,270,重庆,2025,历史类
633,288,重庆,2025,历史类
632,311,重庆,2025,历史类
631,330,重庆,2025,历史类
630,347,重庆,2025,历史类
629,372,重庆,2025,历史类
628,393,重庆,2025,历史类
627,416,重庆,2025,历史类
626,447,重庆,2025,历史类
625,477,重庆,2025,历史类
624,499,重庆,2025,历史类
623,531,重庆,2025,历史类
622,559,重庆,2025,历史类
621,593,重庆,2025,历史类
620,634,重庆,2025,历史类
619,669,重庆,2025,历史类
618,707,重庆,2025,历史类
617,749,重庆,2025,历史类
616,788,重庆,2025,历史类
615,830,重庆,2025,历史类
614,863,重庆,2025,历史类
613,901,重庆,2025,历史类
612,939,重庆,2025,历史类
611,985,重庆,2025,历史类
610,1038,重庆,2025,历史类
609,1091,重庆,2025,历史类
608,1141,重庆,2025,历史类
607,1179,重庆,2025,历史类
606,1233,重庆,2025,历史类
605,1300,重庆,2025,历史类
604,1346,重庆,2025,历史类
603,1407,重庆,2025,历史类
602,1458,重庆,2025,历史类
601,1511,重庆,2025,历史类
600,1576,重庆,2025,历史类
599,1649,重庆,2025,历史类
598,1703,重庆,2025,历史类
597,1772,重庆,2025,历史类
596,1820,重庆,2025,历史类
595,1881,重庆,2025,历史类
594,1953,重庆,2025,历史类
593,2031,重庆,2025,历史类
592,2114,重庆,2025,历史类
591,2192,重庆,2025,历史类
590,2261,重庆,2025,历史类
589,2345,重庆,2025,历史类
588,2422,重庆,2025,历史类
587,2504,重庆,2025,历史类
586,2589,重庆,2025,历史类
585,2681,重庆,2025,历史类
584,2756,重庆,2025,历史类
583,2840,重庆,2025,历史类
582,2943,重庆,2025,历史类
581,3042,重庆,2025,历史类
580,3140,重庆,2025,历史类
579,3241,重庆,2025,历史类
578,3349,重庆,2025,历史类
577,3464,重庆,2025,历史类
576,3581,重庆,2025,历史类
575,3697,重庆,2025,历史类
574,3804,重庆,2025,历史类
573,3907,重庆,2025,历史类
572,4019,重庆,2025,历史类
571,4142,重庆,2025,历史类
570,4253,重庆,2025,历史类
569,4375,重庆,2025,历史类
568,4503,重庆,2025,历史类
567,4620,重庆,2025,历史类
566,4750,重庆,2025,历史类
565,4904,重庆,2025,历史类
564,5044,重庆,2025,历史类
563,5175,重庆,2025,历史类
562,5334,重庆,2025,历史类
561,5482,重庆,2025,历史类
560,5621,重庆,2025,历史类
559,5743,重庆,2025,历史类
558,5889,重庆,2025,历史类
557,6017,重庆,2025,历史类
556,6163,重庆,2025,历史类
555,6310,重庆,2025,历史类
554,6469,重庆,2025,历史类
553,6633,重庆,2025,历史类
552,6774,重庆,2025,历史类
551,6928,重庆,2025,历史类
550,7083,重庆,2025,历史类
549,7239,重庆,2025,历史类
548,7425,重庆,2025,历史类
547,7586,重庆,2025,历史类
546,7760,重庆,2025,历史类
545,7936,重庆,2025,历史类
544,8116,重庆,2025,历史类
543,8298,重庆,2025,历史类
542,8463,重庆,2025,历史类
541,8640,重庆,2025,历史类
540,8824,重庆,2025,历史类
539,9023,重庆,2025,历史类
538,9202,重庆,2025,历史类
537,9363,重庆,2025,历史类
536,9555,重庆,2025,历史类
535,9726,重庆,2025,历史类
534,9922,重庆,2025,历史类
533,10123,重庆,2025,历史类
532,10338,重庆,2025,历史类
531,10541,重庆,2025,历史类
530,10766,重庆,2025,历史类
529,10984,重庆,2025,历史类
528,11193,重庆,2025,历史类
527,11419,重庆,2025,历史类
526,11622,重庆,2025,历史类
525,11865,重庆,2025,历史类
524,12075,重庆,2025,历史类
523,12316,重庆,2025,历史类
522,12519,重庆,2025,历史类
521,12751,重庆,2025,历史类
520,12962,重庆,2025,历史类
519,13219,重庆,2025,历史类
518,13442,重庆,2025,历史类
517,13677,重庆,2025,历史类
516,13908,重庆,2025,历史类
515,14156,重庆,2025,历史类
514,14376,重庆,2025,历史类
513,14604,重庆,2025,历史类
512,14858,重庆,2025,历史类
511,15080,重庆,2025,历史类
510,15318,重庆,2025,历史类
509,15556,重庆,2025,历史类
508,15814,重庆,2025,历史类
507,16063,重庆,2025,历史类
