院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
北京大学医学部,福建,历史类,2025,本科批,660,38,
华东师范大学,福建,历史类,2025,高校农村专项计划,623,629,
华东师范大学,福建,历史类,2025,本科批,621,700,
华东师范大学,福建,历史类,2025,本科提前批,621,700,
上海财经大学,福建,历史类,2025,本科批,617,851,
西安交通大学,福建,历史类,2025,本科提前批,617,851,
对外经济贸易大学,福建,历史类,2025,本科批,615,935,27
西安交通大学,福建,历史类,2025,本科批,615,935,
华中师范大学,福建,历史类,2025,本科批,614,986,
中南大学,福建,历史类,2025,本科批,609,1225,17
山东大学,福建,历史类,2025,本科批,606,1362,36
南京师范大学,福建,历史类,2025,本科批,604,1504,
中央民族大学,福建,历史类,2025,本科批,601,1682,
吉林大学,福建,历史类,2025,本科批,600,1756,23
北京科技大学,福建,历史类,2025,本科批,598,1883,7
中国海洋大学,福建,历史类,2025,本科批,597,1946,
中国人民公安大学,福建,历史类,2025,本科提前批,597,1946,
中央财经大学,福建,历史类,2025,本科批,596,2018,
深圳大学,福建,历史类,2025,本科批,595,2087,16
南京师范大学,福建,历史类,2025,高校农村专项计划,594,2167,
江南大学,福建,历史类,2025,本科批,593,2250,19
兰州大学,福建,历史类,2025,本科批,593,2250,29
华中师范大学,福建,历史类,2025,高校农村专项计划,593,2250,
华东理工大学,福建,历史类,2025,本科批,592,2338,
上海政法学院,福建,历史类,2025,本科批,592,2338,
北京中医药大学,福建,历史类,2025,本科批,591,2421,
北京化工大学,福建,历史类,2025,本科批,590,2495,
中国地质大学(武汉),福建,历史类,2025,本科批,589,2592,
中国石油大学(华东),福建,历史类,2025,本科批,589,2592,
中国传媒大学,福建,历史类,2025,本科批,588,2672,
上海海事大学,福建,历史类,2025,本科批,587,2672,
武汉理工大学,福建,历史类,2025,本科批,587,2749,
南京理工大学,福建,历史类,2025,本科批,586,2833,
首都经济贸易大学,福建,历史类,2025,本科批,586,2833,
北京工商大学,福建,历史类,2025,本科批,585,2932,5
中国地质大学(北京),福建,历史类,2025,本科批,585,2932,
中国消防救援学院,福建,历史类,2025,本科提前批,584,3018,
北京外国语大学,福建,历史类,2025,本科批,583,3105,
北京林业大学,福建,历史类,2025,本科批,582,3204,
东北师范大学,福建,历史类,2025,本科批,581,3319,
大连海事大学,福建,历史类,2025,本科批,580,3408,
上海海洋大学,福建,历史类,2025,本科批,580,3408,
西北政法大学,福建,历史类,2025,本科批,579,3501,
华中师范大学,福建,历史类,2025,本科提前批,579,3501,
浙江警察学院,福建,历史类,2025,本科提前批,578,3597,
安徽中医药大学,福建,历史类,2025,本科批,577,3694,1
贵州大学,福建,历史类,2025,本科批,577,3694,
湖北大学,福建,历史类,2025,本科批,577,3694,
江苏大学,福建,历史类,2025,本科批,577,3694,7
中央戏剧学院,福建,历史类,2025,本科批,577,3694,
南方医科大学,福建,历史类,2025,本科批,576,3808,
浙江工商大学,福建,历史类,2025,本科批,576,3808,15
江苏师范大学,福建,历史类,2025,本科批,574,3995,
上海对外经贸大学,福建,历史类,2025,本科批,574,3995,
湘潭大学,福建,历史类,2025,本科批,571,4296,28
深圳技术大学,福建,历史类,2025,本科批,570,4392,4
扬州大学,福建,历史类,2025,本科批,570,4392,10
东北林业大学,福建,历史类,2025,本科批,569,4497,
内蒙古大学,福建,历史类,2025,本科批,568,4392,3
中国刑事警察学院,福建,历史类,2025,本科提前批,566,4785,11
河南财经政法大学,福建,历史类,2025,本科批,564,5010,5
新疆大学,福建,历史类,2025,本科批,564,5010,
浙江工业大学,福建,历史类,2025,本科批,563,5127,13
上海师范大学,福建,历史类,2025,本科批,562,5243,
浙江理工大学,福建,历史类,2025,本科批,562,5243,
辽宁中医药大学,福建,历史类,2025,本科批,561,5349,
上海理工大学,福建,历史类,2025,本科批,561,5349,
广东工业大学,福建,历史类,2025,本科批,559,5592,10
南京工业大学,福建,历史类,2025,本科批,559,5349,4
温州大学,福建,历史类,2025,本科批,559,5592,
中国民航大学,福建,历史类,2025,本科批,557,5853,
延边大学,福建,历史类,2025,本科批,556,5970,
甘肃政法大学,福建,历史类,2025,本科批,555,6070,
武汉科技大学,福建,历史类,2025,本科批,554,6194,
重庆中医药学院,福建,历史类,2025,本科批,553,6321,4
杭州师范大学,福建,历史类,2025,本科批,553,6321,5
浙江农林大学,福建,历史类,2025,本科批,553,6070,2
中央美术学院,福建,历史类,2025,本科批,553,6321,
黑龙江大学,福建,历史类,2025,本科提前批,553,6321,
长沙理工大学,福建,历史类,2025,本科批,552,6461,
重庆师范大学,福建,历史类,2025,本科批,552,6461,
西南民族大学,福建,历史类,2025,本科提前批,552,6461,
西交利物浦大学,福建,历史类,2025,本科批,551,6596,63
南京信息工程大学,福建,历史类,2025,本科批,550,6718,3
上海立信会计金融学院,福建,历史类,2025,本科批,550,6718,
江苏科技大学,福建,历史类,2025,本科批,548,6992,3
四川师范大学,福建,历史类,2025,本科批,547,7113,
苏州科技大学,福建,历史类,2025,本科批,547,7113,
西南民族大学,福建,历史类,2025,本科批,546,7235,23
浙江传媒学院,福建,历史类,2025,本科批,546,7235,
浙江中医药大学,福建,历史类,2025,本科批,545,7374,2
宁波大学,福建,历史类,2025,本科批,542,7829,
石家庄铁道大学,福建,历史类,2025,本科批,541,7972,
四川警察学院,福建,历史类,2025,本科批,541,7972,
天津工业大学,福建,历史类,2025,本科批,541,7972,12
山东财经大学,福建,历史类,2025,本科批,540,8090,
山东科技大学,福建,历史类,2025,本科批,539,8243,2
安徽农业大学,福建,历史类,2025,本科批,538,8378,7
宁夏大学,福建,历史类,2025,本科批,538,8378,
上海商学院,福建,历史类,2025,本科批,538,8378,
中南林业科技大学,福建,历史类,2025,本科批,538,8378,23
北京联合大学,福建,历史类,2025,本科批,537,8243,
常州大学,福建,历史类,2025,本科批,537,8521,18
河南大学,福建,历史类,2025,本科批,537,8521,
曲阜师范大学,福建,历史类,2025,本科批,537,8521,
昆明理工大学,福建,历史类,2025,本科批,536,8662,
南京工程学院,福建,历史类,2025,本科批,536,8243,
湖北师范大学,福建,历史类,2025,本科批,535,8809,
中国劳动关系学院,福建,历史类,2025,本科批,535,8809,
聊城大学,福建,历史类,2025,本科批,534,8662,
北京物资学院,福建,历史类,2025,本科批,533,9118,
福建警察学院,福建,历史类,2025,本科批,532,9285,
