分数,位次,省份,年份,科类
672,14,福建,2025,历史类
671,15,福建,2025,历史类
670,16,福建,2025,历史类
669,18,福建,2025,历史类
668,20,福建,2025,历史类
667,23,福建,2025,历史类
666,24,福建,2025,历史类
665,27,福建,2025,历史类
664,27,福建,2025,历史类
663,30,福建,2025,历史类
662,31,福建,2025,历史类
661,34,福建,2025,历史类
660,38,福建,2025,历史类
659,45,福建,2025,历史类
658,48,福建,2025,历史类
657,57,福建,2025,历史类
656,60,福建,2025,历史类
655,63,福建,2025,历史类
654,68,福建,2025,历史类
653,76,福建,2025,历史类
652,79,福建,2025,历史类
651,84,福建,2025,历史类
650,88,福建,2025,历史类
649,100,福建,2025,历史类
648,115,福建,2025,历史类
647,127,福建,2025,历史类
646,133,福建,2025,历史类
645,142,福建,2025,历史类
644,157,福建,2025,历史类
643,172,福建,2025,历史类
642,192,福建,2025,历史类
641,203,福建,2025,历史类
640,215,福建,2025,历史类
639,226,福建,2025,历史类
638,245,福建,2025,历史类
637,266,福建,2025,历史类
636,279,福建,2025,历史类
635,304,福建,2025,历史类
634,321,福建,2025,历史类
633,345,福建,2025,历史类
632,371,福建,2025,历史类
631,393,福建,2025,历史类
630,416,福建,2025,历史类
629,454,福建,2025,历史类
628,472,福建,2025,历史类
627,503,福建,2025,历史类
626,536,福建,2025,历史类
625,567,福建,2025,历史类
624,598,福建,2025,历史类
623,629,福建,2025,历史类
622,659,福建,2025,历史类
621,700,福建,2025,历史类
620,735,福建,2025,历史类
619,769,福建,2025,历史类
618,810,福建,2025,历史类
617,851,福建,2025,历史类
616,894,福建,2025,历史类
615,935,福建,2025,历史类
614,986,福建,2025,历史类
613,1041,福建,2025,历史类
612,1086,福建,2025,历史类
611,1134,福建,2025,历史类
610,1178,福建,2025,历史类
609,1225,福建,2025,历史类
608,1276,福建,2025,历史类
607,1317,福建,2025,历史类
606,1362,福建,2025,历史类
605,1435,福建,2025,历史类
604,1504,福建,2025,历史类
603,1573,福建,2025,历史类
602,1631,福建,2025,历史类
601,1682,福建,2025,历史类
600,1756,福建,2025,历史类
599,1821,福建,2025,历史类
598,1883,福建,2025,历史类
597,1946,福建,2025,历史类
596,2018,福建,2025,历史类
595,2087,福建,2025,历史类
594,2167,福建,2025,历史类
593,2250,福建,2025,历史类
592,2338,福建,2025,历史类
591,2421,福建,2025,历史类
590,2495,福建,2025,历史类
589,2592,福建,2025,历史类
588,2672,福建,2025,历史类
587,2749,福建,2025,历史类
586,2833,福建,2025,历史类
585,2932,福建,2025,历史类
584,3018,福建,2025,历史类
583,3105,福建,2025,历史类
582,3204,福建,2025,历史类
581,3319,福建,2025,历史类
580,3408,福建,2025,历史类
579,3501,福建,2025,历史类
578,3597,福建,2025,历史类
577,3694,福建,2025,历史类
576,3808,福建,2025,历史类
575,3889,福建,2025,历史类
574,3995,福建,2025,历史类
573,4101,福建,2025,历史类
572,4198,福建,2025,历史类
571,4296,福建,2025,历史类
570,4392,福建,2025,历史类
569,4497,福建,2025,历史类
568,4577,福建,2025,历史类
567,4695,福建,2025,历史类
566,4785,福建,2025,历史类
565,4888,福建,2025,历史类
564,5010,福建,2025,历史类
563,5127,福建,2025,历史类
562,5243,福建,2025,历史类
561,5349,福建,2025,历史类
560,5475,福建,2025,历史类
559,5592,福建,2025,历史类
558,5720,福建,2025,历史类
557,5853,福建,2025,历史类
556,5970,福建,2025,历史类
555,6070,福建,2025,历史类
554,6194,福建,2025,历史类
553,6321,福建,2025,历史类
552,6461,福建,2025,历史类
551,6596,福建,2025,历史类
550,6718,福建,2025,历史类
549,6843,福建,2025,历史类
548,6992,福建,2025,历史类
547,7113,福建,2025,历史类
546,7235,福建,2025,历史类
545,7374,福建,2025,历史类
544,7522,福建,2025,历史类
543,7662,福建,2025,历史类
542,7829,福建,2025,历史类
541,7972,福建,2025,历史类
540,8090,福建,2025,历史类
539,8243,福建,2025,历史类
538,8378,福建,2025,历史类
537,8521,福建,2025,历史类
536,8662,福建,2025,历史类
535,8809,福建,2025,历史类
534,8965,福建,2025,历史类
533,9118,福建,2025,历史类
532,9285,福建,2025,历史类
531,9424,福建,2025,历史类
530,9584,福建,2025,历史类
529,9730,福建,2025,历史类
528,9875,福建,2025,历史类
527,10018,福建,2025,历史类
526,10171,福建,2025,历史类
525,10316,福建,2025,历史类
524,10480,福建,2025,历史类
523,10666,福建,2025,历史类
522,10821,福建,2025,历史类
521,11007,福建,2025,历史类
520,11188,福建,2025,历史类
519,11356,福建,2025,历史类
518,11536,福建,2025,历史类
517,11713,福建,2025,历史类
516,11895,福建,2025,历史类
515,12078,福建,2025,历史类
514,12233,福建,2025,历史类
513,12412,福建,2025,历史类
512,12576,福建,2025,历史类
511,12736,福建,2025,历史类
510,12894,福建,2025,历史类
509,13073,福建,2025,历史类
508,13247,福建,2025,历史类
507,13459,福建,2025,历史类
506,13640,福建,2025,历史类
505,13835,福建,2025,历史类
504,14035,福建,2025,历史类
503,14221,福建,2025,历史类
502,14390,福建,2025,历史类
501,14561,福建,2025,历史类
500,14732,福建,2025,历史类
499,14911,福建,2025,历史类
498,15098,福建,2025,历史类
497,15286,福建,2025,历史类
496,15488,福建,2025,历史类
495,15677,福建,2025,历史类
494,15873,福建,2025,历史类
493,16064,福建,2025,历史类
492,16258,福建,2025,历史类
491,16465,福建,2025,历史类
490,16669,福建,2025,历史类
489,16866,福建,2025,历史类
488,17086,福建,2025,历史类
487,17282,福建,2025,历史类
486,17496,福建,2025,历史类
485,17700,福建,2025,历史类
484,17924,福建,2025,历史类
483,18114,福建,2025,历史类
482,18365,福建,2025,历史类
481,18606,福建,2025,历史类
480,18810,福建,2025,历史类
479,19014,福建,2025,历史类
478,19228,福建,2025,历史类
477,19441,福建,2025,历史类
476,19668,福建,2025,历史类
475,19889,福建,2025,历史类
474,20115,福建,2025,历史类
473,20340,福建,2025,历史类
472,20545,福建,2025,历史类
471,20756,福建,2025,历史类
470,20965,福建,2025,历史类
469,21192,福建,2025,历史类
468,21425,福建,2025,历史类
467,21665,福建,2025,历史类
466,21897,福建,2025,历史类
465,22150,福建,2025,历史类
464,22376,福建,2025,历史类
463,22579,福建,2025,历史类
462,22810,福建,2025,历史类
461,23022,福建,2025,历史类
460,23232,福建,2025,历史类
459,23453,福建,2025,历史类
458,23671,福建,2025,历史类
457,23893,福建,2025,历史类
456,24118,福建,2025,历史类
455,24376,福建,2025,历史类
454,24631,福建,2025,历史类
453,24878,福建,2025,历史类
452,25117,福建,2025,历史类
451,25344,福建,2025,历史类
450,25562,福建,2025,历史类
449,25789,福建,2025,历史类
448,26042,福建,2025,历史类
447,26235,福建,2025,历史类
446,26445,福建,2025,历史类
445,26689,福建,2025,历史类
444,26937,福建,2025,历史类
443,27174,福建,2025,历史类
442,27399,福建,2025,历史类
441,27621,福建,2025,历史类
440,27847,福建,2025,历史类
439,28068,福建,2025,历史类
438,28331,福建,2025,历史类
437,28570,福建,2025,历史类
436,28815,福建,2025,历史类
435,29044,福建,2025,历史类
434,29268,福建,2025,历史类
433,29489,福建,2025,历史类
432,29729,福建,2025,历史类
431,29970,福建,2025,历史类
430,30214,福建,2025,历史类
429,30422,福建,2025,历史类
428,30651,福建,2025,历史类
427,30906,福建,2025,历史类
426,31127,福建,2025,历史类
425,31399,福建,2025,历史类
424,31656,福建,2025,历史类
423,31901,福建,2025,历史类
422,32148,福建,2025,历史类
421,32387,福建,2025,历史类
420,32626,福建,2025,历史类
419,32860,福建,2025,历史类
418,33099,福建,2025,历史类
417,33339,福建,2025,历史类
416,33553,福建,2025,历史类
415,33811,福建,2025,历史类
414,34032,福建,2025,历史类
413,34275,福建,2025,历史类
412,34528,福建,2025,历史类
411,34748,福建,2025,历史类
410,34967,福建,2025,历史类
409,35206,福建,2025,历史类
408,35453,福建,2025,历史类
407,35686,福建,2025,历史类
406,35915,福建,2025,历史类
405,36182,福建,2025,历史类
404,36430,福建,2025,历史类
403,36668,福建,2025,历史类
402,36924,福建,2025,历史类
401,37157,福建,2025,历史类
400,37433,福建,2025,历史类
399,37686,福建,2025,历史类
398,37907,福建,2025,历史类
397,38106,福建,2025,历史类
396,38336,福建,2025,历史类
395,38536,福建,2025,历史类
394,38772,福建,2025,历史类
393,39030,福建,2025,历史类
392,39257,福建,2025,历史类
391,39507,福建,2025,历史类
390,39737,福建,2025,历史类
389,39969,福建,2025,历史类
388,40158,福建,2025,历史类
387,40383,福建,2025,历史类
386,40590,福建,2025,历史类
385,40806,福建,2025,历史类
384,41057,福建,2025,历史类
383,41274,福建,2025,历史类
382,41497,福建,2025,历史类
381,41730,福建,2025,历史类
380,41984,福建,2025,历史类
379,42211,福建,2025,历史类
378,42432,福建,2025,历史类
377,42650,福建,2025,历史类
376,42863,福建,2025,历史类
375,43092,福建,2025,历史类
374,43308,福建,2025,历史类
373,43500,福建,2025,历史类
372,43718,福建,2025,历史类
371,43940,福建,2025,历史类
370,44168,福建,2025,历史类
369,44394,福建,2025,历史类
368,44598,福建,2025,历史类
367,44819,福建,2025,历史类
366,45027,福建,2025,历史类
365,45224,福建,2025,历史类
364,45427,福建,2025,历史类
363,45642,福建,2025,历史类
362,45868,福建,2025,历史类
361,46081,福建,2025,历史类
360,46278,福建,2025,历史类
359,46488,福建,2025,历史类
358,46698,福建,2025,历史类
357,46919,福建,2025,历史类
356,47135,福建,2025,历史类
355,47337,福建,2025,历史类
354,47551,福建,2025,历史类
353,47773,福建,2025,历史类
352,47971,福建,2025,历史类
351,48167,福建,2025,历史类
350,48364,福建,2025,历史类
349,48564,福建,2025,历史类
348,48776,福建,2025,历史类
347,48985,福建,2025,历史类
346,49155,福建,2025,历史类
345,49350,福建,2025,历史类
344,49534,福建,2025,历史类
343,49706,福建,2025,历史类
342,49904,福建,2025,历史类
341,50093,福建,2025,历史类
340,50275,福建,2025,历史类
339,50442,福建,2025,历史类
338,50605,福建,2025,历史类
337,50796,福建,2025,历史类
336,50944,福建,2025,历史类
335,51157,福建,2025,历史类
334,51305,福建,2025,历史类
333,51484,福建,2025,历史类
332,51644,福建,2025,历史类
331,51806,福建,2025,历史类
330,51961,福建,2025,历史类
329,52143,福建,2025,历史类
328,52323,福建,2025,历史类
327,52489,福建,2025,历史类
326,52646,福建,2025,历史类
325,52820,福建,2025,历史类
324,52974,福建,2025,历史类
323,53111,福建,2025,历史类
322,53254,福建,2025,历史类
321,53398,福建,2025,历史类
320,53555,福建,2025,历史类
319,53713,福建,2025,历史类
318,53855,福建,2025,历史类
317,53979,福建,2025,历史类
316,54103,福建,2025,历史类
315,54251,福建,2025,历史类
314,54362,福建,2025,历史类
313,54481,福建,2025,历史类
312,54608,福建,2025,历史类
311,54718,福建,2025,历史类
310,54839,福建,2025,历史类
309,54974,福建,2025,历史类
308,55080,福建,2025,历史类
307,55207,福建,2025,历史类
306,55314,福建,2025,历史类
305,55418,福建,2025,历史类
304,55547,福建,2025,历史类
303,55660,福建,2025,历史类
302,55759,福建,2025,历史类
301,55863,福建,2025,历史类
300,55967,福建,2025,历史类
299,56069,福建,2025,历史类
298,56186,福建,2025,历史类
297,56285,福建,2025,历史类
296,56371,福建,2025,历史类
295,56468,福建,2025,历史类
294,56567,福建,2025,历史类
293,56662,福建,2025,历史类
292,56747,福建,2025,历史类
291,56860,福建,2025,历史类
290,56960,福建,2025,历史类
289,57044,福建,2025,历史类
288,57131,福建,2025,历史类
287,57219,福建,2025,历史类
286,57301,福建,2025,历史类
285,57377,福建,2025,历史类
284,57467,福建,2025,历史类
283,57550,福建,2025,历史类
282,57631,福建,2025,历史类
281,57713,福建,2025,历史类
280,57774,福建,2025,历史类
279,57846,福建,2025,历史类
278,57912,福建,2025,历史类
277,57974,福建,2025,历史类
276,58044,福建,2025,历史类
275,58094,福建,2025,历史类
274,58157,福建,2025,历史类
273,58221,福建,2025,历史类
272,58284,福建,2025,历史类
271,58361,福建,2025,历史类
270,58417,福建,2025,历史类
269,58470,福建,2025,历史类
268,58528,福建,2025,历史类
267,58586,福建,2025,历史类
266,58641,福建,2025,历史类
265,58689,福建,2025,历史类
264,58740,福建,2025,历史类
263,58784,福建,2025,历史类
262,58837,福建,2025,历史类
261,58888,福建,2025,历史类
260,58929,福建,2025,历史类
259,58979,福建,2025,历史类
258,59033,福建,2025,历史类
257,59081,福建,2025,历史类
256,59128,福建,2025,历史类
255,59170,福建,2025,历史类
254,59209,福建,2025,历史类
253,59250,福建,2025,历史类
252,59287,福建,2025,历史类
251,59320,福建,2025,历史类
250,59357,福建,2025,历史类
249,59399,福建,2025,历史类
248,59434,福建,2025,历史类
247,59469,福建,2025,历史类
246,59504,福建,2025,历史类
245,59530,福建,2025,历史类
244,59557,福建,2025,历史类
243,59590,福建,2025,历史类
242,59615,福建,2025,历史类
241,59646,福建,2025,历史类
240,59672,福建,2025,历史类
239,59700,福建,2025,历史类
238,59737,福建,2025,历史类
237,59769,福建,2025,历史类
236,59799,福建,2025,历史类
235,59835,福建,2025,历史类
234,59855,福建,2025,历史类
233,59883,福建,2025,历史类
232,59906,福建,2025,历史类
231,59929,福建,2025,历史类
230,59953,福建,2025,历史类
229,59978,福建,2025,历史类
228,60001,福建,2025,历史类
227,60014,福建,2025,历史类
226,60039,福建,2025,历史类
225,60065,福建,2025,历史类
224,60079,福建,2025,历史类
223,60106,福建,2025,历史类
222,60132,福建,2025,历史类
221,60153,福建,2025,历史类
220,60171,福建,2025,历史类
