院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
西安交通大学,甘肃,历史类,2025,本科提前批A段,621,252,
西安交通大学,甘肃,历史类,2025,本科批C段,615,354,
上海财经大学,甘肃,历史类,2025,本科批C段,608,478,
华东师范大学,甘肃,历史类,2025,高校专项计划批,606,521,
中南大学,甘肃,历史类,2025,本科批C段,600,645,13
华东师范大学,甘肃,历史类,2025,本科提前批A段,591,883,
吉林大学,甘肃,历史类,2025,本科批C段,587,1015,22
华中师范大学,甘肃,历史类,2025,本科提前批A段,587,1015,
北京外国语大学,甘肃,历史类,2025,本科批C段,583,1155,
江南大学,甘肃,历史类,2025,本科批C段,581,1197,3
北京中医药大学,甘肃,历史类,2025,本科批C段,579,1317,
北京科技大学,甘肃,历史类,2025,本科批C段,576,1448,7
中国地质大学(北京),甘肃,历史类,2025,本科批C段,574,1487,
北京化工大学,甘肃,历史类,2025,本科批C段,571,1661,
山东大学,甘肃,历史类,2025,本科批C段,571,1661,62
中国传媒大学,甘肃,历史类,2025,本科批C段,567,1859,
中国石油大学(华东),甘肃,历史类,2025,本科批C段,567,1859,
中国地质大学(武汉),甘肃,历史类,2025,本科批C段,566,1922,
华中师范大学,甘肃,历史类,2025,本科批C段,566,1922,
中央财经大学,甘肃,历史类,2025,本科批C段,565,1978,
兰州大学,甘肃,历史类,2025,本科批C段,562,2140,169
华东理工大学,甘肃,历史类,2025,本科批C段,561,2200,
中国海洋大学,甘肃,历史类,2025,本科批C段,561,2200,
贵州大学,甘肃,历史类,2025,本科批C段,561,2200,
华中师范大学,甘肃,历史类,2025,高校专项计划批,561,2200,
北京林业大学,甘肃,历史类,2025,本科批C段,560,2252,
中国刑事警察学院,甘肃,历史类,2025,本科提前批A段,559,2309,11
中央戏剧学院,甘肃,历史类,2025,本科批C段,558,2374,
武汉理工大学,甘肃,历史类,2025,本科批C段,558,2374,
深圳大学,甘肃,历史类,2025,本科批C段,558,2374,11
对外经济贸易大学,甘肃,历史类,2025,本科批C段,554,2625,26
北京体育大学,甘肃,历史类,2025,本科批C段,554,2625,
江苏大学,甘肃,历史类,2025,本科批C段,554,2625,9
中国人民公安大学,甘肃,历史类,2025,本科提前批A段,554,2625,
大连海事大学,甘肃,历史类,2025,本科批C段,553,2694,
中国石油大学(北京)克拉玛依校区,甘肃,历史类,2025,本科批C段,553,2694,
新疆大学,甘肃,历史类,2025,本科批C段,552,2754,
西北政法大学,甘肃,历史类,2025,本科批C段,551,2821,
湘潭大学,甘肃,历史类,2025,本科批C段,550,2892,8
浙江师范大学,甘肃,历史类,2025,本科批C段,548,3032,6
辽宁中医药大学,甘肃,历史类,2025,本科批C段,546,3169,
上海海事大学,甘肃,历史类,2025,本科批C段,546,3169,
浙江理工大学,甘肃,历史类,2025,本科批C段,546,3169,
东北师范大学,甘肃,历史类,2025,本科批C段,545,3246,
延边大学,甘肃,历史类,2025,本科批C段,544,3331,
东北林业大学,甘肃,历史类,2025,本科批C段,544,3331,
上海对外经贸大学,甘肃,历史类,2025,本科批C段,543,3410,
长沙理工大学,甘肃,历史类,2025,本科批C段,543,3410,
南方医科大学,甘肃,历史类,2025,本科批C段,543,3410,
首都经济贸易大学,甘肃,历史类,2025,本科批C段,542,3501,
南京师范大学,甘肃,历史类,2025,本科批C段,542,3501,
中国民航大学,甘肃,历史类,2025,本科批C段,540,3664,
石家庄铁道大学,甘肃,历史类,2025,本科批C段,540,3664,
上海海洋大学,甘肃,历史类,2025,本科批C段,540,3664,
温州大学,甘肃,历史类,2025,本科批C段,540,3664,
海南大学,甘肃,历史类,2025,本科批C段,540,3664,
重庆师范大学,甘肃,历史类,2025,本科批C段,540,3664,
河南财经政法大学,甘肃,历史类,2025,本科批C段,539,3763,10
中国消防救援学院,甘肃,历史类,2025,本科提前批A段,539,3763,
临沂大学,甘肃,历史类,2025,本科批C段,538,3855,
湖北师范大学,甘肃,历史类,2025,本科批C段,537,3946,
重庆科技大学,甘肃,历史类,2025,本科批C段,537,3946,2
天水师范大学,甘肃,历史类,2025,本科提前批A段,537,3946,
上海立信会计金融学院,甘肃,历史类,2025,本科批C段,536,4038,
上海政法学院,甘肃,历史类,2025,本科批C段,533,4309,
青岛大学,甘肃,历史类,2025,本科批C段,533,4309,
上海体育大学,甘肃,历史类,2025,本科批C段,531,4488,
四川外国语大学,甘肃,历史类,2025,本科批C段,531,4488,
河西学院,甘肃,历史类,2025,本科提前批A段,531,,
安徽农业大学,甘肃,历史类,2025,本科批C段,530,4578,4
五邑大学,甘肃,历史类,2025,本科批C段,530,4578,1
成都师范学院,甘肃,历史类,2025,本科批C段,530,4578,
石河子大学,甘肃,历史类,2025,本科批C段,530,4578,40
天津工业大学,甘肃,历史类,2025,本科批C段,529,4702,18
辽宁师范大学,甘肃,历史类,2025,本科批C段,529,4702,3
浙江中医药大学,甘肃,历史类,2025,本科批C段,529,4702,1
西南石油大学,甘肃,历史类,2025,本科批C段,529,4702,
中北大学,甘肃,历史类,2025,本科批C段,528,4794,2
东北电力大学,甘肃,历史类,2025,本科批C段,527,4914,3
深圳技术大学,甘肃,历史类,2025,本科批C段,527,4914,6
中国劳动关系学院,甘肃,历史类,2025,本科批C段,526,4794,
咸阳师范学院,甘肃,历史类,2025,本科批C段,525,5132,2
四川师范大学,甘肃,历史类,2025,本科批C段,523,5352,
济南大学,甘肃,历史类,2025,本科批C段,522,5469,
武汉科技大学,甘肃,历史类,2025,本科批C段,522,5469,
上海理工大学,甘肃,历史类,2025,本科批C段,521,5576,
江苏科技大学,甘肃,历史类,2025,本科批C段,520,5681,6
山东政法学院,甘肃,历史类,2025,本科批C段,519,5794,
湖北大学,甘肃,历史类,2025,本科批C段,519,5794,
山西师范大学,甘肃,历史类,2025,本科批C段,517,6026,11
南京信息工程大学,甘肃,历史类,2025,本科批C段,517,6026,10
青岛理工大学,甘肃,历史类,2025,本科批C段,517,6026,
河北师范大学,甘肃,历史类,2025,本科批C段,516,6135,16
武汉轻工大学,甘肃,历史类,2025,本科批C段,516,6135,
延安大学,甘肃,历史类,2025,本科批C段,516,6135,6
西交利物浦大学,甘肃,历史类,2025,本科批C段,515,6237,33
成都中医药大学,甘肃,历史类,2025,本科批C段,515,6237,
中央美术学院,甘肃,历史类,2025,本科批C段,514,6358,
上海第二工业大学,甘肃,历史类,2025,本科批C段,512,6622,
扬州大学,甘肃,历史类,2025,本科批C段,512,6622,18
山东理工大学,甘肃,历史类,2025,本科批C段,512,6622,
北京联合大学,甘肃,历史类,2025,本科批C段,511,6770,
南京工业大学,甘肃,历史类,2025,本科批C段,511,6770,9
浙江传媒学院,甘肃,历史类,2025,本科批C段,510,6913,
鲁东大学,甘肃,历史类,2025,本科批C段,510,6913,
大连外国语大学,甘肃,历史类,2025,本科批C段,509,7041,29
江西理工大学,甘肃,历史类,2025,本科批C段,509,7041,8
中央民族大学,甘肃,历史类,2025,本科批C段,508,7177,
常州大学,甘肃,历史类,2025,本科批C段,508,7177,41
首都体育学院,甘肃,历史类,2025,本科批C段,507,7311,
云南民族大学,甘肃,历史类,2025,本科批C段,506,7449,
北京物资学院,甘肃,历史类,2025,本科批C段,505,7582,
江苏师范大学,甘肃,历史类,2025,本科批C段,505,7582,
重庆理工大学,甘肃,历史类,2025,本科批C段,505,7582,4
中华女子学院,甘肃,历史类,2025,本科批C段,504,7725,23
北华大学,甘肃,历史类,2025,本科批C段,504,7725,18
苏州科技大学,甘肃,历史类,2025,本科批C段,504,7725,
浙江外国语学院,甘肃,历史类,2025,本科批C段,503,7854,20
沈阳大学,甘肃,历史类,2025,本科批C段,502,8010,6
上海商学院,甘肃,历史类,2025,本科批C段,502,8010,
东华理工大学,甘肃,历史类,2025,本科批C段,502,8010,
榆林学院,甘肃,历史类,2025,本科批C段,502,8010,
上海师范大学,甘肃,历史类,2025,本科批C段,501,8160,
山西医科大学,甘肃,历史类,2025,本科批C段,499,8446,8
大连工业大学,甘肃,历史类,2025,本科批C段,499,8292,2
海南医科大学,甘肃,历史类,2025,本科批C段,498,8582,
大理大学,甘肃,历史类,2025,本科批C段,498,8582,10
北方民族大学,甘肃,历史类,2025,本科批C段,496,8866,
华侨大学,甘肃,历史类,2025,本科批C段,495,9030,
宁夏大学,甘肃,历史类,2025,本科批C段,495,9030,
湖北文理学院,甘肃,历史类,2025,本科批C段,494,9171,
湖北第二师范学院,甘肃,历史类,2025,本科批C段,494,9171,
遵义医科大学,甘肃,历史类,2025,本科批C段,494,9171,2
宁夏师范大学,甘肃,历史类,2025,本科批C段,494,9171,7
黑龙江中医药大学,甘肃,历史类,2025,本科批C段,492,9442,6
安庆师范大学,甘肃,历史类,2025,本科批C段,492,9442,25
吉林警察学院,甘肃,历史类,2025,本科批C段,491,9442,
福建江夏学院,甘肃,历史类,2025,本科批C段,491,9577,
哈尔滨商业大学,甘肃,历史类,2025,本科批C段,490,9734,
徐州工程学院,甘肃,历史类,2025,本科批C段,490,9734,
台州学院,甘肃,历史类,2025,本科批C段,490,9734,14
川北医学院,甘肃,历史类,2025,本科批C段,490,9734,
南昌医学院,甘肃,历史类,2025,本科批C段,488,10051,
四川音乐学院,甘肃,历史类,2025,本科批C段,488,10051,
金陵科技学院,甘肃,历史类,2025,本科批C段,487,10200,6
安徽财经大学,甘肃,历史类,2025,本科批C段,487,10200,21
西安文理学院,甘肃,历史类,2025,本科批C段,487,10200,23
沈阳理工大学,甘肃,历史类,2025,本科批C段,486,10360,2
苏州城市学院,甘肃,历史类,2025,本科批C段,486,10360,18
山东第一医科大学,甘肃,历史类,2025,本科批C段,486,10200,6
天津职业技术师范大学,甘肃,历史类,2025,本科批C段,485,10519,
西北师范大学,甘肃,历史类,2025,本科批C段,485,10519,
南京工程学院,甘肃,历史类,2025,本科批C段,484,10678,
浙江工商大学,甘肃,历史类,2025,本科批C段,484,10678,26
中南林业科技大学,甘肃,历史类,2025,本科批C段,484,10678,8
中国民用航空飞行学院,甘肃,历史类,2025,本科批C段,484,10678,6
贵州财经大学,甘肃,历史类,2025,本科批C段,484,10519,
宜宾学院,甘肃,历史类,2025,本科批C段,482,11028,17
山西农业大学,甘肃,历史类,2025,本科批C段,481,11215,
江西水利电力大学,甘肃,历史类,2025,本科批C段,481,10855,
天津师范大学,甘肃,历史类,2025,本科批C段,480,11403,
南京特殊教育师范学院,甘肃,历史类,2025,本科批C段,479,11596,23
西华师范大学,甘肃,历史类,2025,本科批C段,479,11596,
北京石油化工学院,甘肃,历史类,2025,本科批C段,478,11765,
天津体育学院,甘肃,历史类,2025,本科批C段,478,11765,
绍兴文理学院,甘肃,历史类,2025,本科批C段,478,11215,20
渭南师范学院,甘肃,历史类,2025,本科批C段,477,11948,5
广西科技大学,甘肃,历史类,2025,本科批C段,476,12143,6
山东师范大学,甘肃,历史类,2025,本科批C段,475,12326,
安徽中医药大学,甘肃,历史类,2025,本科批C段,473,12671,3
山东交通学院,甘肃,历史类,2025,本科批C段,473,12671,18
武汉商学院,甘肃,历史类,2025,本科批C段,472,12836,
湘南学院,甘肃,历史类,2025,本科批C段,472,12836,8
山西科技学院,甘肃,历史类,2025,本科批C段,471,12998,2
青岛科技大学,甘肃,历史类,2025,本科批C段,471,12671,3
陕西理工大学,甘肃,历史类,2025,本科批C段,471,12998,
吉林建筑大学,甘肃,历史类,2025,本科批C段,470,12671,
哈尔滨师范大学,甘肃,历史类,2025,本科批C段,470,13157,
山东石油化工学院,甘肃,历史类,2025,本科批C段,469,13375,6
河南工程学院,甘肃,历史类,2025,本科批C段,469,13375,
玉林师范学院,甘肃,历史类,2025,本科批C段,469,13375,
天津农学院,甘肃,历史类,2025,本科批C段,468,13568,15
福建商学院,甘肃,历史类,2025,本科批C段,468,13568,2
汉江师范学院,甘肃,历史类,2025,本科批C段,468,13568,8
四川旅游学院,甘肃,历史类,2025,本科批C段,468,13568,8
安康学院,甘肃,历史类,2025,本科批C段,468,13568,12
长治学院,甘肃,历史类,2025,本科批C段,467,13762,17
哈尔滨学院,甘肃,历史类,2025,本科批C段,467,13762,
河南大学,甘肃,历史类,2025,本科批C段,467,13762,
湖北医药学院,甘肃,历史类,2025,本科批C段,467,13762,
西南民族大学,甘肃,历史类,2025,本科批C段,467,13762,86
淮阴师范学院,甘肃,历史类,2025,本科批C段,466,13969,
德州学院,甘肃,历史类,2025,本科批C段,466,13969,10
湖北理工学院,甘肃,历史类,2025,本科批C段,466,13762,
昆明学院,甘肃,历史类,2025,本科批C段,466,13375,3
河北金融学院,甘肃,历史类,2025,本科批C段,465,14164,15
防灾科技学院,甘肃,历史类,2025,本科批C段,465,14164,
宝鸡文理学院,甘肃,历史类,2025,本科批C段,465,13969,4
宜春学院,甘肃,历史类,2025,本科批C段,464,14358,16
平顶山学院,甘肃,历史类,2025,本科批C段,464,14358,
湖北汽车工业学院,甘肃,历史类,2025,本科批C段,464,14358,
湖南人文科技学院,甘肃,历史类,2025,本科批C段,464,14358,12
桂林理工大学,甘肃,历史类,2025,本科批C段,464,14358,
四川文理学院,甘肃,历史类,2025,本科批C段,464,14358,9
辽宁科技学院,甘肃,历史类,2025,本科批C段,463,14549,4
浙江万里学院,甘肃,历史类,2025,本科批C段,463,14549,
山东工商学院,甘肃,历史类,2025,本科批C段,463,14549,
河北科技大学,甘肃,历史类,2025,本科批C段,461,14967,5
呼和浩特民族学院,甘肃,历史类,2025,本科批C段,461,14967,11
吉林医药学院,甘肃,历史类,2025,本科批C段,461,14770,
三明学院,甘肃,历史类,2025,本科批C段,461,14967,3
九江学院,甘肃,历史类,2025,本科批C段,461,14967,
长沙学院,甘肃,历史类,2025,本科批C段,461,14967,10
鞍山师范学院,甘肃,历史类,2025,本科批C段,460,15155,
河南科技学院,甘肃,历史类,2025,本科批C段,460,15155,
信阳农林学院,甘肃,历史类,2025,本科批C段,459,15360,2
集宁师范学院,甘肃,历史类,2025,本科批C段,458,15545,5
长春中医药大学,甘肃,历史类,2025,本科批C段,458,15545,2
牡丹江师范学院,甘肃,历史类,2025,本科批C段,458,15545,14
怀化学院,甘肃,历史类,2025,本科批C段,457,15742,
湖南工业大学,甘肃,历史类,2025,本科批C段,457,15742,
安顺学院,甘肃,历史类,2025,本科批C段,457,15742,3
山东女子学院,甘肃,历史类,2025,本科批C段,456,15941,2
绵阳师范学院,甘肃,历史类,2025,本科批C段,456,15941,
沈阳师范大学,甘肃,历史类,2025,本科批C段,455,16133,21
海南热带海洋学院,甘肃,历史类,2025,本科批C段,455,16133,
吉林工程技术师范学院,甘肃,历史类,2025,本科批C段,454,15941,
黑河学院,甘肃,历史类,2025,本科批C段,454,16371,
攀枝花学院,甘肃,历史类,2025,本科批C段,454,16371,4
山西工程科技职业大学,甘肃,历史类,2025,本科批C段,453,16575,3
新余学院,甘肃,历史类,2025,本科批C段,453,16575,13
济宁学院,甘肃,历史类,2025,本科批C段,453,16575,
凯里学院,甘肃,历史类,2025,本科批C段,453,16371,7
陕西学前师范学院,甘肃,历史类,2025,本科批C段,453,16575,
石家庄铁道大学四方学院,甘肃,历史类,2025,本科批C段,452,16798,2
辽东学院,甘肃,历史类,2025,本科批C段,452,16798,
池州学院,甘肃,历史类,2025,本科批C段,452,16798,16
赣南科技学院,甘肃,历史类,2025,本科批C段,452,16798,
中原工学院,甘肃,历史类,2025,本科批C段,452,16798,
河北科技工程职业技术大学,甘肃,历史类,2025,本科批C段,451,16371,
黑龙江工业学院,甘肃,历史类,2025,本科批C段,451,16798,14
