院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
北京大学医学部,广东,历史类,2025,本科批,654,160,
华东师范大学,广东,历史类,2025,本科批,622,1778,
西安交通大学,广东,历史类,2025,本科批,621,1890,
对外经济贸易大学,广东,历史类,2025,本科批,618,2245,38
中南大学,广东,历史类,2025,本科批,616,2472,31
中央财经大学,广东,历史类,2025,本科批,611,3181,
华东师范大学,广东,历史类,2025,特殊类型招生批,611,3181,
中央民族大学,广东,历史类,2025,本科批,610,3337,
上海财经大学,广东,历史类,2025,本科批,610,3337,
山东大学,广东,历史类,2025,本科批,609,3506,55
北京外国语大学,广东,历史类,2025,本科批,606,4044,
吉林大学,广东,历史类,2025,本科批,606,4044,37
华中师范大学,广东,历史类,2025,本科批,604,4435,
华中师范大学,广东,历史类,2025,本科提前批,604,4435,
北京科技大学,广东,历史类,2025,本科批,603,4644,9
中国传媒大学,广东,历史类,2025,本科批,603,4644,
中国海洋大学,广东,历史类,2025,本科批,602,4868,
西北政法大学,广东,历史类,2025,本科批,601,5069,
兰州大学,广东,历史类,2025,本科批,601,5069,29
华东理工大学,广东,历史类,2025,本科批,600,5295,
南京师范大学,广东,历史类,2025,本科批,600,5295,
北京中医药大学,广东,历史类,2025,本科批,595,6493,
南京理工大学,广东,历史类,2025,本科批,595,6493,
中国地质大学(北京),广东,历史类,2025,本科批,594,6740,
北京化工大学,广东,历史类,2025,本科批,590,7864,
北京林业大学,广东,历史类,2025,本科批,590,7863,
江苏大学,广东,历史类,2025,本科批,590,7864,4
中国地质大学(武汉),广东,历史类,2025,本科批,590,7864,
江南大学,广东,历史类,2025,本科批,589,8168,21
中国石油大学(华东),广东,历史类,2025,本科批,589,8168,
西交利物浦大学,广东,历史类,2025,本科批,589,8168,4
首都经济贸易大学,广东,历史类,2025,本科批,588,8476,
中国计量大学,广东,历史类,2025,本科批,588,8477,2
武汉理工大学,广东,历史类,2025,本科批,588,8477,
贵州大学,广东,历史类,2025,本科批,587,8800,
中国人民公安大学,广东,历史类,2025,本科提前批,586,9121,
上海戏剧学院,广东,历史类,2025,本科批,585,9436,
宁波大学,广东,历史类,2025,本科批,585,9436,
大连海事大学,广东,历史类,2025,本科批,584,9799,
安徽中医药大学,广东,历史类,2025,本科批,583,10145,1
中央戏剧学院,广东,历史类,2025,本科批,582,10503,
上海政法学院,广东,历史类,2025,本科批,581,10867,
中央美术学院,广东,历史类,2025,本科批,580,11211,
广东外语外贸大学,广东,历史类,2025,本科批,580,11211,
华中师范大学,广东,历史类,2025,特殊类型招生批,580,11211,
湘潭大学,广东,历史类,2025,本科批,578,11930,34
宁夏大学,广东,历史类,2025,本科批,577,12288,
上海海事大学,广东,历史类,2025,本科批,576,12652,
东北林业大学,广东,历史类,2025,本科批,573,13765,
上海师范大学,广东,历史类,2025,本科批,572,14166,
重庆中医药学院,广东,历史类,2025,本科批,571,14533,5
深圳大学,广东,历史类,2025,本科批,570,14885,1277
上海体育大学,广东,历史类,2025,本科批,569,15306,
扬州大学,广东,历史类,2025,本科批,568,15729,8
中国民航大学,广东,历史类,2025,本科批,567,16170,
深圳技术大学,广东,历史类,2025,本科批,567,16170,311
南京工业大学,广东,历史类,2025,本科批,565,17054,6
浙江工商大学,广东,历史类,2025,本科批,565,17054,21
上海理工大学,广东,历史类,2025,本科批,564,17511,
青海大学,广东,历史类,2025,本科批,564,17511,
黑龙江中医药大学,广东,历史类,2025,本科批,563,17952,2
南京信息工程大学,广东,历史类,2025,本科批,563,17952,19
中国刑事警察学院,广东,历史类,2025,本科提前批,563,17952,71
湖北大学,广东,历史类,2025,本科批,562,18408,
新疆大学,广东,历史类,2025,本科批,562,18408,
内蒙古大学,广东,历史类,2025,本科批,561,18892,20
浙江工业大学,广东,历史类,2025,本科批,561,18892,6
北京物资学院,广东,历史类,2025,本科批,560,18892,
河南财经政法大学,广东,历史类,2025,本科批,560,19388,6
浙江农林大学,广东,历史类,2025,本科批,559,19859,5
苏州科技大学,广东,历史类,2025,本科批,558,20330,
长沙理工大学,广东,历史类,2025,本科批,558,20330,
上海立信会计金融学院,广东,历史类,2025,本科批,558,20330,
浙江理工大学,广东,历史类,2025,本科批,557,20330,
浙江中医药大学,广东,历史类,2025,本科批,557,19859,2
武汉科技大学,广东,历史类,2025,本科批,557,20816,
重庆师范大学,广东,历史类,2025,本科批,557,20816,
北京联合大学,广东,历史类,2025,本科批,557,19858,
延边大学,广东,历史类,2025,本科批,556,21304,
温州大学,广东,历史类,2025,本科批,556,21304,
广东警官学院,广东,历史类,2025,本科批,556,21304,
燕山大学,广东,历史类,2025,本科批,555,21791,14
山东科技大学,广东,历史类,2025,本科批,555,21791,2
湖北师范大学,广东,历史类,2025,本科批,555,21304,
昆明理工大学,广东,历史类,2025,本科批,555,21304,
天津工业大学,广东,历史类,2025,本科批,554,22303,6
上海海洋大学,广东,历史类,2025,本科批,554,22303,
江苏师范大学,广东,历史类,2025,本科批,554,22303,
湖州师范学院,广东,历史类,2025,本科批,554,22303,2
西南民族大学,广东,历史类,2025,本科批,554,22303,31
甘肃政法大学,广东,历史类,2025,本科批,554,22303,
重庆理工大学,广东,历史类,2025,本科批,554,21304,8
大连外国语大学,广东,历史类,2025,本科批,553,22815,15
山东财经大学,广东,历史类,2025,本科批,553,22815,
海南大学,广东,历史类,2025,本科批,553,22815,
上海第二工业大学,广东,历史类,2025,本科批,553,22303,
安徽农业大学,广东,历史类,2025,本科批,552,23301,2
安徽财经大学,广东,历史类,2025,本科批,552,23301,18
南华大学,广东,历史类,2025,本科批,552,23301,
西南石油大学,广东,历史类,2025,本科批,552,23301,
中国劳动关系学院,广东,历史类,2025,本科批,552,23301,
浙江传媒学院,广东,历史类,2025,本科批,551,23799,
南方医科大学,广东,历史类,2025,本科批,551,23799,
河北师范大学,广东,历史类,2025,本科批,550,24337,4
中南林业科技大学,广东,历史类,2025,本科批,550,24337,34
青岛大学,广东,历史类,2025,本科批,550,24337,
上海商学院,广东,历史类,2025,本科批,550,23301,
岭南师范学院,广东,历史类,2025,本科提前批,550,24337,118
天津师范大学,广东,历史类,2025,本科批,549,24848,
华侨大学,广东,历史类,2025,本科批,549,24848,
广州医科大学,广东,历史类,2025,本科批,549,24848,194
江苏科技大学,广东,历史类,2025,本科批,548,25415,3
常州大学,广东,历史类,2025,本科批,548,25415,4
安徽师范大学,广东,历史类,2025,本科批,548,25415,
河南大学,广东,历史类,2025,本科批,548,25415,
南京工程学院,广东,历史类,2025,本科批,548,25415,
重庆科技大学,广东,历史类,2025,本科批,548,25413,3
云南警官学院,广东,历史类,2025,本科提前批,548,25415,
首都体育学院,广东,历史类,2025,本科批,547,25977,
广西师范大学,广东,历史类,2025,本科批,547,25977,
四川师范大学,广东,历史类,2025,本科批,547,25977,
四川外国语大学,广东,历史类,2025,本科批,547,25977,
湖南工业大学,广东,历史类,2025,本科批,547,25977,
韩山师范学院,广东,历史类,2025,本科提前批,547,25977,70
北京服装学院,广东,历史类,2025,本科批,546,26515,3
河北医科大学,广东,历史类,2025,本科批,546,26515,
江西农业大学,广东,历史类,2025,本科批,546,26515,
济南大学,广东,历史类,2025,本科批,546,26515,
贵州财经大学,广东,历史类,2025,本科批,545,27078,
海南师范大学,广东,历史类,2025,本科批,545,27078,24
东北师范大学,广东,历史类,2025,本科批,544,27623,
云南民族大学,广东,历史类,2025,本科批,544,27623,
东北电力大学,广东,历史类,2025,本科批,543,28222,2
浙江海洋大学,广东,历史类,2025,本科批,543,28222,8
江西理工大学,广东,历史类,2025,本科批,543,28222,24
北京体育大学,广东,历史类,2025,本科批,542,28819,
浙江师范大学,广东,历史类,2025,本科批,542,28819,25
绍兴文理学院,广东,历史类,2025,本科批,542,28819,5
青岛理工大学,广东,历史类,2025,本科批,542,28819,
山西师范大学,广东,历史类,2025,本科批,541,29436,12
东北石油大学,广东,历史类,2025,本科批,541,29436,4
苏州城市学院,广东,历史类,2025,本科批,541,29436,20
中原工学院,广东,历史类,2025,本科批,539,30651,
大理大学,广东,历史类,2025,本科批,539,30651,4
西安美术学院,广东,历史类,2025,本科批,538,31261,
广西中医药大学赛恩斯新医药学院,广东,历史类,2025,本科批,538,31261,
山东农业大学,广东,历史类,2025,本科批,537,31846,
南京特殊教育师范学院,广东,历史类,2025,本科批,537,31846,8
天津美术学院,广东,历史类,2025,本科批,536,32474,
石家庄铁道大学,广东,历史类,2025,本科批,536,32474,
山东航空学院,广东,历史类,2025,本科批,536,32474,
湖北美术学院,广东,历史类,2025,本科批,536,32474,
广州美术学院,广东,历史类,2025,本科批,536,32474,
中华女子学院,广东,历史类,2025,本科批,536,32474,24
