院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
华东师范大学,广西,历史类,2025,本科批,621,472,
东南大学,广西,历史类,2025,本科批,616,602,
西安交通大学,广西,历史类,2025,本科批,616,609,
四川大学,广西,历史类,2025,本科批,613,702,
中南大学,广西,历史类,2025,本科批,607,943,23
哈尔滨工业大学,广西,历史类,2025,本科批,607,943,
对外经济贸易大学,广西,历史类,2025,本科批,606,997,26
厦门大学,广西,历史类,2025,特殊类型批,604,1102,
外交学院,广西,历史类,2025,本科提前批,602,1209,
山东大学,广西,历史类,2025,特殊类型批,602,1200,
深圳大学,广西,历史类,2025,本科批,598,1427,10
对外经济贸易大学,广西,历史类,2025,本科提前批,598,1427,8
华东师范大学,广西,历史类,2025,本科提前批,598,1427,
中国海洋大学,广西,历史类,2025,本科提前批,598,1417,
北京外国语大学,广西,历史类,2025,本科批,597,1508,
北京科技大学,广西,历史类,2025,本科批,596,1496,6
苏州大学,广西,历史类,2025,本科批,596,1568,
华中师范大学,广西,历史类,2025,本科批,594,1686,
华中师范大学,广西,历史类,2025,本科提前批,593,1754,
西南大学,广西,历史类,2025,本科提前批,593,1754,
南京师范大学,广西,历史类,2025,特殊类型批,592,1814,
华东理工大学,广西,历史类,2025,本科批,591,1897,
山东大学,广西,历史类,2025,本科批,591,1897,32
首都师范大学,广西,历史类,2025,本科提前批,591,1886,
华中师范大学,广西,历史类,2025,特殊类型批,591,1886,
中国传媒大学,广西,历史类,2025,本科提前批,590,1967,
兰州大学,广西,历史类,2025,本科批,589,2041,16
上海财经大学,广西,历史类,2025,本科批,587,2177,
中国海洋大学,广西,历史类,2025,本科批,586,2251,
东北师范大学,广西,历史类,2025,本科提前批,586,2251,
中国海洋大学,广西,历史类,2025,特殊类型批,586,2241,
上海大学,广西,历史类,2025,本科批,585,2320,
中国地质大学(武汉),广西,历史类,2025,本科批,585,2320,
中南财经政法大学,广西,历史类,2025,特殊类型批,585,2308,
北京化工大学,广西,历史类,2025,本科批,584,2401,
北京中医药大学,广西,历史类,2025,本科批,584,2401,
中国石油大学(华东),广西,历史类,2025,本科批,584,2401,
中央民族大学,广西,历史类,2025,本科批,582,2563,
安徽大学,广西,历史类,2025,本科批,582,2563,
武汉理工大学,广西,历史类,2025,本科批,582,2563,
中国地质大学(北京),广西,历史类,2025,本科批,582,2563,
南京理工大学,广西,历史类,2025,本科批,581,2664,
中央财经大学,广西,历史类,2025,本科批,580,2769,
中国矿业大学,广西,历史类,2025,本科批,580,2751,
吉林大学,广西,历史类,2025,本科批,579,2847,19
