分数,位次,省份,年份,科类
659,10,广西,2025,历史类
658,11,广西,2025,历史类
657,13,广西,2025,历史类
656,14,广西,2025,历史类
655,17,广西,2025,历史类
654,18,广西,2025,历史类
653,21,广西,2025,历史类
652,24,广西,2025,历史类
651,27,广西,2025,历史类
650,31,广西,2025,历史类
649,41,广西,2025,历史类
648,46,广西,2025,历史类
647,53,广西,2025,历史类
646,58,广西,2025,历史类
645,65,广西,2025,历史类
644,72,广西,2025,历史类
643,83,广西,2025,历史类
642,92,广西,2025,历史类
641,108,广西,2025,历史类
640,121,广西,2025,历史类
639,131,广西,2025,历史类
638,149,广西,2025,历史类
637,159,广西,2025,历史类
636,168,广西,2025,历史类
635,182,广西,2025,历史类
634,196,广西,2025,历史类
633,207,广西,2025,历史类
632,219,广西,2025,历史类
631,239,广西,2025,历史类
630,260,广西,2025,历史类
629,283,广西,2025,历史类
628,301,广西,2025,历史类
627,318,广西,2025,历史类
626,337,广西,2025,历史类
625,363,广西,2025,历史类
624,388,广西,2025,历史类
623,418,广西,2025,历史类
622,441,广西,2025,历史类
621,472,广西,2025,历史类
620,498,广西,2025,历史类
619,520,广西,2025,历史类
618,544,广西,2025,历史类
617,574,广西,2025,历史类
616,609,广西,2025,历史类
615,642,广西,2025,历史类
614,671,广西,2025,历史类
613,702,广西,2025,历史类
612,745,广西,2025,历史类
611,788,广西,2025,历史类
610,833,广西,2025,历史类
609,860,广西,2025,历史类
608,897,广西,2025,历史类
607,943,广西,2025,历史类
606,997,广西,2025,历史类
605,1056,广西,2025,历史类
604,1110,广西,2025,历史类
603,1151,广西,2025,历史类
602,1209,广西,2025,历史类
601,1256,广西,2025,历史类
600,1298,广西,2025,历史类
599,1363,广西,2025,历史类
598,1427,广西,2025,历史类
597,1508,广西,2025,历史类
596,1568,广西,2025,历史类
595,1633,广西,2025,历史类
594,1686,广西,2025,历史类
593,1754,广西,2025,历史类
592,1826,广西,2025,历史类
591,1897,广西,2025,历史类
590,1976,广西,2025,历史类
589,2041,广西,2025,历史类
588,2109,广西,2025,历史类
587,2177,广西,2025,历史类
586,2251,广西,2025,历史类
585,2320,广西,2025,历史类
584,2401,广西,2025,历史类
583,2489,广西,2025,历史类
582,2563,广西,2025,历史类
581,2664,广西,2025,历史类
580,2769,广西,2025,历史类
579,2847,广西,2025,历史类
578,2929,广西,2025,历史类
577,3030,广西,2025,历史类
576,3117,广西,2025,历史类
575,3209,广西,2025,历史类
574,3300,广西,2025,历史类
573,3394,广西,2025,历史类
572,3504,广西,2025,历史类
571,3607,广西,2025,历史类
570,3714,广西,2025,历史类
569,3827,广西,2025,历史类
568,3954,广西,2025,历史类
567,4063,广西,2025,历史类
566,4178,广西,2025,历史类
565,4274,广西,2025,历史类
564,4390,广西,2025,历史类
563,4502,广西,2025,历史类
562,4633,广西,2025,历史类
