院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
清华大学,贵州,历史类,2025,本科批,674,,3
北京大学,贵州,历史类,2025,本科批,670,,23
清华大学,贵州,历史类,2025,本科提前批B段,668,33,2
上海交通大学,贵州,历史类,2025,本科批,664,46,2
北京大学,贵州,历史类,2025,本科提前批B段,664,48,4
复旦大学,贵州,历史类,2025,本科批,659,77,15
浙江大学,贵州,历史类,2025,本科批,654,132,11
南京大学,贵州,历史类,2025,本科提前批B段,650,184,2
浙江大学,贵州,历史类,2025,本科提前批B段,650,183,1
中国人民大学,贵州,历史类,2025,本科批,649,209,38
南京大学,贵州,历史类,2025,本科批,648,224,31
武汉大学,贵州,历史类,2025,本科批,647,242,24
北京师范大学,贵州,历史类,2025,本科批,641,346,13
北京电子科技学院,贵州,历史类,2025,本科提前批A段,639,391,3
中国政法大学,贵州,历史类,2025,本科提前批B段,639,374,1
中国人民大学,贵州,历史类,2025,本科提前批B段,636,476,2
华中科技大学,贵州,历史类,2025,本科批,635,510,5
北京航空航天大学,贵州,历史类,2025,本科批,634,527,9
香港中文大学(深圳),贵州,历史类,2025,本科提前批B段,634,527,6
武汉大学,贵州,历史类,2025,本科提前批B段,633,553,1
同济大学,贵州,历史类,2025,本科批,632,587,13
北京师范大学,贵州,历史类,2025,本科提前批B段,631,592,1
东南大学,贵州,历史类,2025,本科提前批B段,630,642,1
南开大学,贵州,历史类,2025,本科批,628,716,33
哈尔滨工业大学,贵州,历史类,2025,本科批,627,748,7
中山大学,贵州,历史类,2025,本科提前批B段,627,719,2
厦门大学,贵州,历史类,2025,本科批,625,829,32
陕西师范大学,贵州,历史类,2025,本科提前批B段,625,806,2
华东师范大学,贵州,历史类,2025,本科批,623,913,18
上海财经大学,贵州,历史类,2025,本科批,623,913,17
西安交通大学,贵州,历史类,2025,本科批,623,913,2
北京理工大学,贵州,历史类,2025,本科批,622,948,16
香港中文大学,贵州,历史类,2025,本科提前批B段,622,948,7
华东师范大学,贵州,历史类,2025,本科提前批C段,622,948,21
东北师范大学,贵州,历史类,2025,本科提前批C段,621,977,17
外交学院,贵州,历史类,2025,本科提前批B段,620,1019,7
西南政法大学,贵州,历史类,2025,本科提前批B段,619,1023,1
北京师范大学,贵州,历史类,2025,本科提前批C段,618,1107,9
电子科技大学,贵州,历史类,2025,本科批,615,1274,5
湖南大学,贵州,历史类,2025,本科批,614,1338,23
中国政法大学,贵州,历史类,2025,本科批,614,1338,47
东南大学,贵州,历史类,2025,本科批,614,1338,15
华中师范大学,贵州,历史类,2025,本科提前批C段,614,1338,
西北工业大学,贵州,历史类,2025,本科批,613,1399,7
山东大学,贵州,历史类,2025,本科批,612,1443,32
湖南大学,贵州,历史类,2025,本科提前批B段,612,1434,1
东北师范大学,贵州,历史类,2025,本科提前批B段,612,1443,1
天津大学,贵州,历史类,2025,本科批,611,1459,11
厦门大学,贵州,历史类,2025,本科提前批B段,611,1446,1
陕西师范大学,贵州,历史类,2025,本科提前批C段,611,1490,48
西南大学,贵州,历史类,2025,本科提前批C段,611,1490,91
贵州师范大学,贵州,历史类,2025,本科提前批C段,611,1471,6
中山大学,贵州,历史类,2025,本科批,610,1554,36
南开大学,贵州,历史类,2025,本科提前批B段,610,1502,5
四川大学,贵州,历史类,2025,本科提前批B段,610,1512,6
中南大学,贵州,历史类,2025,本科提前批B段,610,1546,1
吉林大学,贵州,历史类,2025,本科批,608,1689,17
华东师范大学,贵州,历史类,2025,本科提前批B段,607,1760,5
兰州大学,贵州,历史类,2025,本科提前批B段,607,1760,2
苏州大学,贵州,历史类,2025,本科提前批B段,607,1717,1
深圳大学,贵州,历史类,2025,本科批,606,1821,11
上海外国语大学,贵州,历史类,2025,本科提前批B段,606,1821,5
中国社会科学院大学,贵州,历史类,2025,本科批,605,1881,24
大连理工大学,贵州,历史类,2025,本科批,605,1881,26
华南理工大学,贵州,历史类,2025,本科批,604,1935,26
兰州大学,贵州,历史类,2025,本科批,604,1935,13
中国农业大学,贵州,历史类,2025,本科批,604,1935,13
中南大学,贵州,历史类,2025,本科批,604,1935,35
西北农林科技大学,贵州,历史类,2025,本科批,603,2019,9
西南政法大学,贵州,历史类,2025,本科批,603,2019,35
北京科技大学,贵州,历史类,2025,本科批,602,2091,8
中国传媒大学,贵州,历史类,2025,本科批,602,2091,22
中国海洋大学,贵州,历史类,2025,本科批,602,2091,27
东北大学秦皇岛分校,贵州,历史类,2025,本科批,602,2091,8
华中师范大学,贵州,历史类,2025,本科批,601,2160,3
中央财经大学,贵州,历史类,2025,本科批,600,2238,25
南京师范大学,贵州,历史类,2025,本科批,599,2313,39
中央民族大学,贵州,历史类,2025,本科批,599,2313,66
湖南师范大学,贵州,历史类,2025,本科批,598,2405,22
上海外国语大学,贵州,历史类,2025,本科批,598,2405,9
西南财经大学,贵州,历史类,2025,本科批,598,2405,51
中国药科大学,贵州,历史类,2025,本科批,598,2353,5
中国人民解放军国防科技大学,贵州,历史类,2025,本科提前批A段,598,2405,6
华中师范大学,贵州,历史类,2025,本科提前批B段,598,2405,
中国海洋大学,贵州,历史类,2025,本科提前批B段,598,2345,1
西北政法大学,贵州,历史类,2025,本科批,597,2481,23
东华大学,贵州,历史类,2025,本科批,597,2481,14
对外经济贸易大学,贵州,历史类,2025,本科批,597,2481,22
河海大学,贵州,历史类,2025,本科批,596,2556,13
北京化工大学,贵州,历史类,2025,本科批,595,2629,13
北京交通大学,贵州,历史类,2025,本科批,595,2629,7
陕西师范大学,贵州,历史类,2025,本科批,595,2629,9
中央财经大学,贵州,历史类,2025,本科提前批B段,595,2569,1
四川大学,贵州,历史类,2025,本科批,594,2701,56
西北大学,贵州,历史类,2025,本科批,594,2701,19
中国地质大学(武汉),贵州,历史类,2025,本科批,594,2701,13
苏州大学,贵州,历史类,2025,本科批,593,2779,46
中国石油大学(华东),贵州,历史类,2025,本科批,593,2779,5
西南大学,贵州,历史类,2025,本科提前批B段,593,2779,5
华东理工大学,贵州,历史类,2025,本科批,592,2878,
华南师范大学,贵州,历史类,2025,本科批,592,2878,25
武汉理工大学,贵州,历史类,2025,本科批,592,2878,38
郑州大学,贵州,历史类,2025,本科批,592,2789,19
