院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
北京大学医学部,海南,综合,2025,本科批,815,,
华东师范大学,海南,综合,2025,本科批,729,856,
北京邮电大学,海南,综合,2025,国家专项计划批,703,1641,1
上海财经大学,海南,综合,2025,本科批,702,1682,
对外经济贸易大学,海南,综合,2025,本科批,700,1763,24
中央财经大学,海南,综合,2025,本科批,699,1809,
山东大学,海南,综合,2025,本科批,692,2130,50
华东师范大学,海南,综合,2025,本科提前批,692,2130,
中南大学,海南,综合,2025,本科批,690,2229,72
北京工业大学,海南,综合,2025,本科批,690,2229,
北京科技大学,海南,综合,2025,本科批,685,2483,17
温州医科大学,海南,综合,2025,本科批,682,2657,
深圳大学,海南,综合,2025,本科批,679,2839,42
北京外国语大学,海南,综合,2025,本科批,679,2839,
东北师范大学,海南,综合,2025,本科批,679,2839,
中央美术学院,海南,综合,2025,本科批,676,3029,
华东理工大学,海南,综合,2025,本科批,675,3092,
北京化工大学,海南,综合,2025,本科批,673,3221,
吉林大学,海南,综合,2025,本科批,673,3221,75
北京中医药大学,海南,综合,2025,本科批,672,3289,
兰州大学,海南,综合,2025,本科批,670,3448,21
南京理工大学,海南,综合,2025,本科批,670,3448,
西安交通大学,海南,综合,2025,本科批,669,3508,
上海财经大学,海南,综合,2025,国家专项计划批,668,3587,
华中师范大学,海南,综合,2025,本科批,668,3587,
中国石油大学(北京),海南,综合,2025,本科批,668,3587,
西北政法大学,海南,综合,2025,本科批,667,3660,
南京邮电大学,海南,综合,2025,本科批,666,3746,90
北京邮电大学,海南,综合,2025,本科预科班批,664,3898,2
南京信息工程大学,海南,综合,2025,本科批,662,4062,15
中国海洋大学,海南,综合,2025,本科批,660,4238,
温州大学,海南,综合,2025,本科批,660,4238,
武汉理工大学,海南,综合,2025,本科批,659,4314,
华中师范大学,海南,综合,2025,国家专项计划批,655,4681,
南京师范大学,海南,综合,2025,本科批,654,4768,
华中师范大学,海南,综合,2025,本科提前批,654,4768,
中国石油大学(华东),海南,综合,2025,本科批,653,4856,
首都经济贸易大学,海南,综合,2025,本科批,649,5269,
江南大学,海南,综合,2025,本科批,649,5165,8
上海对外经贸大学,海南,综合,2025,本科批,647,5469,
北京林业大学,海南,综合,2025,本科批,646,5572,
中国计量大学,海南,综合,2025,本科批,645,5663,15
中国地质大学(武汉),海南,综合,2025,本科批,644,5768,
北京中医药大学,海南,综合,2025,高校专项计划批,644,5768,
中国地质大学(北京),海南,综合,2025,本科批,643,5904,
上海理工大学,海南,综合,2025,本科批,641,6129,
华东理工大学,海南,综合,2025,国家专项计划批,640,6238,
浙江工业大学,海南,综合,2025,本科批,637,6580,20
广东警官学院,海南,综合,2025,本科批,636,6697,
上海政法学院,海南,综合,2025,本科批,636,6697,
南方医科大学,海南,综合,2025,本科批,633,7049,
上海海事大学,海南,综合,2025,本科批,631,7322,
北京工业大学,海南,综合,2025,国家专项计划批,629,7578,
大连医科大学,海南,综合,2025,本科批,629,7578,
中央民族大学,海南,综合,2025,本科批,629,7578,
中国民航大学,海南,综合,2025,本科批,628,7724,
北京工商大学,海南,综合,2025,本科批,627,7840,
中国石油大学(北京)克拉玛依校区,海南,综合,2025,本科批,623,8400,
浙江中医药大学,海南,综合,2025,本科批,623,8400,8
华中师范大学,海南,综合,2025,高校专项计划批,623,8400,
北京邮电大学,海南,综合,2025,本科批,622,8546,62
江苏师范大学,海南,综合,2025,本科批,620,8822,
江苏大学,海南,综合,2025,本科批,619,8984,48
重庆理工大学,海南,综合,2025,本科批,618,9132,20
宁波大学,海南,综合,2025,本科批,618,9132,
南京理工大学,海南,综合,2025,国家专项计划批,617,9286,
北京科技大学,海南,综合,2025,国家专项计划批,616,9485,1
东北电力大学,海南,综合,2025,本科批,616,9485,10
南京工程学院,海南,综合,2025,本科批,616,9485,
浙江理工大学,海南,综合,2025,本科批,616,9485,
天津工业大学,海南,综合,2025,本科批,616,9485,35
天津师范大学,海南,综合,2025,本科批,614,9773,
浙江师范大学,海南,综合,2025,本科批,614,9773,20
西南石油大学,海南,综合,2025,本科批,613,9938,
上海海洋大学,海南,综合,2025,本科批,613,9938,
黑龙江大学,海南,综合,2025,本科提前批,611,10262,
长沙理工大学,海南,综合,2025,本科批,610,10420,
重庆医科大学,海南,综合,2025,本科批,610,10420,
上海体育大学,海南,综合,2025,本科批,610,10420,
广州医科大学,海南,综合,2025,本科批,605,11264,
武汉科技大学,海南,综合,2025,本科批,604,11462,
西交利物浦大学,海南,综合,2025,本科批,604,11462,120
浙江工商大学,海南,综合,2025,本科批,604,11462,56
西南民族大学,海南,综合,2025,国家专项计划批,603,11462,
广西大学,海南,综合,2025,本科批,603,11640,
南京工业大学,海南,综合,2025,本科批,603,11640,62
嘉兴大学,海南,综合,2025,本科批,602,11828,
湘潭大学,海南,综合,2025,本科批,601,12010,145
贵州大学,海南,综合,2025,本科批,600,12182,
浙江警察学院,海南,综合,2025,本科提前批,600,12182,
南昌航空大学,海南,综合,2025,本科批,599,12365,50
上海第二工业大学,海南,综合,2025,本科批,599,12365,
沈阳建筑大学,海南,综合,2025,国家专项计划批,598,12558,
海南师范大学,海南,综合,2025,国家专项计划批,598,12558,34
广东工业大学,海南,综合,2025,本科批,598,12558,55
