院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
清华大学,河北,历史类,2025,本科批,679,,3
北京大学,河北,历史类,2025,本科批,671,43,22
清华大学,河北,历史类,2025,本科提前批B段,670,50,2
北京大学,河北,历史类,2025,本科提前批B段,668,71,4
复旦大学,河北,历史类,2025,本科批,667,76,7
北京大学医学部,河北,历史类,2025,本科批,666,86,2
复旦大学,河北,历史类,2025,本科提前批B段,663,129,1
中国人民大学,河北,历史类,2025,本科批,661,147,42
上海交通大学,河北,历史类,2025,本科批,660,167,8
南京大学,河北,历史类,2025,本科批,659,181,13
浙江大学,河北,历史类,2025,本科批,657,217,26
中国人民大学,河北,历史类,2025,本科提前批B段,656,237,5
武汉大学,河北,历史类,2025,本科批,652,345,19
武汉大学,河北,历史类,2025,本科提前批B段,652,345,1
北京师范大学,河北,历史类,2025,本科批,650,409,28
北京航空航天大学,河北,历史类,2025,本科批,650,409,11
南京大学,河北,历史类,2025,本科提前批B段,649,435,9
浙江大学,河北,历史类,2025,本科提前批B段,649,435,5
中国政法大学,河北,历史类,2025,本科提前批B段,649,435,4
南开大学,河北,历史类,2025,本科批,647,512,64
同济大学,河北,历史类,2025,本科批,647,512,8
北京师范大学,河北,历史类,2025,本科提前批B段,646,555,7
南开大学,河北,历史类,2025,本科提前批B段,643,679,2
华东师范大学,河北,历史类,2025,本科提前批B段,643,679,4
中山大学,河北,历史类,2025,本科批,642,722,21
西安交通大学,河北,历史类,2025,本科提前批B段,642,722,1
厦门大学,河北,历史类,2025,本科批,640,833,29
北京理工大学,河北,历史类,2025,本科批,639,876,30
厦门大学,河北,历史类,2025,本科提前批B段,639,876,2
西安交通大学,河北,历史类,2025,本科批,637,1005,13
哈尔滨工业大学,河北,历史类,2025,本科批,637,1005,20
重庆大学,河北,历史类,2025,本科批,636,1075,8
对外经济贸易大学,河北,历史类,2025,本科批,636,1075,34
华东师范大学,河北,历史类,2025,本科批,635,1125,18
上海海关学院,河北,历史类,2025,本科提前批A段,635,1125,3
东北师范大学,河北,历史类,2025,本科提前批B段,633,1262,17
山东大学,河北,历史类,2025,本科批,631,1447,47
东南大学,河北,历史类,2025,本科批,631,1447,43
山东大学,河北,历史类,2025,本科提前批B段,631,1447,2
中南大学,河北,历史类,2025,本科提前批B段,631,1447,1
中山大学,河北,历史类,2025,本科提前批B段,631,1447,5
华中师范大学,河北,历史类,2025,本科提前批B段,631,1447,11
吉林大学,河北,历史类,2025,本科提前批B段,631,1447,2
北京外国语大学,河北,历史类,2025,本科批,630,1523,15
上海财经大学,河北,历史类,2025,本科批,630,1523,17
吉林大学,河北,历史类,2025,本科提前批A段,630,1523,4
中央财经大学,河北,历史类,2025,本科提前批B段,630,1523,5
四川大学,河北,历史类,2025,本科批,629,1611,36
湖南大学,河北,历史类,2025,本科批,629,1611,23
四川大学,河北,历史类,2025,本科提前批B段,629,1611,4
中国社会科学院大学,河北,历史类,2025,本科批,628,1697,14
中国政法大学,河北,历史类,2025,本科批,628,1697,74
中国社会科学院大学,河北,历史类,2025,本科提前批B段,628,1697,2
