分数,位次,省份,年份,科类
673,29,河北,2025,历史类
672,35,河北,2025,历史类
671,43,河北,2025,历史类
670,50,河北,2025,历史类
669,59,河北,2025,历史类
668,71,河北,2025,历史类
667,76,河北,2025,历史类
666,86,河北,2025,历史类
665,96,河北,2025,历史类
664,115,河北,2025,历史类
663,129,河北,2025,历史类
662,140,河北,2025,历史类
661,147,河北,2025,历史类
660,167,河北,2025,历史类
659,181,河北,2025,历史类
658,198,河北,2025,历史类
657,217,河北,2025,历史类
656,237,河北,2025,历史类
655,266,河北,2025,历史类
654,289,河北,2025,历史类
653,309,河北,2025,历史类
652,345,河北,2025,历史类
651,378,河北,2025,历史类
650,409,河北,2025,历史类
649,435,河北,2025,历史类
648,475,河北,2025,历史类
647,512,河北,2025,历史类
646,555,河北,2025,历史类
645,594,河北,2025,历史类
644,639,河北,2025,历史类
643,679,河北,2025,历史类
642,722,河北,2025,历史类
641,779,河北,2025,历史类
640,833,河北,2025,历史类
639,876,河北,2025,历史类
638,931,河北,2025,历史类
637,1005,河北,2025,历史类
636,1075,河北,2025,历史类
635,1125,河北,2025,历史类
634,1200,河北,2025,历史类
633,1262,河北,2025,历史类
632,1349,河北,2025,历史类
631,1447,河北,2025,历史类
630,1523,河北,2025,历史类
629,1611,河北,2025,历史类
628,1697,河北,2025,历史类
627,1789,河北,2025,历史类
626,1884,河北,2025,历史类
625,1976,河北,2025,历史类
624,2071,河北,2025,历史类
623,2181,河北,2025,历史类
622,2295,河北,2025,历史类
621,2410,河北,2025,历史类
620,2528,河北,2025,历史类
619,2651,河北,2025,历史类
618,2777,河北,2025,历史类
617,2906,河北,2025,历史类
616,3051,河北,2025,历史类
615,3215,河北,2025,历史类
614,3363,河北,2025,历史类
613,3521,河北,2025,历史类
612,3660,河北,2025,历史类
611,3836,河北,2025,历史类
610,4008,河北,2025,历史类
609,4170,河北,2025,历史类
608,4350,河北,2025,历史类
607,4558,河北,2025,历史类
606,4745,河北,2025,历史类
605,4942,河北,2025,历史类
604,5123,河北,2025,历史类
603,5338,河北,2025,历史类
602,5546,河北,2025,历史类
601,5759,河北,2025,历史类
600,6004,河北,2025,历史类
599,6241,河北,2025,历史类
598,6445,河北,2025,历史类
597,6701,河北,2025,历史类
596,6980,河北,2025,历史类
595,7228,河北,2025,历史类
594,7453,河北,2025,历史类
593,7696,河北,2025,历史类
592,7950,河北,2025,历史类
591,8190,河北,2025,历史类
590,8451,河北,2025,历史类
589,8746,河北,2025,历史类
588,9033,河北,2025,历史类
587,9299,河北,2025,历史类
586,9573,河北,2025,历史类
585,9855,河北,2025,历史类
584,10128,河北,2025,历史类
583,10447,河北,2025,历史类
582,10728,河北,2025,历史类
581,11023,河北,2025,历史类
580,11284,河北,2025,历史类
579,11592,河北,2025,历史类
578,11905,河北,2025,历史类
577,12264,河北,2025,历史类
576,12601,河北,2025,历史类
