院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
北京大学医学部,黑龙江,历史类,2025,本科批,646,67,
上海财经大学,黑龙江,历史类,2025,本科批,621,335,
对外经济贸易大学,黑龙江,历史类,2025,本科批,615,443,18
华东师范大学,黑龙江,历史类,2025,本科批,615,443,
西安交通大学,黑龙江,历史类,2025,本科批,615,443,
北京外国语大学,黑龙江,历史类,2025,本科批,603,739,
中南大学,黑龙江,历史类,2025,本科批,603,739,22
北京邮电大学,黑龙江,历史类,2025,本科批,596,961,12
山东大学,黑龙江,历史类,2025,本科批,593,1053,34
中国海洋大学,黑龙江,历史类,2025,本科批,592,1102,
北京科技大学,黑龙江,历史类,2025,本科批,589,1212,12
兰州大学,黑龙江,历史类,2025,本科批,589,1212,10
南京师范大学,黑龙江,历史类,2025,本科提前批,587,1295,
北京中医药大学,黑龙江,历史类,2025,本科批,585,1376,
华中师范大学,黑龙江,历史类,2025,本科批,585,1376,
吉林大学,黑龙江,历史类,2025,本科批,583,1453,80
北京化工大学,黑龙江,历史类,2025,本科批,582,1497,
中央财经大学,黑龙江,历史类,2025,本科批,581,1550,
中国石油大学(北京),黑龙江,历史类,2025,本科批,581,1550,
西北政法大学,黑龙江,历史类,2025,本科批,581,1550,
深圳大学,黑龙江,历史类,2025,本科批,580,1590,10
中国消防救援学院,黑龙江,历史类,2025,本科提前批,580,1590,
中国地质大学(北京),黑龙江,历史类,2025,本科批,579,1663,
北京林业大学,黑龙江,历史类,2025,本科批,578,1719,
南京理工大学,黑龙江,历史类,2025,本科批,578,1663,
中央戏剧学院,黑龙江,历史类,2025,本科批,577,1772,
首都经济贸易大学,黑龙江,历史类,2025,本科批,574,1933,
中国石油大学(华东),黑龙江,历史类,2025,本科批,574,1933,
中国地质大学(武汉),黑龙江,历史类,2025,本科批,574,1933,
上海海事大学,黑龙江,历史类,2025,本科批,572,2045,
武汉理工大学,黑龙江,历史类,2025,本科批,572,2045,
重庆师范大学,黑龙江,历史类,2025,本科批,572,2045,
大连海事大学,黑龙江,历史类,2025,本科批,571,2112,
中国传媒大学,黑龙江,历史类,2025,本科批,569,2215,
上海政法学院,黑龙江,历史类,2025,本科批,568,2268,
大连医科大学,黑龙江,历史类,2025,本科批,566,2375,
北京体育大学,黑龙江,历史类,2025,本科批,564,2486,
中国人民公安大学,黑龙江,历史类,2025,本科提前批,564,2486,
温州大学,黑龙江,历史类,2025,本科批,563,2548,
天津工业大学,黑龙江,历史类,2025,本科批,560,2735,8
浙江工商大学,黑龙江,历史类,2025,本科批,560,2735,5
湖北大学,黑龙江,历史类,2025,本科批,559,2800,
贵州大学,黑龙江,历史类,2025,本科批,559,2800,
南方医科大学,黑龙江,历史类,2025,本科批,558,2856,
东北林业大学,黑龙江,历史类,2025,本科批,556,2986,
武汉科技大学,黑龙江,历史类,2025,本科批,555,3063,
江苏大学,黑龙江,历史类,2025,本科批,554,3132,2
上海理工大学,黑龙江,历史类,2025,本科批,552,3132,
上海对外经贸大学,黑龙江,历史类,2025,本科批,552,3284,
宁波大学,黑龙江,历史类,2025,本科批,552,3284,
内蒙古大学,黑龙江,历史类,2025,本科批,549,3466,9
上海海洋大学,黑龙江,历史类,2025,本科批,549,3466,
上海立信会计金融学院,黑龙江,历史类,2025,本科批,549,3466,
上海戏剧学院,黑龙江,历史类,2025,本科批,548,3538,
湘潭大学,黑龙江,历史类,2025,本科批,548,3538,19
深圳技术大学,黑龙江,历史类,2025,本科批,548,3538,4
中国民航大学,黑龙江,历史类,2025,本科批,545,3765,
青岛大学,黑龙江,历史类,2025,本科批,545,3765,
西南石油大学,黑龙江,历史类,2025,本科批,545,3765,
苏州科技大学,黑龙江,历史类,2025,本科批,544,3859,
浙江师范大学,黑龙江,历史类,2025,本科批,542,3859,6
中央民族大学,黑龙江,历史类,2025,本科批,541,4109,
中央美术学院,黑龙江,历史类,2025,本科批,541,4109,
华中师范大学,黑龙江,历史类,2025,本科提前批,541,4109,
曲阜师范大学,黑龙江,历史类,2025,本科批,540,4176,
南京师范大学,黑龙江,历史类,2025,本科批,539,4263,
浙江农林大学,黑龙江,历史类,2025,本科批,539,4263,3
东北师范大学,黑龙江,历史类,2025,本科批,537,4429,
上海师范大学,黑龙江,历史类,2025,本科批,537,4429,
重庆工商大学,黑龙江,历史类,2025,本科批,537,4352,
北京物资学院,黑龙江,历史类,2025,本科批,536,4510,
扬州大学,黑龙江,历史类,2025,本科批,536,4510,10
浙江传媒学院,黑龙江,历史类,2025,本科批,535,4583,
河北师范大学,黑龙江,历史类,2025,本科批,534,4667,18
聊城大学,黑龙江,历史类,2025,本科批,534,4667,
南京工业大学,黑龙江,历史类,2025,本科批,532,4846,4
重庆中医药学院,黑龙江,历史类,2025,本科批,532,4763,4
中国石油大学(北京)克拉玛依校区,黑龙江,历史类,2025,本科批,530,5015,
天津师范大学,黑龙江,历史类,2025,本科批,530,5015,
山东财经大学,黑龙江,历史类,2025,本科批,530,5015,
南华大学,黑龙江,历史类,2025,本科批,530,5015,
宁夏大学,黑龙江,历史类,2025,本科批,530,5015,
四川外国语大学,黑龙江,历史类,2025,本科批,529,5096,
浙江中医药大学,黑龙江,历史类,2025,本科批,526,5358,1
长沙理工大学,黑龙江,历史类,2025,本科批,526,5358,
广东工业大学,黑龙江,历史类,2025,本科批,524,5533,5
哈尔滨医科大学,黑龙江,历史类,2025,本科批,522,5694,21
河南大学,黑龙江,历史类,2025,本科批,522,5694,
