院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
北京大学医学部,河南,历史类,2025,本科批,670,88,
西安交通大学,河南,历史类,2025,本科提前批,644,660,
西安交通大学,河南,历史类,2025,本科批,640,874,
上海财经大学,河南,历史类,2025,本科批,636,1112,
中南大学,河南,历史类,2025,本科批,631,1475,33
华东师范大学,河南,历史类,2025,高校专项计划批,625,2032,
北京邮电大学,河南,历史类,2025,本科批,622,2375,13
北京科技大学,河南,历史类,2025,本科批,620,2608,20
北京中医药大学,河南,历史类,2025,本科批,620,2608,
华东师范大学,河南,历史类,2025,本科批,620,2608,
兰州大学,河南,历史类,2025,本科批,619,2754,29
山东大学,河南,历史类,2025,本科批,618,2901,114
中国海洋大学,河南,历史类,2025,本科批,618,2901,
北京林业大学,河南,历史类,2025,本科批,615,3337,
华东师范大学,河南,历史类,2025,本科提前批,615,3337,
深圳大学,河南,历史类,2025,本科批,614,3480,17
华中师范大学,河南,历史类,2025,本科提前批,614,3480,
中国石油大学(北京),河南,历史类,2025,本科批,613,3645,
北京外国语大学,河南,历史类,2025,本科批,613,3645,
南京理工大学,河南,历史类,2025,本科批,613,3645,
北京化工大学,河南,历史类,2025,本科批,612,3818,
对外经济贸易大学,河南,历史类,2025,本科批,612,3818,42
北京中医药大学,河南,历史类,2025,高校专项计划批,612,3818,
中国地质大学(北京),河南,历史类,2025,本科批,611,3972,
吉林大学,河南,历史类,2025,本科批,610,4141,64
中国石油大学(华东),河南,历史类,2025,本科批,608,4542,
中央财经大学,河南,历史类,2025,本科批,608,4542,
大连海事大学,河南,历史类,2025,本科批,606,4916,
中国地质大学(武汉),河南,历史类,2025,本科批,606,4916,
华中师范大学,河南,历史类,2025,本科批,606,4916,
中国消防救援学院,河南,历史类,2025,本科提前批,606,4916,
华中师范大学,河南,历史类,2025,高校专项计划批,606,4916,
武汉理工大学,河南,历史类,2025,本科批,605,5105,
中国传媒大学,河南,历史类,2025,本科批,602,5707,
南京师范大学,河南,历史类,2025,本科批,602,5707,
广西大学,河南,历史类,2025,本科批,602,5707,
江苏大学,河南,历史类,2025,本科批,601,5929,13
南方医科大学,河南,历史类,2025,本科批,600,6178,
上海海事大学,河南,历史类,2025,本科批,598,6664,
东北林业大学,河南,历史类,2025,本科批,597,6932,
上海戏剧学院,河南,历史类,2025,本科批,597,6932,
中国计量大学,河南,历史类,2025,本科批,596,7190,3
湘潭大学,河南,历史类,2025,本科批,595,7436,76
