院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
北京大学医学部,湖北,历史类,2025,本科批,657,89,
华东师范大学,湖北,历史类,2025,本科批,625,959,
上海财经大学,湖北,历史类,2025,本科批,622,1149,
西安交通大学,湖北,历史类,2025,本科提前批,618,1409,
西安交通大学,湖北,历史类,2025,本科批,617,1485,
华东师范大学,湖北,历史类,2025,本科提前批,616,1552,
中南大学,湖北,历史类,2025,本科批,611,1874,19
吉林大学,湖北,历史类,2025,本科批,607,2340,30
华东师范大学,湖北,历史类,2025,高校专项计划批,606,2441,
北京外国语大学,湖北,历史类,2025,本科批,604,2690,
北京邮电大学,湖北,历史类,2025,本科批,604,2690,11
山东大学,湖北,历史类,2025,本科批,604,2690,29
北京科技大学,湖北,历史类,2025,本科批,601,3040,11
中央财经大学,湖北,历史类,2025,本科批,600,3166,
兰州大学,湖北,历史类,2025,本科批,599,3324,31
深圳大学,湖北,历史类,2025,本科批,599,3324,15
西北政法大学,湖北,历史类,2025,本科批,599,3324,
中国海洋大学,湖北,历史类,2025,本科批,598,3467,
华中师范大学,湖北,历史类,2025,本科批,598,3467,
对外经济贸易大学,湖北,历史类,2025,本科批,598,3467,27
华东理工大学,湖北,历史类,2025,本科批,597,3621,
东北师范大学,湖北,历史类,2025,本科批,596,3769,
华中师范大学,湖北,历史类,2025,高校专项计划批,596,3769,
中国石油大学(北京),湖北,历史类,2025,本科批,595,3911,
中国人民公安大学,湖北,历史类,2025,本科提前批,595,3911,
中国传媒大学,湖北,历史类,2025,本科批,594,4070,
北京中医药大学,湖北,历史类,2025,本科批,594,4070,
北京化工大学,湖北,历史类,2025,本科批,594,4070,
中国地质大学(北京),湖北,历史类,2025,本科批,593,4070,
中国地质大学(武汉),湖北,历史类,2025,本科批,592,4379,
南京师范大学,湖北,历史类,2025,本科批,592,4379,
华中师范大学,湖北,历史类,2025,本科提前批,592,4379,
北京林业大学,湖北,历史类,2025,本科批,590,4675,
上海海事大学,湖北,历史类,2025,本科批,589,4675,
大连海事大学,湖北,历史类,2025,本科批,589,4835,
江苏大学,湖北,历史类,2025,本科批,589,4835,4
首都经济贸易大学,湖北,历史类,2025,本科批,589,4835,
武汉理工大学,湖北,历史类,2025,本科批,588,5034,
深圳技术大学,湖北,历史类,2025,本科批,588,5034,5
中国消防救援学院,湖北,历史类,2025,本科提前批,588,5034,
东北林业大学,湖北,历史类,2025,本科批,587,5213,
广西大学,湖北,历史类,2025,本科批,587,5213,
江南大学,湖北,历史类,2025,本科批,587,5213,21
浙江工商大学,湖北,历史类,2025,本科批,587,5213,16
浙江工业大学,湖北,历史类,2025,本科批,586,5391,2
湘潭大学,湖北,历史类,2025,本科批,586,5391,42
宁夏大学,湖北,历史类,2025,本科批,585,5552,
上海理工大学,湖北,历史类,2025,本科批,584,5746,
上海政法学院,湖北,历史类,2025,本科批,583,5937,
中央民族大学,湖北,历史类,2025,本科批,583,5937,
南方医科大学,湖北,历史类,2025,本科批,583,5937,
新疆大学,湖北,历史类,2025,本科批,582,6142,
青岛大学,湖北,历史类,2025,本科批,581,6337,
南京工业大学,湖北,历史类,2025,本科批,580,6531,6
天津师范大学,湖北,历史类,2025,本科批,580,6531,
北京联合大学,湖北,历史类,2025,本科批,579,6717,
武汉科技大学,湖北,历史类,2025,本科批,579,6717,
苏州科技大学,湖北,历史类,2025,本科批,579,6717,
