院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
厦门大学,湖南,历史类,2025,本科批（特殊类型）,627,571,
东南大学,湖南,历史类,2025,本科批,623,737,
西安交通大学,湖南,历史类,2025,本科提前批,621,824,
西安交通大学,湖南,历史类,2025,本科批,617,1053,
对外经济贸易大学,湖南,历史类,2025,本科批,614,1242,25
哈尔滨工业大学,湖南,历史类,2025,本科批,613,1302,
华东师范大学,湖南,历史类,2025,本科批,609,1578,
华东师范大学,湖南,历史类,2025,本科批（特殊类型）,608,1665,
华东政法大学,湖南,历史类,2025,本科批,607,1749,
华东师范大学,湖南,历史类,2025,本科提前批,607,1749,
苏州大学,湖南,历史类,2025,本科批,606,1832,
山东大学,湖南,历史类,2025,本科批,606,1832,26
中南大学,湖南,历史类,2025,本科批,606,1832,41
北京邮电大学,湖南,历史类,2025,本科批,605,1906,14
吉林大学,湖南,历史类,2025,本科批,604,1985,25
深圳大学,湖南,历史类,2025,本科批,603,2080,15
对外经济贸易大学,湖南,历史类,2025,本科提前批,603,2080,8
华中师范大学,湖南,历史类,2025,本科提前批,603,2080,
西南大学,湖南,历史类,2025,本科提前批,603,2080,
中国传媒大学,湖南,历史类,2025,本科提前批,602,2178,
北京科技大学,湖南,历史类,2025,本科批,601,2178,15
中国海洋大学,湖南,历史类,2025,本科批（特殊类型）,601,2273,
东北师范大学,湖南,历史类,2025,本科提前批,600,2369,
吉林大学,湖南,历史类,2025,本科批（特殊类型）,599,2474,
中央财经大学,湖南,历史类,2025,本科批,597,2650,
中国海洋大学,湖南,历史类,2025,本科批,597,2650,
兰州大学,湖南,历史类,2025,本科批,597,2650,28
武警警官学院,湖南,历史类,2025,本科提前批,597,2650,
上海大学,湖南,历史类,2025,本科批,596,2747,
中国人民公安大学,湖南,历史类,2025,本科提前批,596,2747,
北京中医药大学,湖南,历史类,2025,本科批,595,2860,
中国石油大学(北京),湖南,历史类,2025,本科批,595,2860,
华中师范大学,湖南,历史类,2025,本科批,595,2860,
北京化工大学,湖南,历史类,2025,本科批,594,2998,
中国地质大学(北京),湖南,历史类,2025,本科批,594,2998,
华北电力大学,湖南,历史类,2025,本科批,594,2998,
中南财经政法大学,湖南,历史类,2025,本科批（特殊类型）,594,2998,
中国海洋大学,湖南,历史类,2025,本科提前批,594,2998,
北京外国语大学,湖南,历史类,2025,本科批,592,3235,
中国传媒大学,湖南,历史类,2025,本科批,591,3340,2
西南财经大学,湖南,历史类,2025,本科批（特殊类型）,591,3340,
河北工业大学,湖南,历史类,2025,本科批,590,3479,
厦门大学,湖南,历史类,2025,本科批,590,3479,
中国石油大学(华东),湖南,历史类,2025,本科批,590,3479,
南京师范大学,湖南,历史类,2025,本科批,589,3614,
山东大学,湖南,历史类,2025,本科批（特殊类型）,589,3614,
中国矿业大学,湖南,历史类,2025,本科批,587,3895,
江南大学,湖南,历史类,2025,本科批,587,3895,22
北京林业大学,湖南,历史类,2025,本科批,586,4028,
华东理工大学,湖南,历史类,2025,本科批,586,4028,
中国计量大学,湖南,历史类,2025,本科批,585,4157,2
武汉理工大学,湖南,历史类,2025,本科批,585,4157,
上海财经大学,湖南,历史类,2025,本科批,584,4303,
大连海事大学,湖南,历史类,2025,本科批,582,4603,
安徽大学,湖南,历史类,2025,本科批,582,4603,
中国地质大学(武汉),湖南,历史类,2025,本科批（特殊类型）,582,4603,
华中师范大学,湖南,历史类,2025,本科批（特殊类型）,582,4603,
上海海关学院,湖南,历史类,2025,本科批,581,4763,1
中央财经大学,湖南,历史类,2025,本科批（特殊类型）,581,4763,
西南大学,湖南,历史类,2025,本科批（特殊类型）,581,4603,
湖南工业大学,湖南,历史类,2025,本科提前批,581,4763,
中国地质大学(武汉),湖南,历史类,2025,本科批,580,4933,
西南交通大学,湖南,历史类,2025,本科批,580,4933,18
四川大学,湖南,历史类,2025,本科批,578,5262,3
南京师范大学,湖南,历史类,2025,本科批（特殊类型）,578,5262,
中央民族大学,湖南,历史类,2025,本科批,577,5433,
上海政法学院,湖南,历史类,2025,本科批,576,5596,
广西大学,湖南,历史类,2025,本科批,575,5765,
西南财经大学,湖南,历史类,2025,本科批,575,5765,
中央戏剧学院,湖南,历史类,2025,本科批,574,5934,
江苏大学,湖南,历史类,2025,本科批,574,5934,4
合肥工业大学,湖南,历史类,2025,本科批,574,5934,
上海海事大学,湖南,历史类,2025,本科批,573,6113,
南京信息工程大学,湖南,历史类,2025,本科批,573,6113,10
浙江工商大学,湖南,历史类,2025,本科批,573,6113,13
深圳技术大学,湖南,历史类,2025,本科批,573,6113,6
外交学院,湖南,历史类,2025,本科提前批,573,6113,
东北农业大学,湖南,历史类,2025,本科批,572,6281,
西交利物浦大学,湖南,历史类,2025,本科批,572,6281,
南方医科大学,湖南,历史类,2025,本科批,572,6281,
东北师范大学,湖南,历史类,2025,本科批,571,6475,
上海理工大学,湖南,历史类,2025,本科批,571,6281,
西北大学,湖南,历史类,2025,本科批,571,6475,
北京工商大学,湖南,历史类,2025,本科批,570,6669,5
北京电影学院,湖南,历史类,2025,本科批,570,6669,8
东北林业大学,湖南,历史类,2025,本科批,570,6669,
上海体育大学,湖南,历史类,2025,本科批,569,6871,
中国美术学院,湖南,历史类,2025,本科批,569,6871,4
汕头大学,湖南,历史类,2025,本科批,569,6871,16
北京印刷学院,湖南,历史类,2025,本科批,568,7038,2
浙江警察学院,湖南,历史类,2025,本科提前批,568,7038,
内蒙古大学,湖南,历史类,2025,本科批,567,7221,11
集美大学,湖南,历史类,2025,本科批,567,7221,8
上海对外经贸大学,湖南,历史类,2025,本科批,566,7403,
安徽财经大学,湖南,历史类,2025,本科批,566,7403,6
湖北大学,湖南,历史类,2025,本科批,566,7403,
中国民航大学,湖南,历史类,2025,本科批,565,7586,
广东工业大学,湖南,历史类,2025,本科批,565,7586,11
广西中医药大学,湖南,历史类,2025,本科批,565,7586,6
中国戏曲学院,湖南,历史类,2025,本科批,564,7778,2
浙江理工大学,湖南,历史类,2025,本科批,564,7586,
湖南师范大学,湖南,历史类,2025,本科批（特殊类型）,563,7953,
中国刑事警察学院,湖南,历史类,2025,本科提前批,563,7953,49
四川外国语大学,湖南,历史类,2025,本科提前批,563,7953,
北方工业大学,湖南,历史类,2025,本科批,562,8121,
浙江工业大学,湖南,历史类,2025,本科批,562,8121,5
广东警官学院,湖南,历史类,2025,本科批,562,8121,
浙江农林大学,湖南,历史类,2025,本科批,561,8328,4
新疆大学,湖南,历史类,2025,本科批,561,8328,
贵州大学,湖南,历史类,2025,本科批（特殊类型）,561,8328,
苏州科技大学,湖南,历史类,2025,本科批,560,8121,
扬州大学,湖南,历史类,2025,本科批,560,8529,10
温州大学,湖南,历史类,2025,本科批,560,8529,
长沙理工大学,湖南,历史类,2025,本科批,560,8529,
南通大学,湖南,历史类,2025,本科批,559,8746,12
武汉科技大学,湖南,历史类,2025,本科批,559,8746,
湖南师范大学,湖南,历史类,2025,本科批,559,8746,393
江苏师范大学,湖南,历史类,2025,本科批,558,8957,
山东财经大学,湖南,历史类,2025,本科批,558,8957,
贵州财经大学,湖南,历史类,2025,本科批,558,8957,
延边大学,湖南,历史类,2025,本科批,557,9204,
上海师范大学,湖南,历史类,2025,本科批,557,9204,
上海立信会计金融学院,湖南,历史类,2025,本科批,557,9204,2
南京工业大学,湖南,历史类,2025,本科批,557,9204,8
河南财经政法大学,湖南,历史类,2025,本科批,557,9204,10
湘潭大学,湖南,历史类,2025,本科批,557,9204,801
青海大学,湖南,历史类,2025,本科批,557,9204,
天津师范大学,湖南,历史类,2025,本科批,556,9428,
广东技术师范大学,湖南,历史类,2025,本科批,556,9428,3
重庆交通大学,湖南,历史类,2025,本科批,556,9204,9
石河子大学,湖南,历史类,2025,本科批,555,9656,16
中国石油大学(北京)克拉玛依校区,湖南,历史类,2025,本科批,555,9656,
首都经济贸易大学,湖南,历史类,2025,本科批,554,9878,
成都中医药大学,湖南,历史类,2025,本科批,554,9878,
常州大学,湖南,历史类,2025,本科批,553,10092,10
浙江中医药大学,湖南,历史类,2025,本科批,553,10092,5
贵州大学,湖南,历史类,2025,本科批,552,10343,
燕山大学,湖南,历史类,2025,本科批,551,10581,
安徽师范大学,湖南,历史类,2025,本科批,551,10581,
青岛大学,湖南,历史类,2025,本科批,551,10581,
云南警官学院,湖南,历史类,2025,本科提前批,550,10822,
西南医科大学,湖南,历史类,2025,本科批,548,11288,
北京联合大学,湖南,历史类,2025,本科批,547,11547,
北京物资学院,湖南,历史类,2025,本科批,547,11547,
济南大学,湖南,历史类,2025,本科批,547,11547,
重庆理工大学,湖南,历史类,2025,本科批,547,11547,6
江苏科技大学,湖南,历史类,2025,本科批,546,11288,5
湖北师范大学,湖南,历史类,2025,本科批,546,11789,
宁夏大学,湖南,历史类,2025,本科批,546,11789,
华侨大学,湖南,历史类,2025,本科批,545,12060,
西华大学,湖南,历史类,2025,本科批,545,12060,
重庆中医药学院,湖南,历史类,2025,本科批,544,12351,
西藏大学,湖南,历史类,2025,本科批,543,12598,15
重庆科技大学,湖南,历史类,2025,本科批,542,12351,7
宁波诺丁汉大学,湖南,历史类,2025,本科批,541,13136,19
上海海洋大学,湖南,历史类,2025,本科批,540,13406,
上海第二工业大学,湖南,历史类,2025,本科批,540,13406,
浙江传媒学院,湖南,历史类,2025,本科批,540,13406,
长春中医药大学,湖南,历史类,2025,本科批,539,13696,7
宁波大学,湖南,历史类,2025,本科批,539,13696,
