院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
清华大学,江苏,历史类,2025,本科批,679,,4
北京大学,江苏,历史类,2025,本科批,666,,28
上海交通大学,江苏,历史类,2025,本科批,659,,2
北京大学医学部,江苏,历史类,2025,本科批,657,125,
复旦大学,江苏,历史类,2025,本科批,656,140,42
南京大学,江苏,历史类,2025,本科批,643,497,241
浙江大学,江苏,历史类,2025,本科批,642,540,36
同济大学,江苏,历史类,2025,本科批,639,672,10
武汉大学,江苏,历史类,2025,本科批,639,672,41
东南大学,江苏,历史类,2025,本科批,636,828,
南开大学,江苏,历史类,2025,本科批,636,828,31
北京师范大学,江苏,历史类,2025,本科批,635,889,15
北京航空航天大学,江苏,历史类,2025,本科批,634,958,5
中山大学,江苏,历史类,2025,本科批,630,1250,28
西安交通大学,江苏,历史类,2025,本科批,630,1250,
北京理工大学,江苏,历史类,2025,本科批,629,1337,26
中国政法大学,江苏,历史类,2025,本科批,628,1416,53
对外经济贸易大学,江苏,历史类,2025,本科批,628,1416,29
中国人民大学,江苏,历史类,2025,本科批,627,1489,53
哈尔滨工业大学,江苏,历史类,2025,本科批,627,1489,10
上海财经大学,江苏,历史类,2025,本科批,626,1599,
重庆大学,江苏,历史类,2025,本科批,626,1599,8
华东师范大学,江苏,历史类,2025,本科批,625,1693,
湖南大学,江苏,历史类,2025,本科批,625,1693,22
华东政法大学,江苏,历史类,2025,本科批,624,1795,
华南理工大学,江苏,历史类,2025,本科批,624,1795,12
华中科技大学,江苏,历史类,2025,本科批,623,1928,50
四川大学,江苏,历史类,2025,本科批,623,1928,
中国人民公安大学,江苏,历史类,2025,本科提前批,623,1928,
吉林大学,江苏,历史类,2025,本科提前批,622,2030,
中南大学,江苏,历史类,2025,本科批,621,2130,23
对外经济贸易大学,江苏,历史类,2025,本科提前批,621,2130,8
山东大学,江苏,历史类,2025,本科批,620,2253,52
云南警官学院,江苏,历史类,2025,本科提前批,620,2253,
山东大学,江苏,历史类,2025,本科提前批,619,2383,
电子科技大学,江苏,历史类,2025,本科批,618,2510,6
西北工业大学,江苏,历史类,2025,本科批,618,2510,24
吉林大学,江苏,历史类,2025,本科批,617,2644,37
外交学院,江苏,历史类,2025,本科提前批,617,2644,
中央民族大学,江苏,历史类,2025,本科批,616,2784,
