分数,位次,省份,年份,科类
658,109,江苏,2025,历史类
657,125,江苏,2025,历史类
656,140,江苏,2025,历史类
655,156,江苏,2025,历史类
654,168,江苏,2025,历史类
653,194,江苏,2025,历史类
652,214,江苏,2025,历史类
651,236,江苏,2025,历史类
650,250,江苏,2025,历史类
649,275,江苏,2025,历史类
648,299,江苏,2025,历史类
647,336,江苏,2025,历史类
646,381,江苏,2025,历史类
645,418,江苏,2025,历史类
644,450,江苏,2025,历史类
643,497,江苏,2025,历史类
642,540,江苏,2025,历史类
641,587,江苏,2025,历史类
640,626,江苏,2025,历史类
639,672,江苏,2025,历史类
638,726,江苏,2025,历史类
637,775,江苏,2025,历史类
636,828,江苏,2025,历史类
635,889,江苏,2025,历史类
634,958,江苏,2025,历史类
633,1032,江苏,2025,历史类
632,1111,江苏,2025,历史类
631,1171,江苏,2025,历史类
630,1250,江苏,2025,历史类
629,1337,江苏,2025,历史类
628,1416,江苏,2025,历史类
627,1489,江苏,2025,历史类
626,1599,江苏,2025,历史类
625,1693,江苏,2025,历史类
624,1795,江苏,2025,历史类
623,1928,江苏,2025,历史类
622,2030,江苏,2025,历史类
621,2130,江苏,2025,历史类
620,2253,江苏,2025,历史类
619,2383,江苏,2025,历史类
618,2510,江苏,2025,历史类
617,2644,江苏,2025,历史类
616,2784,江苏,2025,历史类
615,2944,江苏,2025,历史类
614,3092,江苏,2025,历史类
613,3261,江苏,2025,历史类
612,3431,江苏,2025,历史类
611,3605,江苏,2025,历史类
610,3741,江苏,2025,历史类
609,3921,江苏,2025,历史类
608,4104,江苏,2025,历史类
607,4269,江苏,2025,历史类
606,4462,江苏,2025,历史类
605,4658,江苏,2025,历史类
604,4889,江苏,2025,历史类
603,5101,江苏,2025,历史类
602,5300,江苏,2025,历史类
601,5558,江苏,2025,历史类
600,5796,江苏,2025,历史类
599,6031,江苏,2025,历史类
598,6276,江苏,2025,历史类
597,6526,江苏,2025,历史类
596,6765,江苏,2025,历史类
595,7023,江苏,2025,历史类
594,7287,江苏,2025,历史类
593,7551,江苏,2025,历史类
592,7818,江苏,2025,历史类
591,8106,江苏,2025,历史类
590,8399,江苏,2025,历史类
589,8707,江苏,2025,历史类
588,8976,江苏,2025,历史类
587,9329,江苏,2025,历史类
586,9628,江苏,2025,历史类
585,9942,江苏,2025,历史类
584,10245,江苏,2025,历史类
583,10538,江苏,2025,历史类
582,10856,江苏,2025,历史类
581,11172,江苏,2025,历史类
580,11515,江苏,2025,历史类
579,11880,江苏,2025,历史类
578,12244,江苏,2025,历史类
577,12628,江苏,2025,历史类
576,12977,江苏,2025,历史类
575,13339,江苏,2025,历史类
574,13709,江苏,2025,历史类
573,14117,江苏,2025,历史类
572,14483,江苏,2025,历史类
571,14850,江苏,2025,历史类
570,15246,江苏,2025,历史类
569,15613,江苏,2025,历史类
568,15975,江苏,2025,历史类
567,16346,江苏,2025,历史类
566,16741,江苏,2025,历史类
565,17140,江苏,2025,历史类
564,17574,江苏,2025,历史类
563,18005,江苏,2025,历史类
562,18396,江苏,2025,历史类
561,18813,江苏,2025,历史类
560,19224,江苏,2025,历史类
559,19646,江苏,2025,历史类
558,20075,江苏,2025,历史类
557,20493,江苏,2025,历史类
556,20940,江苏,2025,历史类
555,21405,江苏,2025,历史类
554,21861,江苏,2025,历史类
553,22327,江苏,2025,历史类
552,22801,江苏,2025,历史类
551,23247,江苏,2025,历史类
550,23719,江苏,2025,历史类
549,24175,江苏,2025,历史类
548,24649,江苏,2025,历史类
547,25115,江苏,2025,历史类
546,25582,江苏,2025,历史类
545,26047,江苏,2025,历史类
544,26540,江苏,2025,历史类
543,26982,江苏,2025,历史类
542,27430,江苏,2025,历史类
541,27904,江苏,2025,历史类
540,28408,江苏,2025,历史类
539,28888,江苏,2025,历史类
538,29351,江苏,2025,历史类
537,29839,江苏,2025,历史类
536,30301,江苏,2025,历史类
535,30732,江苏,2025,历史类
534,31200,江苏,2025,历史类
533,31664,江苏,2025,历史类
532,32121,江苏,2025,历史类
531,32597,江苏,2025,历史类
530,33083,江苏,2025,历史类
529,33554,江苏,2025,历史类
528,34079,江苏,2025,历史类
527,34549,江苏,2025,历史类
526,35055,江苏,2025,历史类
525,35556,江苏,2025,历史类
524,36049,江苏,2025,历史类
523,36538,江苏,2025,历史类
522,37028,江苏,2025,历史类
521,37529,江苏,2025,历史类
520,38007,江苏,2025,历史类
519,38488,江苏,2025,历史类
518,38960,江苏,2025,历史类
517,39428,江苏,2025,历史类
516,39909,江苏,2025,历史类
515,40423,江苏,2025,历史类
514,40897,江苏,2025,历史类
513,41387,江苏,2025,历史类
512,41862,江苏,2025,历史类
511,42335,江苏,2025,历史类
510,42789,江苏,2025,历史类
509,43275,江苏,2025,历史类
508,43730,江苏,2025,历史类
507,44233,江苏,2025,历史类
506,44712,江苏,2025,历史类
505,45257,江苏,2025,历史类
504,45734,江苏,2025,历史类
503,46229,江苏,2025,历史类
502,46678,江苏,2025,历史类
501,47156,江苏,2025,历史类
500,47639,江苏,2025,历史类
499,48117,江苏,2025,历史类
498,48630,江苏,2025,历史类
497,49120,江苏,2025,历史类
496,49577,江苏,2025,历史类
495,50065,江苏,2025,历史类
494,50536,江苏,2025,历史类
493,50998,江苏,2025,历史类
492,51495,江苏,2025,历史类
491,52005,江苏,2025,历史类
490,52535,江苏,2025,历史类
489,53003,江苏,2025,历史类
488,53482,江苏,2025,历史类
487,53920,江苏,2025,历史类
486,54407,江苏,2025,历史类
485,54928,江苏,2025,历史类
484,55402,江苏,2025,历史类
483,55915,江苏,2025,历史类
482,56398,江苏,2025,历史类
683,126,江苏,2025,物理类
682,144,江苏,2025,物理类
681,164,江苏,2025,物理类
680,196,江苏,2025,物理类
679,227,江苏,2025,物理类
678,261,江苏,2025,物理类
677,294,江苏,2025,物理类
676,338,江苏,2025,物理类
675,385,江苏,2025,物理类
674,443,江苏,2025,物理类
673,506,江苏,2025,物理类
672,570,江苏,2025,物理类
671,649,江苏,2025,物理类
670,728,江苏,2025,物理类
669,830,江苏,2025,物理类
668,937,江苏,2025,物理类
667,1039,江苏,2025,物理类
666,1147,江苏,2025,物理类
665,1257,江苏,2025,物理类
664,1381,江苏,2025,物理类
663,1521,江苏,2025,物理类
662,1663,江苏,2025,物理类
661,1835,江苏,2025,物理类
660,2027,江苏,2025,物理类
659,2209,江苏,2025,物理类
658,2414,江苏,2025,物理类
657,2618,江苏,2025,物理类
656,2847,江苏,2025,物理类
655,3081,江苏,2025,物理类
654,3281,江苏,2025,物理类
653,3556,江苏,2025,物理类
652,3805,江苏,2025,物理类
651,4082,江苏,2025,物理类
650,4363,江苏,2025,物理类
649,4675,江苏,2025,物理类
648,4973,江苏,2025,物理类
647,5310,江苏,2025,物理类
646,5633,江苏,2025,物理类
645,5985,江苏,2025,物理类
644,6362,江苏,2025,物理类
643,6732,江苏,2025,物理类
642,7121,江苏,2025,物理类
641,7529,江苏,2025,物理类
640,7928,江苏,2025,物理类
639,8362,江苏,2025,物理类
638,8837,江苏,2025,物理类
637,9279,江苏,2025,物理类
636,9765,江苏,2025,物理类
635,10262,江苏,2025,物理类
634,10750,江苏,2025,物理类
633,11248,江苏,2025,物理类
632,11769,江苏,2025,物理类
631,12320,江苏,2025,物理类
630,12829,江苏,2025,物理类
629,13359,江苏,2025,物理类
628,13915,江苏,2025,物理类
627,14487,江苏,2025,物理类
626,15099,江苏,2025,物理类
625,15713,江苏,2025,物理类
624,16379,江苏,2025,物理类
623,17028,江苏,2025,物理类
622,17706,江苏,2025,物理类
621,18319,江苏,2025,物理类
620,19004,江苏,2025,物理类
619,19674,江苏,2025,物理类
618,20349,江苏,2025,物理类
617,21043,江苏,2025,物理类
616,21735,江苏,2025,物理类
615,22495,江苏,2025,物理类
614,23214,江苏,2025,物理类
613,23947,江苏,2025,物理类
612,24769,江苏,2025,物理类
611,25515,江苏,2025,物理类
610,26330,江苏,2025,物理类
609,27150,江苏,2025,物理类
608,27965,江苏,2025,物理类
607,28841,江苏,2025,物理类
606,29638,江苏,2025,物理类
605,30492,江苏,2025,物理类
604,31362,江苏,2025,物理类
603,32190,江苏,2025,物理类
602,33069,江苏,2025,物理类
601,33985,江苏,2025,物理类
600,34888,江苏,2025,物理类
599,35803,江苏,2025,物理类
598,36724,江苏,2025,物理类
597,37720,江苏,2025,物理类
