院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
西安交通大学,江西,历史类,2025,本科提前批,621,767,
西安交通大学,江西,历史类,2025,本科批,619,860,
上海财经大学,江西,历史类,2025,本科批,615,1063,
中南大学,江西,历史类,2025,本科批,614,1113,24
华东师范大学,江西,历史类,2025,本科提前批,612,1231,
北京邮电大学,江西,历史类,2025,本科批,609,1443,13
华东师范大学,江西,历史类,2025,高校专项计划批,607,1593,
中国海洋大学,江西,历史类,2025,本科批,605,1746,
北京科技大学,江西,历史类,2025,本科批,604,1838,17
江南大学,江西,历史类,2025,本科批,604,1838,19
深圳大学,江西,历史类,2025,本科批,604,1838,15
兰州大学,江西,历史类,2025,本科批,603,1941,18
华东师范大学,江西,历史类,2025,本科批,603,1941,
北京林业大学,江西,历史类,2025,本科批,602,2026,
中央财经大学,江西,历史类,2025,本科批,601,2106,
北京外国语大学,江西,历史类,2025,本科批,601,2106,
山东大学,江西,历史类,2025,本科批,601,2106,39
北京中医药大学,江西,历史类,2025,本科批,600,2199,
吉林大学,江西,历史类,2025,本科批,600,2199,32
南京师范大学,江西,历史类,2025,高校专项计划批,600,2199,
北京化工大学,江西,历史类,2025,本科批,599,2320,
对外经济贸易大学,江西,历史类,2025,本科批,599,2320,34
中国石油大学(北京),江西,历史类,2025,本科批,598,2428,
南京师范大学,江西,历史类,2025,本科批,598,2428,
中国人民公安大学,江西,历史类,2025,本科提前批,597,2535,
南京理工大学,江西,历史类,2025,本科批,596,2654,
中国石油大学(华东),江西,历史类,2025,本科批,596,2654,
上海海事大学,江西,历史类,2025,本科批,596,2654,
华东理工大学,江西,历史类,2025,本科批,595,2759,
中国地质大学(武汉),江西,历史类,2025,本科批,595,2759,
中国传媒大学,江西,历史类,2025,本科批,594,2887,
中国地质大学(北京),江西,历史类,2025,本科批,594,2887,
武汉理工大学,江西,历史类,2025,本科批,592,3125,
中国刑事警察学院,江西,历史类,2025,本科提前批,592,3125,11
大连海事大学,江西,历史类,2025,本科批,591,3258,
中国计量大学,江西,历史类,2025,本科批,591,3125,2
华中师范大学,江西,历史类,2025,高校专项计划批,591,3258,
浙江工商大学,江西,历史类,2025,本科批,589,3508,15
首都经济贸易大学,江西,历史类,2025,本科批,589,3508,
南方医科大学,江西,历史类,2025,本科批,588,3657,
华中师范大学,江西,历史类,2025,本科批,588,3657,
东北师范大学,江西,历史类,2025,本科批,586,3952,
西南石油大学,江西,历史类,2025,本科批,586,3952,
大连医科大学,江西,历史类,2025,本科批,585,4103,
内蒙古大学,江西,历史类,2025,本科批,584,4239,3
上海政法学院,江西,历史类,2025,本科批,584,4103,
南京信息工程大学,江西,历史类,2025,本科批,582,4574,10
江苏大学,江西,历史类,2025,本科批,582,4574,10
上海戏剧学院,江西,历史类,2025,本科批,582,4574,
广西大学,江西,历史类,2025,本科批,581,4756,
上海海洋大学,江西,历史类,2025,本科批,580,4756,
湘潭大学,江西,历史类,2025,本科批,579,5109,54
贵州大学,江西,历史类,2025,本科批,579,5109,
深圳技术大学,江西,历史类,2025,本科批,579,5109,9
上海对外经贸大学,江西,历史类,2025,本科批,578,5283,
东北林业大学,江西,历史类,2025,本科批,577,5481,
浙江工业大学,江西,历史类,2025,本科批,576,5675,2
新疆大学,江西,历史类,2025,本科批,576,5481,
南京工业大学,江西,历史类,2025,本科批,576,5675,8
广东工业大学,江西,历史类,2025,本科批,576,5675,6
上海理工大学,江西,历史类,2025,本科批,575,5884,
扬州大学,江西,历史类,2025,本科批,575,5884,25
浙江理工大学,江西,历史类,2025,本科批,575,5675,
