院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
北京大学,吉林,历史类,2025,普通本科批,666,29,
上海交通大学,吉林,历史类,2025,普通本科批,660,55,
复旦大学,吉林,历史类,2025,普通本科批,652,115,
浙江大学,吉林,历史类,2025,普通本科批,649,149,
南京大学,吉林,历史类,2025,普通本科批,648,158,
同济大学,吉林,历史类,2025,普通本科批,641,234,
北京电子科技学院,吉林,历史类,2025,提前批A段,638,259,
北京航空航天大学,吉林,历史类,2025,普通本科批,634,316,
南开大学,吉林,历史类,2025,普通本科批,633,335,
北京理工大学,吉林,历史类,2025,普通本科批,629,410,
吉林大学,吉林,历史类,2025,提前批A段,626,480,
对外经济贸易大学,吉林,历史类,2025,普通本科批,623,542,
清华大学,吉林,历史类,2025,普通本科批,622,565,
西安交通大学,吉林,历史类,2025,普通本科批,622,565,
中南财经政法大学,吉林,历史类,2025,普通本科批,619,627,
四川大学,吉林,历史类,2025,普通本科批,619,627,
华东师范大学,吉林,历史类,2025,普通本科批,618,657,
天津大学,吉林,历史类,2025,普通本科批,617,676,
重庆大学,吉林,历史类,2025,普通本科批,617,657,
上海财经大学,吉林,历史类,2025,普通本科批,616,704,
中山大学,吉林,历史类,2025,普通本科批,615,722,
华中科技大学,吉林,历史类,2025,普通本科批,614,754,
湖南大学,吉林,历史类,2025,普通本科批,612,813,
西北工业大学,吉林,历史类,2025,普通本科批,612,813,
北京外国语大学,吉林,历史类,2025,普通本科批,611,848,
北京交通大学,吉林,历史类,2025,普通本科批,610,848,
山东大学威海分校,吉林,历史类,2025,普通本科批,608,928,
西南政法大学,吉林,历史类,2025,普通本科批,608,928,
山东大学,吉林,历史类,2025,普通本科批,607,960,
哈尔滨工业大学,吉林,历史类,2025,普通本科批,607,960,
西南大学,吉林,历史类,2025,提前批A段,606,993,
中国农业大学,吉林,历史类,2025,普通本科批,606,993,
电子科技大学,吉林,历史类,2025,普通本科批,606,993,
华东师范大学,吉林,历史类,2025,提前批A段,605,1021,
武汉大学,吉林,历史类,2025,普通本科批,605,1021,
华南理工大学,吉林,历史类,2025,普通本科批,604,1048,
中南大学,吉林,历史类,2025,普通本科批,603,1068,
华东政法大学,吉林,历史类,2025,普通本科批,602,1101,
南京审计大学,吉林,历史类,2025,普通本科批,602,1101,
西北政法大学,吉林,历史类,2025,普通本科批,602,1101,
中国海洋大学,吉林,历史类,2025,普通本科批,600,1175,
东北师范大学,吉林,历史类,2025,提前批A段,599,1213,
中国人民大学,吉林,历史类,2025,普通本科批,597,1281,
北京科技大学,吉林,历史类,2025,普通本科批,596,1312,
中国政法大学,吉林,历史类,2025,普通本科批,596,1312,
吉林大学,吉林,历史类,2025,普通本科批,595,1343,
上海外国语大学,吉林,历史类,2025,普通本科批,595,1343,
陕西师范大学,吉林,历史类,2025,提前批A段,594,1386,
华东师范大学,吉林,历史类,2025,提前批B段,594,1386,
首都经济贸易大学,吉林,历史类,2025,普通本科批,594,1386,
深圳大学,吉林,历史类,2025,普通本科批,594,1386,
东北大学,吉林,历史类,2025,普通本科批,593,1386,
北京电影学院,吉林,历史类,2025,普通本科批,592,1449,
北京化工大学,吉林,历史类,2025,普通本科批,591,1493,
东华大学,吉林,历史类,2025,普通本科批,591,1449,
北京工商大学,吉林,历史类,2025,普通本科批,590,1535,
复旦大学医学院,吉林,历史类,2025,普通本科批,590,1535,
上海外国语大学,吉林,历史类,2025,提前批A段,589,1579,
中国海洋大学,吉林,历史类,2025,提前批A段,589,1535,
北京中医药大学,吉林,历史类,2025,普通本科批,589,1579,
上海大学,吉林,历史类,2025,普通本科批,589,1535,
南京理工大学,吉林,历史类,2025,普通本科批,589,1579,
北京师范大学,吉林,历史类,2025,普通本科批,588,1620,
中国石油大学(华东),吉林,历史类,2025,普通本科批,588,1620,
中国石油大学(北京),吉林,历史类,2025,普通本科批,587,1652,
江南大学,吉林,历史类,2025,普通本科批,587,1652,
华中师范大学,吉林,历史类,2025,普通本科批,587,1652,
兰州大学,吉林,历史类,2025,普通本科批,587,1652,
大连理工大学,吉林,历史类,2025,普通本科批,586,1717,
上海政法学院,吉林,历史类,2025,普通本科批,586,1717,
江苏大学,吉林,历史类,2025,普通本科批,586,1717,
厦门大学,吉林,历史类,2025,普通本科批,586,1717,
江西财经大学,吉林,历史类,2025,普通本科批,586,1717,
西南交通大学,吉林,历史类,2025,普通本科批,586,1717,
西北大学,吉林,历史类,2025,普通本科批,586,1717,
东北大学秦皇岛分校,吉林,历史类,2025,普通本科批,586,1717,
中国人民公安大学,吉林,历史类,2025,提前批A段,585,1769,
华南师范大学,吉林,历史类,2025,普通本科批,585,1769,
华北电力大学,吉林,历史类,2025,普通本科批,584,1816,
上海戏剧学院,吉林,历史类,2025,普通本科批,584,1816,
北京语言大学,吉林,历史类,2025,提前批A段,583,1849,
北京林业大学,吉林,历史类,2025,普通本科批,583,1849,
南京师范大学,吉林,历史类,2025,普通本科批,583,1849,
武汉理工大学,吉林,历史类,2025,普通本科批,583,1849,
河海大学,吉林,历史类,2025,普通本科批,582,1905,
郑州大学,吉林,历史类,2025,普通本科批,582,1905,
中国传媒大学,吉林,历史类,2025,普通本科批,581,1964,
中国地质大学(北京),吉林,历史类,2025,普通本科批,581,1964,
中国社会科学院大学,吉林,历史类,2025,普通本科批,581,1964,
中国地质大学(武汉),吉林,历史类,2025,普通本科批,581,1964,
重庆师范大学,吉林,历史类,2025,普通本科批,581,1964,
