分数,位次,省份,年份,科类
673,11,吉林,2025,历史类
672,12,吉林,2025,历史类
671,16,吉林,2025,历史类
670,17,吉林,2025,历史类
669,23,吉林,2025,历史类
668,24,吉林,2025,历史类
667,27,吉林,2025,历史类
666,29,吉林,2025,历史类
665,31,吉林,2025,历史类
664,37,吉林,2025,历史类
663,39,吉林,2025,历史类
662,46,吉林,2025,历史类
661,47,吉林,2025,历史类
660,55,吉林,2025,历史类
659,56,吉林,2025,历史类
658,59,吉林,2025,历史类
657,65,吉林,2025,历史类
656,80,吉林,2025,历史类
655,87,吉林,2025,历史类
654,97,吉林,2025,历史类
653,103,吉林,2025,历史类
652,115,吉林,2025,历史类
651,124,吉林,2025,历史类
650,137,吉林,2025,历史类
649,149,吉林,2025,历史类
648,158,吉林,2025,历史类
647,168,吉林,2025,历史类
646,177,吉林,2025,历史类
645,191,吉林,2025,历史类
644,199,吉林,2025,历史类
643,211,吉林,2025,历史类
642,221,吉林,2025,历史类
641,234,吉林,2025,历史类
640,241,吉林,2025,历史类
639,249,吉林,2025,历史类
638,259,吉林,2025,历史类
637,273,吉林,2025,历史类
636,287,吉林,2025,历史类
635,301,吉林,2025,历史类
634,316,吉林,2025,历史类
633,335,吉林,2025,历史类
632,348,吉林,2025,历史类
631,367,吉林,2025,历史类
630,393,吉林,2025,历史类
629,410,吉林,2025,历史类
628,434,吉林,2025,历史类
627,459,吉林,2025,历史类
626,480,吉林,2025,历史类
625,504,吉林,2025,历史类
624,518,吉林,2025,历史类
623,542,吉林,2025,历史类
622,565,吉林,2025,历史类
621,583,吉林,2025,历史类
620,601,吉林,2025,历史类
619,627,吉林,2025,历史类
618,657,吉林,2025,历史类
617,676,吉林,2025,历史类
616,704,吉林,2025,历史类
615,722,吉林,2025,历史类
614,754,吉林,2025,历史类
613,783,吉林,2025,历史类
612,813,吉林,2025,历史类
611,848,吉林,2025,历史类
610,875,吉林,2025,历史类
609,906,吉林,2025,历史类
608,928,吉林,2025,历史类
607,960,吉林,2025,历史类
606,993,吉林,2025,历史类
605,1021,吉林,2025,历史类
604,1048,吉林,2025,历史类
603,1068,吉林,2025,历史类
602,1101,吉林,2025,历史类
601,1144,吉林,2025,历史类
600,1175,吉林,2025,历史类
599,1213,吉林,2025,历史类
598,1249,吉林,2025,历史类
597,1281,吉林,2025,历史类
596,1312,吉林,2025,历史类
595,1343,吉林,2025,历史类
594,1386,吉林,2025,历史类
593,1422,吉林,2025,历史类
592,1449,吉林,2025,历史类
591,1493,吉林,2025,历史类
590,1535,吉林,2025,历史类
589,1579,吉林,2025,历史类
588,1620,吉林,2025,历史类
587,1652,吉林,2025,历史类
586,1717,吉林,2025,历史类
585,1769,吉林,2025,历史类
584,1816,吉林,2025,历史类
583,1849,吉林,2025,历史类
582,1905,吉林,2025,历史类
581,1964,吉林,2025,历史类
580,2018,吉林,2025,历史类
579,2059,吉林,2025,历史类
578,2098,吉林,2025,历史类
577,2160,吉林,2025,历史类
576,2202,吉林,2025,历史类
575,2251,吉林,2025,历史类
574,2307,吉林,2025,历史类
573,2356,吉林,2025,历史类
572,2418,吉林,2025,历史类
571,2463,吉林,2025,历史类
570,2522,吉林,2025,历史类
569,2589,吉林,2025,历史类
568,2647,吉林,2025,历史类
567,2708,吉林,2025,历史类
566,2760,吉林,2025,历史类
565,2830,吉林,2025,历史类
564,2894,吉林,2025,历史类
563,2959,吉林,2025,历史类
562,3025,吉林,2025,历史类
561,3092,吉林,2025,历史类
560,3165,吉林,2025,历史类
559,3229,吉林,2025,历史类
558,3293,吉林,2025,历史类
557,3359,吉林,2025,历史类
556,3439,吉林,2025,历史类
555,3504,吉林,2025,历史类
554,3573,吉林,2025,历史类
553,3634,吉林,2025,历史类
552,3699,吉林,2025,历史类
551,3765,吉林,2025,历史类
550,3833,吉林,2025,历史类
549,3896,吉林,2025,历史类
548,3969,吉林,2025,历史类
547,4043,吉林,2025,历史类
546,4110,吉林,2025,历史类
545,4195,吉林,2025,历史类
544,4262,吉林,2025,历史类
543,4337,吉林,2025,历史类
542,4407,吉林,2025,历史类
541,4489,吉林,2025,历史类
540,4577,吉林,2025,历史类
539,4674,吉林,2025,历史类
538,4754,吉林,2025,历史类
537,4854,吉林,2025,历史类
536,4945,吉林,2025,历史类
535,5029,吉林,2025,历史类
534,5115,吉林,2025,历史类
533,5194,吉林,2025,历史类
532,5268,吉林,2025,历史类
531,5337,吉林,2025,历史类
530,5436,吉林,2025,历史类
529,5504,吉林,2025,历史类
528,5581,吉林,2025,历史类
527,5649,吉林,2025,历史类
526,5732,吉林,2025,历史类
525,5801,吉林,2025,历史类
524,5883,吉林,2025,历史类
523,5970,吉林,2025,历史类
522,6068,吉林,2025,历史类
521,6146,吉林,2025,历史类
520,6228,吉林,2025,历史类
519,6333,吉林,2025,历史类
518,6419,吉林,2025,历史类
517,6506,吉林,2025,历史类
