院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
清华大学,辽宁,历史类,2025,本科批,663,22,
北京大学,辽宁,历史类,2025,本科批,662,27,
北京大学医学部,辽宁,历史类,2025,本科批,656,52,
复旦大学,辽宁,历史类,2025,本科批,655,61,
中国人民大学,辽宁,历史类,2025,本科批,651,98,
南京大学,辽宁,历史类,2025,本科批,646,157,
上海交通大学,辽宁,历史类,2025,本科批,645,176,
浙江大学,辽宁,历史类,2025,本科批,644,192,
南开大学,辽宁,历史类,2025,本科批,638,321,
武汉大学,辽宁,历史类,2025,本科批,637,340,
北京航空航天大学,辽宁,历史类,2025,本科批,636,371,
同济大学,辽宁,历史类,2025,本科批,635,400,
上海财经大学,辽宁,历史类,2025,本科批,635,400,
中山大学,辽宁,历史类,2025,本科批,630,539,
对外经济贸易大学,辽宁,历史类,2025,本科批,629,573,
北京理工大学,辽宁,历史类,2025,本科批,629,573,
哈尔滨工业大学,辽宁,历史类,2025,本科批,628,601,
北京师范大学,辽宁,历史类,2025,本科批,627,631,
东南大学,辽宁,历史类,2025,本科批,625,709,
重庆大学,辽宁,历史类,2025,本科批,624,747,
西安交通大学,辽宁,历史类,2025,本科批,624,747,
华东师范大学,辽宁,历史类,2025,本科批,622,824,
四川大学,辽宁,历史类,2025,本科批,621,872,
中国政法大学,辽宁,历史类,2025,本科批,618,1011,
中央财经大学,辽宁,历史类,2025,本科批,616,1108,
华中科技大学,辽宁,历史类,2025,本科批,616,1108,
北京交通大学,辽宁,历史类,2025,本科批,615,1154,
山东大学,辽宁,历史类,2025,本科批,615,1154,
上海外国语大学,辽宁,历史类,2025,本科批,613,1262,
中南大学,辽宁,历史类,2025,本科批,613,1262,
南京审计大学,辽宁,历史类,2025,本科批,612,1322,
中国社会科学院大学,辽宁,历史类,2025,本科批,612,1322,
华南理工大学,辽宁,历史类,2025,本科批,610,1438,
电子科技大学,辽宁,历史类,2025,本科批,610,1438,
华中师范大学,辽宁,历史类,2025,本科提前批,610,1438,
北京邮电大学,辽宁,历史类,2025,本科批,609,1485,
中国海洋大学,辽宁,历史类,2025,本科批,609,1485,
华东政法大学,辽宁,历史类,2025,本科批,608,1528,
苏州大学,辽宁,历史类,2025,本科批,608,1528,
西北工业大学,辽宁,历史类,2025,本科批,608,1528,
东北大学,辽宁,历史类,2025,本科批,606,1643,
中南财经政法大学,辽宁,历史类,2025,本科批,606,1643,
天津大学,辽宁,历史类,2025,本科批,606,1643,
陕西师范大学,辽宁,历史类,2025,本科批,606,1643,
兰州大学,辽宁,历史类,2025,本科批,606,1643,
北京外国语大学,辽宁,历史类,2025,本科批,605,1699,
吉林大学,辽宁,历史类,2025,本科批,604,1768,
西南财经大学,辽宁,历史类,2025,本科批,603,1834,
大连理工大学,辽宁,历史类,2025,本科批,602,1897,
中国石油大学(北京),辽宁,历史类,2025,本科批,602,1897,
上海海关学院,辽宁,历史类,2025,本科批,602,1897,
南京航空航天大学,辽宁,历史类,2025,本科批,602,1897,
北京科技大学,辽宁,历史类,2025,本科批,602,1897,
深圳大学,辽宁,历史类,2025,本科批,601,1962,
北京电影学院,辽宁,历史类,2025,本科批,600,2025,
华北电力大学,辽宁,历史类,2025,本科批,600,2025,
北京化工大学,辽宁,历史类,2025,本科批,599,2100,
广东财经大学,辽宁,历史类,2025,本科批,599,2100,
大连海事大学,辽宁,历史类,2025,本科批,598,2173,
东华大学,辽宁,历史类,2025,本科批,598,2173,
北京中医药大学,辽宁,历史类,2025,本科批,598,2173,
西南大学,辽宁,历史类,2025,本科批,598,2173,
西南政法大学,辽宁,历史类,2025,本科批,598,2173,
中国农业大学,辽宁,历史类,2025,本科批,597,2246,
南京师范大学,辽宁,历史类,2025,本科批,597,2246,
厦门大学,辽宁,历史类,2025,本科批,596,2319,
河海大学,辽宁,历史类,2025,本科批,595,2387,
西南交通大学,辽宁,历史类,2025,本科批,595,2387,
西北农林科技大学,辽宁,历史类,2025,本科批,594,2475,
东北大学秦皇岛分校,辽宁,历史类,2025,本科批,594,2475,
中国药科大学,辽宁,历史类,2025,本科批,593,2546,
中国地质大学(北京),辽宁,历史类,2025,本科批,592,2628,
哈尔滨工程大学,辽宁,历史类,2025,本科批,592,2628,
江南大学,辽宁,历史类,2025,本科批,592,2628,
中国地质大学(武汉),辽宁,历史类,2025,本科批,592,2628,
湖南大学,辽宁,历史类,2025,本科批,592,2628,
西北大学,辽宁,历史类,2025,本科批,592,2628,
武汉理工大学,辽宁,历史类,2025,本科批,591,2702,
湖南师范大学,辽宁,历史类,2025,本科批,591,2702,
华东师范大学,辽宁,历史类,2025,高校专项计划批,591,2702,
上海海事大学,辽宁,历史类,2025,本科批,590,2788,
中国石油大学(华东),辽宁,历史类,2025,本科批,590,2788,
郑州大学,辽宁,历史类,2025,本科批,590,2788,
长安大学,辽宁,历史类,2025,本科批,590,2788,
中国矿业大学,辽宁,历史类,2025,本科批,589,2875,
中国传媒大学,辽宁,历史类,2025,本科批,589,2875,
上海戏剧学院,辽宁,历史类,2025,本科批,587,3025,
安徽大学,辽宁,历史类,2025,本科批,587,3025,
中央戏剧学院,辽宁,历史类,2025,本科批,587,3025,
华中农业大学,辽宁,历史类,2025,本科批,587,3025,
北京林业大学,辽宁,历史类,2025,本科批,586,3117,
首都经济贸易大学,辽宁,历史类,2025,本科批,586,3117,
华东理工大学,辽宁,历史类,2025,本科批,583,3370,
南京农业大学,辽宁,历史类,2025,本科批,582,3450,
暨南大学,辽宁,历史类,2025,本科批,582,3450,
贵州大学,辽宁,历史类,2025,本科批,582,3450,
中国美术学院,辽宁,历史类,2025,本科批,581,3534,
西北政法大学,辽宁,历史类,2025,本科批,581,3534,
首都师范大学,辽宁,历史类,2025,本科批,579,3713,
南京信息工程大学,辽宁,历史类,2025,本科批,578,3802,
太原理工大学,辽宁,历史类,2025,本科批,577,3914,
中央民族大学,辽宁,历史类,2025,本科批,577,3914,
华南师范大学,辽宁,历史类,2025,本科批,577,3914,
河北工业大学,辽宁,历史类,2025,本科批,577,3914,
华中师范大学,辽宁,历史类,2025,高校专项计划批,577,3914,
武汉科技大学,辽宁,历史类,2025,本科批,576,4013,
宁波大学,辽宁,历史类,2025,本科批,574,4217,
上海海洋大学,辽宁,历史类,2025,本科批,574,4217,
福州大学,辽宁,历史类,2025,本科批,574,4217,
北京第二外国语学院,辽宁,历史类,2025,本科批,573,4341,
中央美术学院,辽宁,历史类,2025,本科批,573,4341,
合肥工业大学,辽宁,历史类,2025,本科批,573,4341,
东北林业大学,辽宁,历史类,2025,本科批,572,4431,
云南大学,辽宁,历史类,2025,本科批,572,4431,
西安工业大学,辽宁,历史类,2025,本科批,572,4431,
北京物资学院,辽宁,历史类,2025,本科批,571,4431,
中国民航大学,辽宁,历史类,2025,本科批,571,4523,
大连医科大学,辽宁,历史类,2025,本科批,570,4616,
湖北工业大学,辽宁,历史类,2025,本科批,570,4616,
四川农业大学,辽宁,历史类,2025,本科批,570,4616,
中国消防救援学院,辽宁,历史类,2025,本科提前批,570,4616,
深圳技术大学,辽宁,历史类,2025,本科批,569,4715,
湘潭大学,辽宁,历史类,2025,本科批,569,4715,
浙江财经大学,辽宁,历史类,2025,本科批,568,4812,
山西大学,辽宁,历史类,2025,本科批,567,4921,
上海政法学院,辽宁,历史类,2025,本科批,567,4921,
南京财经大学,辽宁,历史类,2025,本科批,567,4921,
天津工业大学,辽宁,历史类,2025,本科批,567,4921,
上海理工大学,辽宁,历史类,2025,本科批,566,5057,
江苏大学,辽宁,历史类,2025,本科批,566,5057,
杭州电子科技大学,辽宁,历史类,2025,本科批,566,5057,
浙江工商大学,辽宁,历史类,2025,本科批,566,5057,
南京林业大学,辽宁,历史类,2025,本科批,565,5181,
重庆师范大学,辽宁,历史类,2025,本科批,565,5181,
天津师范大学,辽宁,历史类,2025,本科批,565,5181,
中国石油大学(北京)克拉玛依校区,辽宁,历史类,2025,本科批,565,5181,
湖南工业大学,辽宁,历史类,2025,本科批,564,5304,
天津财经大学,辽宁,历史类,2025,本科批,564,5304,
山西中医药大学,辽宁,历史类,2025,本科批,564,5304,
浙江理工大学,辽宁,历史类,2025,本科批,563,5413,
无锡学院,辽宁,历史类,2025,本科批,562,5528,
广州大学,辽宁,历史类,2025,本科批,561,5636,
武汉工程大学,辽宁,历史类,2025,本科批,561,5636,
新疆大学,辽宁,历史类,2025,本科批,561,5636,
扬州大学,辽宁,历史类,2025,本科批,560,5745,
北京联合大学,辽宁,历史类,2025,本科批,559,5861,
广东金融学院,辽宁,历史类,2025,本科批,559,5861,
燕山大学,辽宁,历史类,2025,本科批,559,5861,
浙江工业大学,辽宁,历史类,2025,本科批,559,5861,
江西财经大学,辽宁,历史类,2025,本科批,559,5861,
上海对外经贸大学,辽宁,历史类,2025,本科批,558,5973,
安徽财经大学,辽宁,历史类,2025,本科批,558,5973,
重庆中医药学院,辽宁,历史类,2025,本科批,557,6100,
武汉纺织大学,辽宁,历史类,2025,本科批,557,6100,
宁波诺丁汉大学,辽宁,历史类,2025,本科批,557,6100,
四川师范大学,辽宁,历史类,2025,本科批,557,6100,
南京工业大学,辽宁,历史类,2025,本科批,556,6235,
天津中医药大学,辽宁,历史类,2025,本科批,556,6235,
宁夏大学,辽宁,历史类,2025,本科批,556,6235,
东北财经大学,辽宁,历史类,2025,本科批,555,6368,
西交利物浦大学,辽宁,历史类,2025,本科批,555,6368,
天津外国语大学,辽宁,历史类,2025,本科批,555,6368,
西藏大学,辽宁,历史类,2025,本科批,555,6368,
浙江传媒学院,辽宁,历史类,2025,本科批,554,6477,
中国戏曲学院,辽宁,历史类,2025,本科批,554,6477,
浙江农林大学,辽宁,历史类,2025,本科批,553,6598,
湖北大学,辽宁,历史类,2025,本科批,553,6598,
贵州财经大学,辽宁,历史类,2025,本科批,553,6598,
河南财经政法大学,辽宁,历史类,2025,本科批,552,6738,
青岛大学,辽宁,历史类,2025,本科批,551,6863,
西安财经大学,辽宁,历史类,2025,本科批,551,6863,
河南大学,辽宁,历史类,2025,本科批,551,6863,
成都大学,辽宁,历史类,2025,本科批,550,6993,
浙大城市学院,辽宁,历史类,2025,本科批,550,6993,
嘉兴南湖学院,辽宁,历史类,2025,本科批,550,6993,
苏州科技大学,辽宁,历史类,2025,本科批,550,6993,
河南科技大学,辽宁,历史类,2025,本科批,550,6993,
湖南工商大学,辽宁,历史类,2025,本科批,550,6993,
四川外国语大学,辽宁,历史类,2025,本科批,550,6993,
