分数,位次,省份,年份,科类
669,10,辽宁,2025,历史类
668,11,辽宁,2025,历史类
667,11,辽宁,2025,历史类
666,13,辽宁,2025,历史类
665,15,辽宁,2025,历史类
664,18,辽宁,2025,历史类
663,22,辽宁,2025,历史类
662,27,辽宁,2025,历史类
661,29,辽宁,2025,历史类
660,30,辽宁,2025,历史类
659,40,辽宁,2025,历史类
658,42,辽宁,2025,历史类
657,45,辽宁,2025,历史类
656,52,辽宁,2025,历史类
655,61,辽宁,2025,历史类
654,74,辽宁,2025,历史类
653,81,辽宁,2025,历史类
652,87,辽宁,2025,历史类
651,98,辽宁,2025,历史类
650,110,辽宁,2025,历史类
649,124,辽宁,2025,历史类
648,135,辽宁,2025,历史类
647,145,辽宁,2025,历史类
646,157,辽宁,2025,历史类
645,176,辽宁,2025,历史类
644,192,辽宁,2025,历史类
643,209,辽宁,2025,历史类
642,222,辽宁,2025,历史类
641,242,辽宁,2025,历史类
640,262,辽宁,2025,历史类
639,291,辽宁,2025,历史类
638,321,辽宁,2025,历史类
637,340,辽宁,2025,历史类
636,371,辽宁,2025,历史类
635,400,辽宁,2025,历史类
634,426,辽宁,2025,历史类
633,454,辽宁,2025,历史类
632,486,辽宁,2025,历史类
631,505,辽宁,2025,历史类
630,539,辽宁,2025,历史类
629,573,辽宁,2025,历史类
628,601,辽宁,2025,历史类
627,631,辽宁,2025,历史类
626,667,辽宁,2025,历史类
625,709,辽宁,2025,历史类
624,747,辽宁,2025,历史类
623,781,辽宁,2025,历史类
622,824,辽宁,2025,历史类
621,872,辽宁,2025,历史类
620,915,辽宁,2025,历史类
619,961,辽宁,2025,历史类
618,1011,辽宁,2025,历史类
617,1061,辽宁,2025,历史类
616,1108,辽宁,2025,历史类
615,1154,辽宁,2025,历史类
614,1205,辽宁,2025,历史类
613,1262,辽宁,2025,历史类
612,1322,辽宁,2025,历史类
611,1368,辽宁,2025,历史类
610,1438,辽宁,2025,历史类
609,1485,辽宁,2025,历史类
608,1528,辽宁,2025,历史类
607,1583,辽宁,2025,历史类
606,1643,辽宁,2025,历史类
605,1699,辽宁,2025,历史类
604,1768,辽宁,2025,历史类
603,1834,辽宁,2025,历史类
602,1897,辽宁,2025,历史类
601,1962,辽宁,2025,历史类
600,2025,辽宁,2025,历史类
599,2100,辽宁,2025,历史类
598,2173,辽宁,2025,历史类
597,2246,辽宁,2025,历史类
596,2319,辽宁,2025,历史类
595,2387,辽宁,2025,历史类
594,2475,辽宁,2025,历史类
593,2546,辽宁,2025,历史类
592,2628,辽宁,2025,历史类
591,2702,辽宁,2025,历史类
590,2788,辽宁,2025,历史类
589,2875,辽宁,2025,历史类
588,2947,辽宁,2025,历史类
587,3025,辽宁,2025,历史类
586,3117,辽宁,2025,历史类
585,3190,辽宁,2025,历史类
584,3282,辽宁,2025,历史类
583,3370,辽宁,2025,历史类
582,3450,辽宁,2025,历史类
581,3534,辽宁,2025,历史类
580,3626,辽宁,2025,历史类
579,3713,辽宁,2025,历史类
578,3802,辽宁,2025,历史类
577,3914,辽宁,2025,历史类
576,4013,辽宁,2025,历史类
575,4120,辽宁,2025,历史类
574,4217,辽宁,2025,历史类
573,4341,辽宁,2025,历史类
572,4431,辽宁,2025,历史类
571,4523,辽宁,2025,历史类
570,4616,辽宁,2025,历史类
569,4715,辽宁,2025,历史类
568,4812,辽宁,2025,历史类
567,4921,辽宁,2025,历史类
566,5057,辽宁,2025,历史类
565,5181,辽宁,2025,历史类
564,5304,辽宁,2025,历史类
563,5413,辽宁,2025,历史类
562,5528,辽宁,2025,历史类
561,5636,辽宁,2025,历史类
560,5745,辽宁,2025,历史类
559,5861,辽宁,2025,历史类
558,5973,辽宁,2025,历史类
557,6100,辽宁,2025,历史类
556,6235,辽宁,2025,历史类
555,6368,辽宁,2025,历史类
554,6477,辽宁,2025,历史类
553,6598,辽宁,2025,历史类
552,6738,辽宁,2025,历史类
551,6863,辽宁,2025,历史类
550,6993,辽宁,2025,历史类
549,7127,辽宁,2025,历史类
548,7269,辽宁,2025,历史类
547,7408,辽宁,2025,历史类
546,7558,辽宁,2025,历史类
545,7700,辽宁,2025,历史类
544,7846,辽宁,2025,历史类
543,7989,辽宁,2025,历史类
542,8124,辽宁,2025,历史类
541,8249,辽宁,2025,历史类
540,8364,辽宁,2025,历史类
539,8517,辽宁,2025,历史类
538,8660,辽宁,2025,历史类
537,8817,辽宁,2025,历史类
536,8961,辽宁,2025,历史类
535,9105,辽宁,2025,历史类
534,9243,辽宁,2025,历史类
533,9369,辽宁,2025,历史类
532,9530,辽宁,2025,历史类
531,9699,辽宁,2025,历史类
530,9845,辽宁,2025,历史类
529,10001,辽宁,2025,历史类
528,10164,辽宁,2025,历史类
527,10343,辽宁,2025,历史类
526,10499,辽宁,2025,历史类
525,10664,辽宁,2025,历史类
524,10837,辽宁,2025,历史类
523,11024,辽宁,2025,历史类
522,11183,辽宁,2025,历史类
521,11362,辽宁,2025,历史类
520,11526,辽宁,2025,历史类
519,11683,辽宁,2025,历史类
518,11849,辽宁,2025,历史类
517,12006,辽宁,2025,历史类
516,12160,辽宁,2025,历史类
515,12329,辽宁,2025,历史类
514,12500,辽宁,2025,历史类
513,12651,辽宁,2025,历史类
512,12828,辽宁,2025,历史类
511,12987,辽宁,2025,历史类
510,13158,辽宁,2025,历史类
509,13322,辽宁,2025,历史类
508,13487,辽宁,2025,历史类
507,13661,辽宁,2025,历史类
506,13829,辽宁,2025,历史类
505,13997,辽宁,2025,历史类
504,14172,辽宁,2025,历史类
503,14344,辽宁,2025,历史类
502,14511,辽宁,2025,历史类
501,14677,辽宁,2025,历史类
500,14867,辽宁,2025,历史类
499,15018,辽宁,2025,历史类
498,15189,辽宁,2025,历史类
497,15360,辽宁,2025,历史类
496,15545,辽宁,2025,历史类
495,15727,辽宁,2025,历史类
494,15914,辽宁,2025,历史类
493,16120,辽宁,2025,历史类
492,16321,辽宁,2025,历史类
491,16507,辽宁,2025,历史类
490,16664,辽宁,2025,历史类
489,16852,辽宁,2025,历史类
488,17048,辽宁,2025,历史类
487,17228,辽宁,2025,历史类
486,17410,辽宁,2025,历史类
485,17597,辽宁,2025,历史类
484,17758,辽宁,2025,历史类
483,17955,辽宁,2025,历史类
482,18129,辽宁,2025,历史类
481,18312,辽宁,2025,历史类
480,18517,辽宁,2025,历史类
479,18714,辽宁,2025,历史类
478,18893,辽宁,2025,历史类
477,19104,辽宁,2025,历史类
476,19290,辽宁,2025,历史类
475,19467,辽宁,2025,历史类
474,19628,辽宁,2025,历史类
473,19820,辽宁,2025,历史类
472,19994,辽宁,2025,历史类
471,20196,辽宁,2025,历史类
470,20368,辽宁,2025,历史类
469,20567,辽宁,2025,历史类
468,20756,辽宁,2025,历史类
467,20957,辽宁,2025,历史类
466,21130,辽宁,2025,历史类
465,21324,辽宁,2025,历史类
464,21529,辽宁,2025,历史类
463,21728,辽宁,2025,历史类
462,21926,辽宁,2025,历史类
461,22112,辽宁,2025,历史类
460,22299,辽宁,2025,历史类
459,22491,辽宁,2025,历史类
458,22672,辽宁,2025,历史类
457,22860,辽宁,2025,历史类
456,23060,辽宁,2025,历史类
455,23282,辽宁,2025,历史类
454,23484,辽宁,2025,历史类
453,23703,辽宁,2025,历史类
452,23904,辽宁,2025,历史类
451,24098,辽宁,2025,历史类
450,24299,辽宁,2025,历史类
449,24475,辽宁,2025,历史类
448,24676,辽宁,2025,历史类
447,24848,辽宁,2025,历史类
446,25050,辽宁,2025,历史类
445,25232,辽宁,2025,历史类
444,25432,辽宁,2025,历史类
443,25655,辽宁,2025,历史类
442,25844,辽宁,2025,历史类
441,26054,辽宁,2025,历史类
440,26250,辽宁,2025,历史类
439,26450,辽宁,2025,历史类
438,26701,辽宁,2025,历史类
437,26916,辽宁,2025,历史类
436,27115,辽宁,2025,历史类
435,27321,辽宁,2025,历史类
434,27526,辽宁,2025,历史类
433,27719,辽宁,2025,历史类
432,27921,辽宁,2025,历史类
431,28122,辽宁,2025,历史类
430,28310,辽宁,2025,历史类
429,28518,辽宁,2025,历史类
428,28736,辽宁,2025,历史类
