院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
清华大学,内蒙古,历史类,2025,本科批,681,,
北京大学,内蒙古,历史类,2025,本科批,675,12,
复旦大学,内蒙古,历史类,2025,本科批,665,38,
中国人民大学,内蒙古,历史类,2025,本科批,661,56,
浙江大学,内蒙古,历史类,2025,本科批,659,70,
南京大学,内蒙古,历史类,2025,本科批,657,81,
上海交通大学,内蒙古,历史类,2025,本科批,654,98,
北京师范大学,内蒙古,历史类,2025,本科批,650,134,
武汉大学,内蒙古,历史类,2025,本科提前批B段,650,134,
武汉大学,内蒙古,历史类,2025,本科批,649,141,
南开大学,内蒙古,历史类,2025,本科批,648,152,
西安交通大学,内蒙古,历史类,2025,本科批,647,160,
北京航空航天大学,内蒙古,历史类,2025,本科批,644,199,
同济大学,内蒙古,历史类,2025,本科批,644,199,
复旦大学,内蒙古,历史类,2025,本科提前批B段,641,254,
香港中文大学,内蒙古,历史类,2025,本科提前批B段,641,254,
北京大学,内蒙古,历史类,2025,本科提前批C段,641,254,
西安交通大学,内蒙古,历史类,2025,本科提前批B段,640,270,
北京理工大学,内蒙古,历史类,2025,本科批,639,292,
东南大学,内蒙古,历史类,2025,本科批,639,292,
清华大学,内蒙古,历史类,2025,本科提前批C段,638,312,
清华大学,内蒙古,历史类,2025,本科提前批B段,637,330,
上海财经大学,内蒙古,历史类,2025,本科批,636,330,
四川大学,内蒙古,历史类,2025,本科批,636,342,
哈尔滨工业大学,内蒙古,历史类,2025,本科批,635,370,
厦门大学,内蒙古,历史类,2025,本科批,635,370,
天津大学,内蒙古,历史类,2025,本科批,635,370,
北京电子科技学院,内蒙古,历史类,2025,本科提前批B段,635,370,
中国人民大学,内蒙古,历史类,2025,本科提前批C段,635,370,
上海海关学院,内蒙古,历史类,2025,本科提前批B段,634,397,
复旦大学,内蒙古,历史类,2025,本科提前批C段,634,397,
西北工业大学,内蒙古,历史类,2025,本科批,631,480,
中山大学,内蒙古,历史类,2025,本科批,631,480,
对外经济贸易大学,内蒙古,历史类,2025,本科批,630,510,
中南大学,内蒙古,历史类,2025,本科批,629,539,
山东大学威海分校,内蒙古,历史类,2025,本科批,629,539,
湖南大学,内蒙古,历史类,2025,本科批,625,643,
浙江大学,内蒙古,历史类,2025,本科提前批B段,624,674,
厦门大学,内蒙古,历史类,2025,本科提前批C段,622,723,
电子科技大学,内蒙古,历史类,2025,本科批,621,754,
中央财经大学,内蒙古,历史类,2025,本科批,621,754,
香港城市大学,内蒙古,历史类,2025,本科提前批B段,621,723,
山东大学,内蒙古,历史类,2025,本科批,620,793,
苏州大学,内蒙古,历史类,2025,本科批,620,793,
上海交通大学,内蒙古,历史类,2025,本科提前批C段,620,793,
中国政法大学,内蒙古,历史类,2025,本科批,619,820,
北京交通大学,内蒙古,历史类,2025,本科批,619,820,
中国政法大学,内蒙古,历史类,2025,本科提前批B段,619,820,
中南大学,内蒙古,历史类,2025,本科提前批B段,619,820,
中国社会科学院大学,内蒙古,历史类,2025,本科批,618,859,
中国传媒大学,内蒙古,历史类,2025,本科批,617,894,
中国人民大学,内蒙古,历史类,2025,本科提前批B段,617,894,
山东大学,内蒙古,历史类,2025,本科提前批B段,617,894,
四川大学,内蒙古,历史类,2025,本科提前批B段,615,963,
外交学院,内蒙古,历史类,2025,本科提前批B段,615,963,
中国海洋大学,内蒙古,历史类,2025,本科批,614,1006,
东北大学,内蒙古,历史类,2025,本科批,614,1006,
吉林大学,内蒙古,历史类,2025,本科批,614,1006,
厦门大学,内蒙古,历史类,2025,本科提前批B段,614,1006,
兰州大学,内蒙古,历史类,2025,本科批,613,1028,
武汉大学,内蒙古,历史类,2025,本科提前批C段,613,1028,
北京科技大学,内蒙古,历史类,2025,本科批,612,1057,
大连理工大学,内蒙古,历史类,2025,本科批,612,1057,
东北师范大学,内蒙古,历史类,2025,本科提前批B段,612,1057,
北京外国语大学,内蒙古,历史类,2025,本科批,611,1102,
兰州大学,内蒙古,历史类,2025,本科提前批B段,611,1102,
国防科技大学,内蒙古,历史类,2025,本科提前批B段,611,1102,
陆军步兵学院,内蒙古,历史类,2025,本科提前批B段,611,1102,
北京化工大学,内蒙古,历史类,2025,本科批,610,1139,
中国药科大学,内蒙古,历史类,2025,本科批,610,1139,
西南石油大学,内蒙古,历史类,2025,本科批,610,1139,
东北大学秦皇岛分校,内蒙古,历史类,2025,本科批,609,1182,
西南财经大学,内蒙古,历史类,2025,本科批,609,1182,
北京师范大学,内蒙古,历史类,2025,本科提前批C段,609,1182,
中国地质大学(武汉),内蒙古,历史类,2025,本科批,608,1219,
华东政法大学,内蒙古,历史类,2025,本科批,608,1219,
中国地质大学(北京),内蒙古,历史类,2025,本科批,607,1219,
中南财经政法大学,内蒙古,历史类,2025,本科批,607,1257,
郑州大学,内蒙古,历史类,2025,本科批,607,1257,
华东师范大学,内蒙古,历史类,2025,本科提前批B段,607,1257,
东华大学,内蒙古,历史类,2025,本科批,606,1303,
南京师范大学,内蒙古,历史类,2025,本科批,606,1303,
中国石油大学(华东),内蒙古,历史类,2025,本科批,606,1303,
北京林业大学,内蒙古,历史类,2025,本科批,606,1303,
湖南大学,内蒙古,历史类,2025,本科提前批B段,606,1303,
云南大学,内蒙古,历史类,2025,本科提前批B段,606,1303,
中国政法大学,内蒙古,历史类,2025,本科提前批C段,606,1303,
西南交通大学,内蒙古,历史类,2025,本科批,605,1353,
上海大学,内蒙古,历史类,2025,本科批,605,1353,
中央财经大学,内蒙古,历史类,2025,本科提前批B段,605,1353,
河海大学,内蒙古,历史类,2025,本科批,604,1392,
中国石油大学(北京),内蒙古,历史类,2025,本科批,604,1392,
北京工业大学,内蒙古,历史类,2025,本科批,604,1392,
西北农林科技大学,内蒙古,历史类,2025,本科批,604,1392,
暨南大学,内蒙古,历史类,2025,本科批,603,1434,
华南师范大学,内蒙古,历史类,2025,本科批,603,1434,
深圳大学,内蒙古,历史类,2025,本科批,603,1434,
华东理工大学,内蒙古,历史类,2025,本科批,602,1486,
东南大学,内蒙古,历史类,2025,本科提前批B段,602,1486,
华中师范大学,内蒙古,历史类,2025,本科批,601,1530,
北京中医药大学,内蒙古,历史类,2025,本科批,601,1530,
西北大学,内蒙古,历史类,2025,本科批,601,1530,
北京信息科技大学,内蒙古,历史类,2025,本科批,600,1570,
北京师范大学,内蒙古,历史类,2025,本科提前批B段,600,1570,
华东师范大学,内蒙古,历史类,2025,本科提前批C段,600,1570,
哈尔滨工程大学,内蒙古,历史类,2025,本科批,599,1612,
中国矿业大学,内蒙古,历史类,2025,本科批,599,1612,
山东科技大学,内蒙古,历史类,2025,本科批,599,1612,
天津大学,内蒙古,历史类,2025,本科提前批B段,599,1612,
陕西师范大学,内蒙古,历史类,2025,本科提前批B段,599,1612,
南开大学,内蒙古,历史类,2025,本科提前批C段,599,1612,
西南政法大学,内蒙古,历史类,2025,本科批,598,1669,
陕西师范大学,内蒙古,历史类,2025,本科批,598,1669,
温州大学,内蒙古,历史类,2025,本科批,598,1669,
中国海洋大学,内蒙古,历史类,2025,本科提前批B段,598,1669,
东北财经大学,内蒙古,历史类,2025,本科提前批C段,598,1669,
山东大学,内蒙古,历史类,2025,本科提前批C段,598,1669,
中国农业大学,内蒙古,历史类,2025,本科批,597,1717,
武汉理工大学,内蒙古,历史类,2025,本科批,596,1756,
长安大学,内蒙古,历史类,2025,本科批,596,1756,
中央戏剧学院,内蒙古,历史类,2025,本科批,595,1814,
北京体育大学,内蒙古,历史类,2025,本科批,595,1814,
首都师范大学,内蒙古,历史类,2025,本科批,595,1814,
华中农业大学,内蒙古,历史类,2025,本科批,595,1814,
华北电力大学,内蒙古,历史类,2025,本科批,594,1868,
南京审计大学,内蒙古,历史类,2025,本科批,594,1868,
湖南师范大学,内蒙古,历史类,2025,本科批,594,1868,
长春中医药大学,内蒙古,历史类,2025,本科批,594,1814,
中国人民公安大学,内蒙古,历史类,2025,本科提前批B段,593,1914,
北方工业大学,内蒙古,历史类,2025,本科批,592,1966,
对外经济贸易大学,内蒙古,历史类,2025,本科提前批B段,591,2017,
中国社会科学院大学,内蒙古,历史类,2025,本科提前批C段,591,2017,
大连海事大学,内蒙古,历史类,2025,本科批,590,2068,
重庆大学,内蒙古,历史类,2025,本科批,590,2068,
贵州中医药大学,内蒙古,历史类,2025,本科批,590,2068,
中山大学,内蒙古,历史类,2025,本科提前批B段,590,2068,
华中师范大学,内蒙古,历史类,2025,本科提前批B段,590,2068,
中山大学,内蒙古,历史类,2025,本科提前批C段,590,2017,
江西财经大学,内蒙古,历史类,2025,本科批,589,2115,
湖北工业大学,内蒙古,历史类,2025,本科批,589,2115,
首都经济贸易大学,内蒙古,历史类,2025,本科批,589,2115,
上海理工大学,内蒙古,历史类,2025,本科批,589,2115,
上海外国语大学,内蒙古,历史类,2025,本科批,588,2165,
中南大学,内蒙古,历史类,2025,本科提前批C段,588,2165,
江苏科技大学,内蒙古,历史类,2025,本科批,587,2225,
扬州大学,内蒙古,历史类,2025,本科批,587,2225,
四川师范大学,内蒙古,历史类,2025,本科批,587,2165,
河南财经政法大学,内蒙古,历史类,2025,本科批,587,2225,
苏州大学,内蒙古,历史类,2025,本科提前批B段,587,2225,
中国消防救援学院,内蒙古,历史类,2025,本科提前批B段,587,2225,
四川大学,内蒙古,历史类,2025,本科提前批C段,587,2225,
对外经济贸易大学,内蒙古,历史类,2025,本科提前批C段,587,2225,
江苏大学,内蒙古,历史类,2025,本科批,586,2287,
贵州大学,内蒙古,历史类,2025,本科批,586,2287,
安徽大学,内蒙古,历史类,2025,本科批,586,2287,
南方医科大学,内蒙古,历史类,2025,本科批,586,2287,
西南政法大学,内蒙古,历史类,2025,本科提前批B段,586,2287,
南京师范大学,内蒙古,历史类,2025,本科提前批B段,586,2287,
江西师范大学,内蒙古,历史类,2025,本科提前批B段,586,2287,
西南大学,内蒙古,历史类,2025,本科提前批B段,586,2287,
中央财经大学,内蒙古,历史类,2025,本科提前批C段,586,2287,
长沙理工大学,内蒙古,历史类,2025,本科批,585,2353,
合肥工业大学,内蒙古,历史类,2025,本科批,585,2353,
吉林大学,内蒙古,历史类,2025,本科提前批B段,585,2353,
江西师范大学,内蒙古,历史类,2025,本科批,583,2414,
西南大学,内蒙古,历史类,2025,本科批,583,2470,
广东财经大学,内蒙古,历史类,2025,本科批,583,2470,
苏州大学,内蒙古,历史类,2025,本科提前批C段,582,2531,
上海海事大学,内蒙古,历史类,2025,本科批,581,2588,
山西大学,内蒙古,历史类,2025,本科批,581,2588,
云南大学,内蒙古,历史类,2025,本科批,581,2588,
宁波大学,内蒙古,历史类,2025,本科批,581,2588,
上海政法学院,内蒙古,历史类,2025,本科批,581,2588,
上海外国语大学,内蒙古,历史类,2025,本科提前批B段,581,2588,
大连医科大学,内蒙古,历史类,2025,本科批,580,2646,
上海海洋大学,内蒙古,历史类,2025,本科批,580,2646,
福建师范大学,内蒙古,历史类,2025,本科批,580,2588,
西交利物浦大学,内蒙古,历史类,2025,本科批,580,2646,
南昌大学,内蒙古,历史类,2025,本科批,579,2713,
上海立信会计金融学院,内蒙古,历史类,2025,本科批,579,2713,
北京语言大学,内蒙古,历史类,2025,本科提前批B段,579,2713,
西北大学,内蒙古,历史类,2025,本科提前批B段,579,2713,
中南财经政法大学,内蒙古,历史类,2025,本科提前批C段,579,2713,
中国民航大学,内蒙古,历史类,2025,本科批,578,2770,
湘潭大学,内蒙古,历史类,2025,本科批,578,2770,
中国石油大学(北京)克拉玛依校区,内蒙古,历史类,2025,本科批,578,2770,
浙江财经大学,内蒙古,历史类,2025,本科批,578,2770,
深圳技术大学,内蒙古,历史类,2025,本科批,578,2713,
山东大学威海分校,内蒙古,历史类,2025,本科提前批C段,578,2770,
暨南大学,内蒙古,历史类,2025,本科提前批C段,578,2770,
北京林业大学,内蒙古,历史类,2025,本科提前批C段,577,2827,
中南财经政法大学,内蒙古,历史类,2025,本科提前批B段,576,2890,
上海外国语大学,内蒙古,历史类,2025,本科提前批C段,576,2890,
浙江传媒学院,内蒙古,历史类,2025,本科批,575,2941,
东北石油大学,内蒙古,历史类,2025,本科批,575,2941,
广州大学,内蒙古,历史类,2025,本科批,575,2941,
宁波诺丁汉大学,内蒙古,历史类,2025,本科批,575,2941,
南京林业大学,内蒙古,历史类,2025,本科批,574,3007,
成都大学,内蒙古,历史类,2025,本科批,574,2941,
南京工业大学,内蒙古,历史类,2025,本科批,573,3061,
北京第二外国语学院,内蒙古,历史类,2025,本科批,573,3061,
