分数,位次,省份,年份,科类
675,12,内蒙古,2025,历史类
674,15,内蒙古,2025,历史类
673,16,内蒙古,2025,历史类
672,19,内蒙古,2025,历史类
671,20,内蒙古,2025,历史类
670,23,内蒙古,2025,历史类
669,23,内蒙古,2025,历史类
668,27,内蒙古,2025,历史类
667,31,内蒙古,2025,历史类
666,34,内蒙古,2025,历史类
665,38,内蒙古,2025,历史类
664,41,内蒙古,2025,历史类
663,45,内蒙古,2025,历史类
662,51,内蒙古,2025,历史类
661,56,内蒙古,2025,历史类
660,60,内蒙古,2025,历史类
659,70,内蒙古,2025,历史类
658,76,内蒙古,2025,历史类
657,81,内蒙古,2025,历史类
656,85,内蒙古,2025,历史类
655,92,内蒙古,2025,历史类
654,98,内蒙古,2025,历史类
653,103,内蒙古,2025,历史类
652,108,内蒙古,2025,历史类
651,119,内蒙古,2025,历史类
650,134,内蒙古,2025,历史类
649,141,内蒙古,2025,历史类
648,152,内蒙古,2025,历史类
647,160,内蒙古,2025,历史类
646,177,内蒙古,2025,历史类
645,189,内蒙古,2025,历史类
644,199,内蒙古,2025,历史类
643,217,内蒙古,2025,历史类
642,228,内蒙古,2025,历史类
641,254,内蒙古,2025,历史类
640,270,内蒙古,2025,历史类
639,292,内蒙古,2025,历史类
638,312,内蒙古,2025,历史类
637,330,内蒙古,2025,历史类
636,342,内蒙古,2025,历史类
635,370,内蒙古,2025,历史类
634,397,内蒙古,2025,历史类
633,431,内蒙古,2025,历史类
632,446,内蒙古,2025,历史类
631,480,内蒙古,2025,历史类
630,510,内蒙古,2025,历史类
629,539,内蒙古,2025,历史类
628,563,内蒙古,2025,历史类
627,585,内蒙古,2025,历史类
626,613,内蒙古,2025,历史类
625,643,内蒙古,2025,历史类
624,674,内蒙古,2025,历史类
623,693,内蒙古,2025,历史类
622,723,内蒙古,2025,历史类
621,754,内蒙古,2025,历史类
620,793,内蒙古,2025,历史类
619,820,内蒙古,2025,历史类
618,859,内蒙古,2025,历史类
617,894,内蒙古,2025,历史类
616,923,内蒙古,2025,历史类
615,963,内蒙古,2025,历史类
614,1006,内蒙古,2025,历史类
613,1028,内蒙古,2025,历史类
612,1057,内蒙古,2025,历史类
611,1102,内蒙古,2025,历史类
610,1139,内蒙古,2025,历史类
609,1182,内蒙古,2025,历史类
608,1219,内蒙古,2025,历史类
607,1257,内蒙古,2025,历史类
606,1303,内蒙古,2025,历史类
605,1353,内蒙古,2025,历史类
604,1392,内蒙古,2025,历史类
603,1434,内蒙古,2025,历史类
602,1486,内蒙古,2025,历史类
601,1530,内蒙古,2025,历史类
600,1570,内蒙古,2025,历史类
599,1612,内蒙古,2025,历史类
598,1669,内蒙古,2025,历史类
597,1717,内蒙古,2025,历史类
596,1756,内蒙古,2025,历史类
595,1814,内蒙古,2025,历史类
594,1868,内蒙古,2025,历史类
593,1914,内蒙古,2025,历史类
592,1966,内蒙古,2025,历史类
591,2017,内蒙古,2025,历史类
590,2068,内蒙古,2025,历史类
589,2115,内蒙古,2025,历史类
588,2165,内蒙古,2025,历史类
587,2225,内蒙古,2025,历史类
586,2287,内蒙古,2025,历史类
585,2353,内蒙古,2025,历史类
584,2414,内蒙古,2025,历史类
583,2470,内蒙古,2025,历史类
582,2531,内蒙古,2025,历史类
581,2588,内蒙古,2025,历史类
580,2646,内蒙古,2025,历史类
579,2713,内蒙古,2025,历史类
578,2770,内蒙古,2025,历史类
577,2827,内蒙古,2025,历史类
576,2890,内蒙古,2025,历史类
575,2941,内蒙古,2025,历史类
574,3007,内蒙古,2025,历史类
573,3061,内蒙古,2025,历史类
572,3119,内蒙古,2025,历史类
571,3198,内蒙古,2025,历史类
570,3267,内蒙古,2025,历史类
569,3359,内蒙古,2025,历史类
568,3412,内蒙古,2025,历史类
567,3485,内蒙古,2025,历史类
566,3558,内蒙古,2025,历史类
565,3627,内蒙古,2025,历史类
564,3705,内蒙古,2025,历史类
563,3777,内蒙古,2025,历史类
562,3855,内蒙古,2025,历史类
561,3938,内蒙古,2025,历史类
560,4018,内蒙古,2025,历史类
559,4087,内蒙古,2025,历史类
558,4175,内蒙古,2025,历史类
557,4273,内蒙古,2025,历史类
556,4355,内蒙古,2025,历史类
555,4441,内蒙古,2025,历史类
554,4515,内蒙古,2025,历史类
553,4584,内蒙古,2025,历史类
552,4658,内蒙古,2025,历史类
551,4741,内蒙古,2025,历史类
550,4823,内蒙古,2025,历史类
549,4911,内蒙古,2025,历史类
548,5002,内蒙古,2025,历史类
547,5092,内蒙古,2025,历史类
546,5172,内蒙古,2025,历史类
545,5244,内蒙古,2025,历史类
544,5330,内蒙古,2025,历史类
543,5406,内蒙古,2025,历史类
542,5498,内蒙古,2025,历史类
541,5582,内蒙古,2025,历史类
540,5666,内蒙古,2025,历史类
539,5762,内蒙古,2025,历史类
538,5870,内蒙古,2025,历史类
537,5963,内蒙古,2025,历史类
536,6045,内蒙古,2025,历史类
535,6134,内蒙古,2025,历史类
534,6226,内蒙古,2025,历史类
533,6310,内蒙古,2025,历史类
532,6432,内蒙古,2025,历史类
531,6528,内蒙古,2025,历史类
530,6622,内蒙古,2025,历史类
529,6717,内蒙古,2025,历史类
528,6801,内蒙古,2025,历史类
527,6904,内蒙古,2025,历史类
526,7012,内蒙古,2025,历史类
525,7117,内蒙古,2025,历史类
524,7214,内蒙古,2025,历史类
523,7312,内蒙古,2025,历史类
522,7390,内蒙古,2025,历史类
521,7500,内蒙古,2025,历史类
520,7617,内蒙古,2025,历史类
519,7742,内蒙古,2025,历史类
518,7846,内蒙古,2025,历史类
517,7930,内蒙古,2025,历史类
516,8050,内蒙古,2025,历史类
515,8156,内蒙古,2025,历史类
514,8270,内蒙古,2025,历史类
513,8397,内蒙古,2025,历史类
512,8528,内蒙古,2025,历史类
511,8638,内蒙古,2025,历史类
510,8753,内蒙古,2025,历史类
509,8857,内蒙古,2025,历史类
508,8971,内蒙古,2025,历史类
507,9096,内蒙古,2025,历史类
506,9216,内蒙古,2025,历史类
505,9326,内蒙古,2025,历史类
504,9451,内蒙古,2025,历史类
503,9554,内蒙古,2025,历史类
502,9663,内蒙古,2025,历史类
501,9784,内蒙古,2025,历史类
500,9886,内蒙古,2025,历史类
499,10001,内蒙古,2025,历史类
498,10130,内蒙古,2025,历史类
497,10223,内蒙古,2025,历史类
496,10321,内蒙古,2025,历史类
495,10434,内蒙古,2025,历史类
494,10554,内蒙古,2025,历史类
493,10655,内蒙古,2025,历史类
492,10794,内蒙古,2025,历史类
491,10917,内蒙古,2025,历史类
490,11038,内蒙古,2025,历史类
489,11157,内蒙古,2025,历史类
488,11307,内蒙古,2025,历史类
487,11442,内蒙古,2025,历史类
486,11557,内蒙古,2025,历史类
485,11683,内蒙古,2025,历史类
484,11807,内蒙古,2025,历史类
483,11943,内蒙古,2025,历史类
482,12064,内蒙古,2025,历史类
