院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
厦门大学,宁夏,历史类,2025,本科批B段,583,292,16
华东师范大学,宁夏,历史类,2025,本科提前批B段,579,340,6
华中师范大学,宁夏,历史类,2025,本科提前批B段,579,340,12
上海财经大学,宁夏,历史类,2025,本科批B段,577,369,2
东北师范大学,宁夏,历史类,2025,本科提前批B段,577,369,9
华东师范大学,宁夏,历史类,2025,本科批A段,576,387,1
中南大学,宁夏,历史类,2025,本科批B段,570,452,15
山东大学,宁夏,历史类,2025,本科批B段,568,484,14
中国人民公安大学,宁夏,历史类,2025,本科提前批B段,566,512,8
厦门大学,宁夏,历史类,2025,本科批A段,560,622,1
吉林大学,宁夏,历史类,2025,本科批B段,556,701,20
深圳大学,宁夏,历史类,2025,本科批B段,555,731,5
宁夏师范大学,宁夏,历史类,2025,本科提前批B段,549,867,193
北京外国语大学,宁夏,历史类,2025,本科批B段,548,888,7
中央民族大学,宁夏,历史类,2025,本科批B段,546,940,43
中央财经大学,宁夏,历史类,2025,本科批B段,546,940,21
山东大学,宁夏,历史类,2025,本科批A段,543,1009,1
中国海洋大学,宁夏,历史类,2025,本科批B段,543,1009,15
北京中医药大学,宁夏,历史类,2025,本科批B段,542,1039,3
华北电力大学,宁夏,历史类,2025,本科批B段,542,1039,4
南方医科大学,宁夏,历史类,2025,本科批B段,541,1069,4
湘潭大学,宁夏,历史类,2025,本科批B段,540,1099,8
西北政法大学,宁夏,历史类,2025,本科批B段,540,1069,38
对外经济贸易大学,宁夏,历史类,2025,本科批B段,539,1127,23
中央戏剧学院,宁夏,历史类,2025,本科批B段,539,1127,1
安徽中医药大学,宁夏,历史类,2025,本科批B段,539,1127,1
吉林大学,宁夏,历史类,2025,本科批A段,538,1156,1
首都经济贸易大学,宁夏,历史类,2025,本科批B段,538,1156,6
湖南师范大学,宁夏,历史类,2025,本科批B段,537,1181,6
江苏大学,宁夏,历史类,2025,本科批B段,532,1329,7
中国石油大学(华东),宁夏,历史类,2025,本科批B段,532,1329,4
山东大学威海分校,宁夏,历史类,2025,本科批B段,531,1362,9
中国戏曲学院,宁夏,历史类,2025,本科批B段,529,1420,1
东北师范大学,宁夏,历史类,2025,本科批B段,529,1362,10
上海海事大学,宁夏,历史类,2025,本科批B段,529,1420,8
扬州大学,宁夏,历史类,2025,本科批B段,529,1420,3
北京体育大学,宁夏,历史类,2025,本科批B段,528,1448,5
海南大学,宁夏,历史类,2025,本科批B段,528,1448,4
重庆中医药学院,宁夏,历史类,2025,本科批B段,524,1557,2
中央美术学院,宁夏,历史类,2025,本科批B段,523,1597,2
贵州大学,宁夏,历史类,2025,本科批B段,523,1597,2
深圳技术大学,宁夏,历史类,2025,本科批B段,522,1627,3
中国传媒大学,宁夏,历史类,2025,本科批B段,521,1665,9
石家庄铁道大学,宁夏,历史类,2025,本科批B段,521,1665,2
河南大学,宁夏,历史类,2025,本科批B段,521,1665,12
长沙理工大学,宁夏,历史类,2025,本科批B段,521,1665,10
上海立信会计金融学院,宁夏,历史类,2025,本科批B段,519,1739,15
上海理工大学,宁夏,历史类,2025,本科批B段,518,1739,11
青岛大学,宁夏,历史类,2025,本科批B段,518,1770,5
北京工商大学,宁夏,历史类,2025,本科批B段,516,1842,5
河南财经政法大学,宁夏,历史类,2025,本科批B段,515,1871,7
武汉科技大学,宁夏,历史类,2025,本科批B段,514,1921,6
南华大学,宁夏,历史类,2025,本科批B段,514,1921,4
华中师范大学,宁夏,历史类,2025,本科批A段,511,2028,1
陕西理工大学,宁夏,历史类,2025,本科批B段,511,2028,3
河北工程大学,宁夏,历史类,2025,本科批B段,510,2075,2
石河子大学,宁夏,历史类,2025,本科批B段,509,2120,16
大理大学,宁夏,历史类,2025,本科批B段,507,2210,2
广东工业大学,宁夏,历史类,2025,本科批B段,506,2254,5
四川师范大学,宁夏,历史类,2025,本科批B段,506,2254,19
延边大学,宁夏,历史类,2025,本科批B段,505,2286,6
云南民族大学,宁夏,历史类,2025,本科批B段,505,2286,1
西安文理学院,宁夏,历史类,2025,本科批B段,502,2375,4
中国劳动关系学院,宁夏,历史类,2025,本科批B段,500,2504,13
安徽农业大学,宁夏,历史类,2025,本科批B段,500,2411,4
鲁东大学,宁夏,历史类,2025,本科批B段,499,2553,3
浙江工商大学,宁夏,历史类,2025,本科批B段,497,2646,11
中国消防救援学院,宁夏,历史类,2025,本科提前批A段,497,2646,1
浙江师范大学,宁夏,历史类,2025,本科批B段,496,2686,11
北京物资学院,宁夏,历史类,2025,本科批B段,495,2723,3
内蒙古财经大学,宁夏,历史类,2025,本科批B段,494,2771,4
中国刑事警察学院,宁夏,历史类,2025,本科提前批B段,494,2771,11
浙江传媒学院,宁夏,历史类,2025,本科批B段,493,2834,10
天津师范大学,宁夏,历史类,2025,本科批B段,492,2875,19
江苏科技大学,宁夏,历史类,2025,本科批B段,492,2875,4
苏州科技大学,宁夏,历史类,2025,本科批B段,490,2975,18
长春理工大学,宁夏,历史类,2025,本科批B段,489,3033,10
山东财经大学,宁夏,历史类,2025,本科批B段,489,3033,42
贵州大学,宁夏,历史类,2025,本科批A段,488,3083,1
上海商学院,宁夏,历史类,2025,本科批B段,487,3137,4
安徽财经大学,宁夏,历史类,2025,本科批B段,487,3137,21
咸阳师范学院,宁夏,历史类,2025,本科批B段,484,3293,8
常州大学,宁夏,历史类,2025,本科批B段,483,3354,12
海南师范大学,宁夏,历史类,2025,本科批B段,482,3415,11
天水师范大学,宁夏,历史类,2025,本科批B段,482,3354,5
哈尔滨师范大学,宁夏,历史类,2025,本科批B段,481,3469,6
湖南工业大学,宁夏,历史类,2025,本科批B段,479,3586,14
中华女子学院,宁夏,历史类,2025,本科批B段,478,3660,5
哈尔滨学院,宁夏,历史类,2025,本科批B段,478,3660,3
山东工商学院,宁夏,历史类,2025,本科批B段,478,3660,10
湖北文理学院,宁夏,历史类,2025,本科批B段,478,3660,4
南阳师范学院,宁夏,历史类,2025,本科批B段,477,3709,4
榆林学院,宁夏,历史类,2025,本科批B段,477,3709,4
北方民族大学,宁夏,历史类,2025,本科批B段,477,3709,157
东北石油大学,宁夏,历史类,2025,本科批B段,476,3774,6
山东农业大学,宁夏,历史类,2025,本科批B段,476,3660,6
山西医科大学,宁夏,历史类,2025,本科批B段,475,3838,2
中央司法警官学院,宁夏,历史类,2025,本科提前批A段,475,,5
天津职业技术师范大学,宁夏,历史类,2025,本科批B段,474,3908,8
辽宁师范大学,宁夏,历史类,2025,本科批B段,474,3908,2
张家口学院,宁夏,历史类,2025,本科批B段,473,3966,6
许昌学院,宁夏,历史类,2025,本科批B段,473,3838,8
华中师范大学,宁夏,历史类,2025,本科批B段,472,4028,7
山西农业大学,宁夏,历史类,2025,本科批B段,470,4138,5
湖南人文科技学院,宁夏,历史类,2025,本科批B段,470,4138,4
东北林业大学,宁夏,历史类,2025,本科批B段,469,4197,12
贵州财经大学,宁夏,历史类,2025,本科批B段,469,4197,5
渭南师范学院,宁夏,历史类,2025,本科批B段,469,4197,11
青岛科技大学,宁夏,历史类,2025,本科批B段,468,4265,11
山东交通学院,宁夏,历史类,2025,本科批B段,468,4265,4
齐齐哈尔大学,宁夏,历史类,2025,本科批B段,467,4317,2
南京工程学院,宁夏,历史类,2025,本科批B段,467,4138,4
太原师范学院,宁夏,历史类,2025,本科批B段,466,4377,25
西南医科大学,宁夏,历史类,2025,本科批B段,466,4377,3
广西科技大学,宁夏,历史类,2025,本科批B段,464,4527,6
兰州财经大学,宁夏,历史类,2025,本科批B段,464,4527,26
