分数,位次,省份,年份,科类
616,54,宁夏,2025,历史类
615,59,宁夏,2025,历史类
614,66,宁夏,2025,历史类
613,67,宁夏,2025,历史类
612,75,宁夏,2025,历史类
611,78,宁夏,2025,历史类
610,82,宁夏,2025,历史类
609,85,宁夏,2025,历史类
608,90,宁夏,2025,历史类
607,95,宁夏,2025,历史类
606,101,宁夏,2025,历史类
605,105,宁夏,2025,历史类
604,108,宁夏,2025,历史类
603,115,宁夏,2025,历史类
602,120,宁夏,2025,历史类
601,129,宁夏,2025,历史类
600,134,宁夏,2025,历史类
599,143,宁夏,2025,历史类
598,149,宁夏,2025,历史类
597,156,宁夏,2025,历史类
596,161,宁夏,2025,历史类
595,170,宁夏,2025,历史类
594,181,宁夏,2025,历史类
593,191,宁夏,2025,历史类
592,199,宁夏,2025,历史类
591,213,宁夏,2025,历史类
590,222,宁夏,2025,历史类
589,235,宁夏,2025,历史类
588,242,宁夏,2025,历史类
587,251,宁夏,2025,历史类
586,262,宁夏,2025,历史类
585,274,宁夏,2025,历史类
584,282,宁夏,2025,历史类
583,292,宁夏,2025,历史类
582,302,宁夏,2025,历史类
581,314,宁夏,2025,历史类
580,324,宁夏,2025,历史类
579,340,宁夏,2025,历史类
578,355,宁夏,2025,历史类
577,369,宁夏,2025,历史类
576,387,宁夏,2025,历史类
575,398,宁夏,2025,历史类
574,410,宁夏,2025,历史类
573,416,宁夏,2025,历史类
572,432,宁夏,2025,历史类
571,442,宁夏,2025,历史类
570,452,宁夏,2025,历史类
569,470,宁夏,2025,历史类
568,484,宁夏,2025,历史类
567,497,宁夏,2025,历史类
566,512,宁夏,2025,历史类
565,529,宁夏,2025,历史类
564,549,宁夏,2025,历史类
563,568,宁夏,2025,历史类
562,584,宁夏,2025,历史类
561,600,宁夏,2025,历史类
560,622,宁夏,2025,历史类
559,637,宁夏,2025,历史类
558,654,宁夏,2025,历史类
557,678,宁夏,2025,历史类
556,701,宁夏,2025,历史类
555,731,宁夏,2025,历史类
554,751,宁夏,2025,历史类
553,777,宁夏,2025,历史类
552,797,宁夏,2025,历史类
551,823,宁夏,2025,历史类
550,842,宁夏,2025,历史类
549,867,宁夏,2025,历史类
548,888,宁夏,2025,历史类
547,916,宁夏,2025,历史类
546,940,宁夏,2025,历史类
545,958,宁夏,2025,历史类
544,985,宁夏,2025,历史类
543,1009,宁夏,2025,历史类
542,1039,宁夏,2025,历史类
541,1069,宁夏,2025,历史类
540,1099,宁夏,2025,历史类
539,1127,宁夏,2025,历史类
538,1156,宁夏,2025,历史类
537,1181,宁夏,2025,历史类
536,1215,宁夏,2025,历史类
535,1238,宁夏,2025,历史类
534,1264,宁夏,2025,历史类
533,1297,宁夏,2025,历史类
532,1329,宁夏,2025,历史类
531,1362,宁夏,2025,历史类
530,1384,宁夏,2025,历史类
529,1420,宁夏,2025,历史类
528,1448,宁夏,2025,历史类
527,1477,宁夏,2025,历史类
526,1505,宁夏,2025,历史类
525,1529,宁夏,2025,历史类
524,1557,宁夏,2025,历史类
523,1597,宁夏,2025,历史类
522,1627,宁夏,2025,历史类
521,1665,宁夏,2025,历史类
520,1705,宁夏,2025,历史类
519,1739,宁夏,2025,历史类
518,1770,宁夏,2025,历史类
517,1803,宁夏,2025,历史类
516,1842,宁夏,2025,历史类
515,1871,宁夏,2025,历史类
514,1921,宁夏,2025,历史类
513,1953,宁夏,2025,历史类
512,1979,宁夏,2025,历史类
511,2028,宁夏,2025,历史类
510,2075,宁夏,2025,历史类
509,2120,宁夏,2025,历史类
508,2157,宁夏,2025,历史类
507,2210,宁夏,2025,历史类
506,2254,宁夏,2025,历史类
505,2286,宁夏,2025,历史类
504,2332,宁夏,2025,历史类
503,2375,宁夏,2025,历史类
502,2411,宁夏,2025,历史类
501,2452,宁夏,2025,历史类
500,2504,宁夏,2025,历史类
499,2553,宁夏,2025,历史类
498,2597,宁夏,2025,历史类
497,2646,宁夏,2025,历史类
496,2686,宁夏,2025,历史类
495,2723,宁夏,2025,历史类
494,2771,宁夏,2025,历史类
493,2834,宁夏,2025,历史类
492,2875,宁夏,2025,历史类
491,2930,宁夏,2025,历史类
490,2975,宁夏,2025,历史类
489,3033,宁夏,2025,历史类
488,3083,宁夏,2025,历史类
487,3137,宁夏,2025,历史类
486,3194,宁夏,2025,历史类
485,3234,宁夏,2025,历史类
484,3293,宁夏,2025,历史类
483,3354,宁夏,2025,历史类
482,3415,宁夏,2025,历史类
481,3469,宁夏,2025,历史类
480,3528,宁夏,2025,历史类
479,3586,宁夏,2025,历史类
478,3660,宁夏,2025,历史类
477,3709,宁夏,2025,历史类
476,3774,宁夏,2025,历史类
475,3838,宁夏,2025,历史类
474,3908,宁夏,2025,历史类
473,3966,宁夏,2025,历史类
472,4028,宁夏,2025,历史类
471,4079,宁夏,2025,历史类
470,4138,宁夏,2025,历史类
469,4197,宁夏,2025,历史类
468,4265,宁夏,2025,历史类
467,4317,宁夏,2025,历史类
466,4377,宁夏,2025,历史类
465,4443,宁夏,2025,历史类
464,4527,宁夏,2025,历史类
463,4585,宁夏,2025,历史类
462,4645,宁夏,2025,历史类
461,4706,宁夏,2025,历史类
460,4768,宁夏,2025,历史类
459,4830,宁夏,2025,历史类
458,4911,宁夏,2025,历史类
457,4991,宁夏,2025,历史类
456,5062,宁夏,2025,历史类
455,5141,宁夏,2025,历史类
454,5199,宁夏,2025,历史类
453,5285,宁夏,2025,历史类
452,5356,宁夏,2025,历史类
451,5432,宁夏,2025,历史类
450,5508,宁夏,2025,历史类
449,5571,宁夏,2025,历史类
448,5648,宁夏,2025,历史类
447,5723,宁夏,2025,历史类
446,5785,宁夏,2025,历史类
445,5868,宁夏,2025,历史类
444,5953,宁夏,2025,历史类
443,6032,宁夏,2025,历史类
442,6113,宁夏,2025,历史类
441,6179,宁夏,2025,历史类
440,6250,宁夏,2025,历史类
439,6318,宁夏,2025,历史类
438,6401,宁夏,2025,历史类
437,6479,宁夏,2025,历史类
436,6563,宁夏,2025,历史类
435,6644,宁夏,2025,历史类
434,6751,宁夏,2025,历史类
433,6832,宁夏,2025,历史类
432,6906,宁夏,2025,历史类
431,6994,宁夏,2025,历史类
430,7089,宁夏,2025,历史类
429,7178,宁夏,2025,历史类
428,7267,宁夏,2025,历史类
427,7355,宁夏,2025,历史类
426,7437,宁夏,2025,历史类
425,7526,宁夏,2025,历史类
424,7611,宁夏,2025,历史类
423,7705,宁夏,2025,历史类
422,7776,宁夏,2025,历史类
421,7858,宁夏,2025,历史类
420,7934,宁夏,2025,历史类
419,8041,宁夏,2025,历史类
418,8123,宁夏,2025,历史类
417,8232,宁夏,2025,历史类
416,8330,宁夏,2025,历史类
415,8431,宁夏,2025,历史类
414,8522,宁夏,2025,历史类
413,8606,宁夏,2025,历史类
412,8698,宁夏,2025,历史类
411,8796,宁夏,2025,历史类
410,8874,宁夏,2025,历史类
409,8972,宁夏,2025,历史类
408,9085,宁夏,2025,历史类
407,9182,宁夏,2025,历史类
406,9277,宁夏,2025,历史类
405,9364,宁夏,2025,历史类
404,9485,宁夏,2025,历史类
403,9589,宁夏,2025,历史类
402,9698,宁夏,2025,历史类
401,9790,宁夏,2025,历史类
400,9879,宁夏,2025,历史类
399,9970,宁夏,2025,历史类
398,10054,宁夏,2025,历史类
397,10138,宁夏,2025,历史类
396,10252,宁夏,2025,历史类
395,10363,宁夏,2025,历史类
394,10461,宁夏,2025,历史类
393,10552,宁夏,2025,历史类
392,10641,宁夏,2025,历史类
391,10753,宁夏,2025,历史类
390,10849,宁夏,2025,历史类
389,10945,宁夏,2025,历史类
388,11039,宁夏,2025,历史类
387,11133,宁夏,2025,历史类
386,11243,宁夏,2025,历史类
385,11357,宁夏,2025,历史类
384,11451,宁夏,2025,历史类
383,11583,宁夏,2025,历史类
382,11682,宁夏,2025,历史类
381,11796,宁夏,2025,历史类
380,11887,宁夏,2025,历史类
379,12000,宁夏,2025,历史类
378,12086,宁夏,2025,历史类
377,12196,宁夏,2025,历史类
376,12268,宁夏,2025,历史类
375,12391,宁夏,2025,历史类
374,12485,宁夏,2025,历史类
373,12579,宁夏,2025,历史类
372,12683,宁夏,2025,历史类
371,12782,宁夏,2025,历史类
370,12877,宁夏,2025,历史类
369,12990,宁夏,2025,历史类
368,13094,宁夏,2025,历史类
367,13180,宁夏,2025,历史类
366,13289,宁夏,2025,历史类
365,13390,宁夏,2025,历史类
364,13501,宁夏,2025,历史类
363,13590,宁夏,2025,历史类
362,13668,宁夏,2025,历史类
361,13761,宁夏,2025,历史类
360,13861,宁夏,2025,历史类
359,13956,宁夏,2025,历史类
358,14056,宁夏,2025,历史类
357,14126,宁夏,2025,历史类
356,14220,宁夏,2025,历史类
355,14323,宁夏,2025,历史类
354,14418,宁夏,2025,历史类
353,14522,宁夏,2025,历史类
352,14625,宁夏,2025,历史类
351,14711,宁夏,2025,历史类
350,14815,宁夏,2025,历史类
349,14912,宁夏,2025,历史类
348,15011,宁夏,2025,历史类
347,15098,宁夏,2025,历史类
346,15191,宁夏,2025,历史类
345,15294,宁夏,2025,历史类
344,15401,宁夏,2025,历史类
343,15500,宁夏,2025,历史类
342,15581,宁夏,2025,历史类
341,15694,宁夏,2025,历史类
340,15782,宁夏,2025,历史类
339,15878,宁夏,2025,历史类
338,15969,宁夏,2025,历史类
337,16060,宁夏,2025,历史类
336,16147,宁夏,2025,历史类
335,16251,宁夏,2025,历史类
334,16347,宁夏,2025,历史类
333,16449,宁夏,2025,历史类
332,16543,宁夏,2025,历史类
331,16642,宁夏,2025,历史类
330,16741,宁夏,2025,历史类
329,16827,宁夏,2025,历史类
328,16923,宁夏,2025,历史类
