院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
华东师范大学,陕西,历史类,2025,本科批,645,314,
西安交通大学,陕西,历史类,2025,本科批,634,596,
西安交通大学,陕西,历史类,2025,本科提前批,634,596,
中南大学,陕西,历史类,2025,本科批,622,1009,19
上海财经大学,陕西,历史类,2025,本科批,621,1043,
中央美术学院,陕西,历史类,2025,本科批,616,1265,
中国人民公安大学,陕西,历史类,2025,本科批,615,1315,
北京邮电大学,陕西,历史类,2025,本科批,614,1355,12
吉林大学,陕西,历史类,2025,本科批,613,1387,29
华东师范大学,陕西,历史类,2025,本科提前批,610,1559,
北京科技大学,陕西,历史类,2025,本科批,609,1616,11
北京外国语大学,陕西,历史类,2025,本科批,609,1616,
中央民族大学,陕西,历史类,2025,本科批,609,1616,
山东大学,陕西,历史类,2025,本科批,609,1616,48
成都中医药大学,陕西,历史类,2025,本科批,609,1616,
中央财经大学,陕西,历史类,2025,本科批,608,1680,
中国海洋大学,陕西,历史类,2025,本科批,608,1680,
对外经济贸易大学,陕西,历史类,2025,本科批,606,1768,26
兰州大学,陕西,历史类,2025,本科批,604,1880,32
华东师范大学,陕西,历史类,2025,高校专项计划批,603,1938,
华中师范大学,陕西,历史类,2025,本科提前批,601,2060,
深圳大学,陕西,历史类,2025,本科批,599,2211,14
中国石油大学(北京),陕西,历史类,2025,本科批,598,2268,
南京师范大学,陕西,历史类,2025,高校专项计划批,596,2401,
中国地质大学(北京),陕西,历史类,2025,本科批,595,2490,
中国地质大学(武汉),陕西,历史类,2025,本科批,595,2490,
北京中医药大学,陕西,历史类,2025,本科批,594,2551,
北京化工大学,陕西,历史类,2025,本科批,592,2702,
上海海事大学,陕西,历史类,2025,本科批,592,2702,
中国石油大学(华东),陕西,历史类,2025,本科批,590,2873,
北京林业大学,陕西,历史类,2025,本科批,589,2963,
中国人民公安大学,陕西,历史类,2025,本科提前批,589,2963,
中国传媒大学,陕西,历史类,2025,本科批,588,3043,
江南大学,陕西,历史类,2025,本科批,588,3043,14
中国消防救援学院,陕西,历史类,2025,本科提前批,586,3215,
南京理工大学,陕西,历史类,2025,本科批,585,3310,
武汉理工大学,陕西,历史类,2025,本科批,582,3573,
上海立信会计金融学院,陕西,历史类,2025,本科批,581,3668,
江苏大学,陕西,历史类,2025,本科批,580,3768,4
华中师范大学,陕西,历史类,2025,本科批,580,3768,
大连海事大学,陕西,历史类,2025,本科批,578,3869,
东北师范大学,陕西,历史类,2025,本科批,577,4062,
扬州大学,陕西,历史类,2025,本科批,577,4062,6
上海海洋大学,陕西,历史类,2025,本科批,576,4184,
榆林学院,陕西,历史类,2025,本科提前批,575,4298,
南方医科大学,陕西,历史类,2025,本科批,574,4392,
上海理工大学,陕西,历史类,2025,本科批,572,4503,
上海政法学院,陕西,历史类,2025,本科批,572,4617,
贵州大学,陕西,历史类,2025,本科批,572,4617,
黑龙江中医药大学,陕西,历史类,2025,本科批,571,4730,4
河北大学,陕西,历史类,2025,本科批,570,4730,
南京师范大学,陕西,历史类,2025,本科批,570,4844,
山东科技大学,陕西,历史类,2025,本科批,570,4844,2
东北林业大学,陕西,历史类,2025,本科批,569,4948,
陕西理工大学,陕西,历史类,2025,本科提前批,569,4948,
安徽中医药大学,陕西,历史类,2025,本科批,567,5184,2
上海对外经贸大学,陕西,历史类,2025,本科批,567,4948,
广西大学,陕西,历史类,2025,本科批,567,5184,
南京信息工程大学,陕西,历史类,2025,本科批,566,5076,6
天津工业大学,陕西,历史类,2025,本科批,565,5424,9
辽宁中医药大学,陕西,历史类,2025,本科批,565,5424,
湖北大学,陕西,历史类,2025,本科批,563,5652,
延安大学,陕西,历史类,2025,本科提前批,563,5652,94
青岛大学,陕西,历史类,2025,本科批,562,5777,
中央戏剧学院,陕西,历史类,2025,本科批,561,5919,
南京工业大学,陕西,历史类,2025,本科批,561,5919,2
湘潭大学,陕西,历史类,2025,本科批,561,5919,87
内蒙古大学,陕西,历史类,2025,本科批,560,6065,17
延边大学,陕西,历史类,2025,本科批,559,6214,
上海戏剧学院,陕西,历史类,2025,本科批,559,6214,
武汉科技大学,陕西,历史类,2025,本科批,559,6214,
深圳技术大学,陕西,历史类,2025,本科批,559,6214,12
西南石油大学,陕西,历史类,2025,本科批,559,6214,
中国民航大学,陕西,历史类,2025,本科批,558,6357,
中国刑事警察学院,陕西,历史类,2025,本科提前批,558,6357,14
华中师范大学,陕西,历史类,2025,高校专项计划批,558,6357,
石河子大学,陕西,历史类,2025,本科批,557,6513,11
