院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
清华大学,山东,综合,2025,普通类一段,685,155,
北京大学,山东,综合,2025,普通类一段,684,178,
中国科学院大学,山东,综合,2025,普通类一段,677,442,
中国科学技术大学,山东,综合,2025,普通类一段,672,730,
北京大学医学部,山东,综合,2025,普通类一段,670,890,
复旦大学,山东,综合,2025,普通类一段,670,890,
上海交通大学医学院,山东,综合,2025,普通类一段,665,1361,
中国人民大学,山东,综合,2025,普通类一段,665,1361,
复旦大学上海医学院,山东,综合,2025,普通类一段,663,1593,
浙江大学医学院,山东,综合,2025,普通类一段,661,1842,
上海交通大学,山东,综合,2025,普通类一段,654,2884,
南开大学,山东,综合,2025,普通类一段,648,4005,
南方科技大学,山东,综合,2025,普通类一段,647,4091,
武汉大学,山东,综合,2025,普通类一段,647,4203,
华东师范大学,山东,综合,2025,提前批B类,645,4673,
北京航空航天大学,山东,综合,2025,普通类一段,645,4673,
浙江大学,山东,综合,2025,普通类一段,645,4628,
同济大学,山东,综合,2025,普通类一段,643,5082,
东南大学,山东,综合,2025,普通类一段,642,5145,
中国人民解放军国防科技大学,山东,综合,2025,普通类一段,640,5901,
西安交通大学,山东,综合,2025,提前批B类,637,6730,
南京大学,山东,综合,2025,普通类一段,637,6730,
中山大学,山东,综合,2025,普通类一段,635,7219,
天津大学,山东,综合,2025,普通类一段,633,7943,
华东师范大学,山东,综合,2025,普通类一段,628,9751,
北京理工大学,山东,综合,2025,普通类一段,627,10176,
华南理工大学,山东,综合,2025,普通类一段,627,10176,
北京师范大学,山东,综合,2025,普通类一段,623,11839,
哈尔滨工业大学,山东,综合,2025,特殊类型批,621,12753,
上海财经大学,山东,综合,2025,普通类一段,619,13265,
南京理工大学,山东,综合,2025,普通类一段,617,14643,
中国社会科学院大学,山东,综合,2025,普通类一段,614,16247,
中国人民公安大学,山东,综合,2025,提前批A类,613,16797,
西北工业大学,山东,综合,2025,普通类一段,612,17358,
上海外国语大学,山东,综合,2025,普通类一段,611,17940,
中国政法大学,山东,综合,2025,普通类一段,611,17940,
华中师范大学,山东,综合,2025,提前批B类,610,18530,
华中科技大学,山东,综合,2025,普通类一段,610,18530,
华东政法大学,山东,综合,2025,普通类一段,609,19132,
中央财经大学,山东,综合,2025,普通类一段,608,19752,
北京科技大学,山东,综合,2025,普通类一段,607,20341,
重庆大学,山东,综合,2025,普通类一段,607,20341,
兰州大学,山东,综合,2025,普通类一段,605,21660,
哈尔滨工业大学,山东,综合,2025,普通类一段,605,21660,
大连理工大学,山东,综合,2025,普通类一段,603,23010,
上海中医药大学,山东,综合,2025,普通类一段,602,23663,
北京邮电大学,山东,综合,2025,普通类一段,602,23663,
华东理工大学,山东,综合,2025,普通类一段,600,25061,
北京外国语大学,山东,综合,2025,普通类一段,596,27977,
南京邮电大学,山东,综合,2025,普通类一段,596,27585,
西安交通大学,山东,综合,2025,普通类一段,596,27977,
东华大学,山东,综合,2025,普通类一段,595,28704,
北京化工大学,山东,综合,2025,特殊类型批,594,29549,
东北大学,山东,综合,2025,普通类一段,593,30395,
中国石油大学(北京),山东,综合,2025,普通类一段,593,30395,
中国石油大学(华东),山东,综合,2025,普通类一段,593,30031,
华中师范大学,山东,综合,2025,普通类一段,593,29549,
南京航空航天大学,山东,综合,2025,普通类一段,593,30395,
吉林大学,山东,综合,2025,普通类一段,593,30221,
四川大学,山东,综合,2025,普通类一段,591,32123,
华东理工大学,山东,综合,2025,特殊类型批,590,32966,
北京协和医学院,山东,综合,2025,普通类一段,589,33835,
南京师范大学,山东,综合,2025,普通类一段,588,34716,
厦门大学,山东,综合,2025,普通类一段,588,34716,
对外经济贸易大学,山东,综合,2025,普通类一段,588,34716,
电子科技大学,山东,综合,2025,普通类一段,588,34716,
华北电力大学,山东,综合,2025,普通类一段,586,36510,
天津医科大学,山东,综合,2025,普通类一段,586,35732,
苏州大学,山东,综合,2025,普通类一段,586,36510,
上海海关学院,山东,综合,2025,普通类一段,585,37499,
东北大学秦皇岛分校,山东,综合,2025,普通类一段,585,37499,
中南大学,山东,综合,2025,普通类一段,585,37499,
中国地质大学(北京),山东,综合,2025,普通类一段,585,37499,
西安电子科技大学,山东,综合,2025,普通类一段,585,37499,
首都师范大学,山东,综合,2025,普通类一段,585,37499,
安徽师范大学,山东,综合,2025,提前批B类,584,38477,
北京工业大学,山东,综合,2025,普通类一段,584,38477,
中国海洋大学,山东,综合,2025,普通类一段,582,40556,
北京舞蹈学院,山东,综合,2025,普通类一段,582,40477,
合肥工业大学,山东,综合,2025,普通类一段,582,40544,
西南政法大学,山东,综合,2025,普通类一段,582,39980,
康复大学,山东,综合,2025,普通类二段,582,39797,
华南师范大学,山东,综合,2025,普通类一段,581,41571,
暨南大学,山东,综合,2025,普通类一段,581,41571,
西北大学,山东,综合,2025,普通类一段,581,41571,
中国农业大学,山东,综合,2025,普通类二段,581,41446,
中央民族大学,山东,综合,2025,普通类一段,580,42645,
山东大学,山东,综合,2025,普通类一段,580,42645,
西南财经大学,山东,综合,2025,普通类一段,580,42645,
北京电影学院,山东,综合,2025,普通类一段,579,43708,
南京农业大学,山东,综合,2025,普通类一段,579,42705,
华东师范大学,山东,综合,2025,特殊类型批,579,43708,
滨州医学院,山东,综合,2025,提前批B类,578,44745,
上海大学,山东,综合,2025,普通类一段,578,44745,
中国民航大学,山东,综合,2025,普通类一段,578,44745,
中国药科大学,山东,综合,2025,普通类一段,578,44745,
杭州电子科技大学,山东,综合,2025,普通类一段,578,44745,
曲阜师范大学,山东,综合,2025,提前批B类,577,45839,
上海电力大学,山东,综合,2025,普通类一段,577,45839,
中国农业大学,山东,综合,2025,普通类一段,577,45839,
海军军医大学,山东,综合,2025,普通类一段,577,45839,
南京师范大学,山东,综合,2025,特殊类型批,577,45839,
中国人民解放军空军军医大学,山东,综合,2025,普通类一段,576,46983,
北京林业大学,山东,综合,2025,特殊类型批,576,46983,
中国传媒大学,山东,综合,2025,普通类一段,575,48195,
北京化工大学,山东,综合,2025,普通类一段,575,48195,
南方医科大学,山东,综合,2025,普通类一段,575,48195,
武汉理工大学,山东,综合,2025,普通类一段,575,48195,
首都医科大学,山东,综合,2025,普通类一段,575,48195,
上海海事大学,山东,综合,2025,普通类一段,574,49311,
太原理工大学,山东,综合,2025,普通类一段,574,49311,
安徽大学,山东,综合,2025,普通类一段,574,49311,
黑龙江大学,山东,综合,2025,普通类二段,574,49049,
聊城大学,山东,综合,2025,提前批B类,573,50515,
鲁东大学,山东,综合,2025,提前批B类,573,50515,
中央戏剧学院,山东,综合,2025,普通类一段,573,50515,
江南大学,山东,综合,2025,普通类一段,573,50515,
河海大学,山东,综合,2025,普通类一段,573,50515,
南京理工大学,山东,综合,2025,特殊类型批,573,48195,
临沂大学,山东,综合,2025,提前批B类,572,51672,
上海音乐学院,山东,综合,2025,普通类一段,572,51426,
北京交通大学,山东,综合,2025,普通类一段,572,51672,
南京信息工程大学,山东,综合,2025,普通类一段,572,51672,
上海对外经贸大学,山东,综合,2025,普通类一段,571,52899,
北京第二外国语学院,山东,综合,2025,普通类一段,571,52899,
哈尔滨工程大学,山东,综合,2025,普通类一段,571,52899,
河北工业大学,山东,综合,2025,普通类一段,571,52899,
深圳大学,山东,综合,2025,普通类一段,571,52899,
深圳技术大学,山东,综合,2025,普通类一段,571,52899,
湖南师范大学,山东,综合,2025,普通类一段,571,52899,
西北农林科技大学,山东,综合,2025,普通类一段,571,52899,
郑州大学,山东,综合,2025,普通类一段,571,52899,
中南财经政法大学,山东,综合,2025,普通类一段,570,54127,
北京中医药大学,山东,综合,2025,普通类一段,570,54127,
南昌大学,山东,综合,2025,普通类一段,570,54127,
上海体育大学,山东,综合,2025,普通类一段,569,55342,
西交利物浦大学,山东,综合,2025,普通类一段,569,54292,
西安外国语大学,山东,综合,2025,普通类一段,569,54265,
中国美术学院,山东,综合,2025,普通类一段,568,56598,
福州大学,山东,综合,2025,普通类一段,568,55560,
中国刑事警察学院,山东,综合,2025,提前批A类,567,57862,
中国地质大学(武汉),山东,综合,2025,普通类一段,567,57862,
中国石油大学(北京)克拉玛依校区,山东,综合,2025,普通类一段,567,57862,
中国计量大学,山东,综合,2025,普通类一段,567,57862,
江苏大学,山东,综合,2025,普通类一段,567,57862,
辽宁大学,山东,综合,2025,普通类一段,567,57862,
陕西师范大学,山东,综合,2025,普通类一段,567,57862,
南宁师范大学,山东,综合,2025,普通类二段,567,57811,
南京医科大学,山东,综合,2025,普通类一段,566,59152,
广州大学,山东,综合,2025,普通类一段,566,59152,
广东外语外贸大学,山东,综合,2025,普通类一段,564,60970,
成都医学院,山东,综合,2025,普通类一段,564,60726,
中南民族大学,山东,综合,2025,普通类二段,564,60944,
上海戏剧学院,山东,综合,2025,普通类一段,563,63106,
吉首大学,山东,综合,2025,普通类二段,563,62062,
北京中医药大学,山东,综合,2025,特殊类型批,563,63106,
中央美术学院,山东,综合,2025,普通类一段,562,64571,
四川农业大学,山东,综合,2025,普通类一段,562,64571,
宁波诺丁汉大学,山东,综合,2025,普通类一段,562,64571,
广州中医药大学,山东,综合,2025,普通类一段,562,64571,
湖南大学,山东,综合,2025,普通类一段,562,64571,
西南交通大学,山东,综合,2025,普通类一段,562,64571,
康复大学,山东,综合,2025,普通类一段,561,65979,
长安大学,山东,综合,2025,普通类一段,560,67397,
首都经济贸易大学,山东,综合,2025,普通类一段,560,67397,
重庆邮电大学,山东,综合,2025,普通类一段,559,68893,
上海海洋大学,山东,综合,2025,普通类一段,558,70316,
东北师范大学,山东,综合,2025,普通类一段,558,70316,
天津中医药大学,山东,综合,2025,普通类一段,558,70316,
