院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
北京大学,上海,综合,2025,零志愿批,621,75,28
北京大学医学部,上海,综合,2025,零志愿批,621,75,1
清华大学,上海,综合,2025,零志愿批,594,1939,33
复旦大学,上海,综合,2025,本科批,580,4096,139
上海交通大学,上海,综合,2025,本科批,580,4096,138
复旦大学医学院,上海,综合,2025,本科批,580,4096,36
中国人民大学,上海,综合,2025,本科批,580,4096,11
北京理工大学,上海,综合,2025,本科批,580,4096,36
南开大学,上海,综合,2025,本科批,580,4096,17
东南大学,上海,综合,2025,本科批,580,4096,47
浙江大学,上海,综合,2025,本科批,580,4096,23
浙江大学医学院,上海,综合,2025,本科批,580,4096,8
中国科学技术大学,上海,综合,2025,本科批,580,4096,11
华中科技大学,上海,综合,2025,本科批,580,4096,49
华南理工大学,上海,综合,2025,本科批,580,4096,9
电子科技大学,上海,综合,2025,本科批,580,4096,10
复旦大学,上海,综合,2025,本科提前批,580,4096,8
中国人民大学,上海,综合,2025,本科提前批,580,4096,3
浙江大学,上海,综合,2025,本科提前批,580,4096,8
上海科技大学,上海,综合,2025,本科提前批,580,,217
香港科技大学(广州),上海,综合,2025,本科提前批,580,4096,10
香港中文大学,上海,综合,2025,本科提前批,580,4096,18
上海交通大学,上海,综合,2025,综合评价,580,4096,620
上海交通大学医学院,上海,综合,2025,综合评价,580,4096,90
同济大学,上海,综合,2025,综合评价,580,4096,240
复旦大学医学院,上海,综合,2025,综合评价,580,4096,70
浙江大学,上海,综合,2025,综合评价,580,4096,10
北京航空航天大学,上海,综合,2025,本科批,579,4285,24
华东师范大学,上海,综合,2025,综合评价,579,4096,141
南京大学,上海,综合,2025,本科批,578,4467,54
中山大学,上海,综合,2025,本科批,578,4467,39
武汉大学,上海,综合,2025,本科提前批,578,4467,2
北京师范大学,上海,综合,2025,本科提前批,578,4467,2
上海交通大学医学院,上海,综合,2025,本科批,577,4649,121
北京师范大学,上海,综合,2025,本科批,577,4649,8
大连理工大学,上海,综合,2025,本科批,577,4649,9
天津大学,上海,综合,2025,本科批,576,4823,45
南方科技大学,上海,综合,2025,本科提前批,576,4823,20
华东师范大学,上海,综合,2025,本科批,575,5016,240
东北大学,上海,综合,2025,本科批,575,4823,8
武汉大学,上海,综合,2025,本科批,575,5016,56
中南大学,上海,综合,2025,本科批,575,5016,14
同济大学,上海,综合,2025,本科提前批,575,5016,8
香港中文大学(深圳),上海,综合,2025,本科提前批,575,5016,83
华东师范大学,上海,综合,2025,本科提前批,574,5214,156
上海财经大学,上海,综合,2025,综合评价,574,5214,100
上海财经大学,上海,综合,2025,本科批,573,5410,319
西北工业大学,上海,综合,2025,本科批,573,5410,36
北京电子科技学院,上海,综合,2025,本科提前批,573,5410,3
哈尔滨工业大学,上海,综合,2025,本科批,572,5610,24
西安交通大学,上海,综合,2025,本科批,572,5610,36
空军工程大学,上海,综合,2025,本科提前批,572,5610,3
上海中医药大学,上海,综合,2025,综合评价,572,5610,23
四川大学,上海,综合,2025,本科批,570,6004,34
中国政法大学,上海,综合,2025,本科批,569,6182,26
湖南大学,上海,综合,2025,本科批,569,6182,31
中央财经大学,上海,综合,2025,本科批,568,6379,32
上海海关学院,上海,综合,2025,本科提前批,568,6379,25
国防科技大学,上海,综合,2025,本科提前批,568,6379,5
北京邮电大学,上海,综合,2025,本科批,567,6602,40
北京中医药大学,上海,综合,2025,本科批,567,6602,5
对外经济贸易大学,上海,综合,2025,本科批,567,6602,25
山东大学,上海,综合,2025,本科批,567,6602,29
山东大学威海分校,上海,综合,2025,本科批,567,6602,10
北京外国语大学,上海,综合,2025,本科批,566,6814,7
南京航空航天大学,上海,综合,2025,本科批,566,6814,30
香港城市大学(东莞),上海,综合,2025,本科批,566,6814,5
西安电子科技大学,上海,综合,2025,本科批,566,6814,12
上海大学,上海,综合,2025,综合评价,566,6814,80
上海外国语大学,上海,综合,2025,本科批,565,7040,132
厦门大学,上海,综合,2025,本科批,564,7257,32
华南理工大学,上海,综合,2025,本科提前批,563,7447,16
上海外国语大学,上海,综合,2025,综合评价,563,7447,80
北京科技大学,上海,综合,2025,本科批,562,7663,14
天津医科大学,上海,综合,2025,本科批,561,7891,5
吉林大学,上海,综合,2025,本科批,561,7891,26
南京邮电大学,上海,综合,2025,本科批,559,8336,14
北京交通大学,上海,综合,2025,本科批,558,8579,16
华东理工大学,上海,综合,2025,综合评价,558,8579,174
上海外国语大学,上海,综合,2025,本科提前批,556,9039,73
中国海洋大学,上海,综合,2025,本科批,555,9302,24
东华大学,上海,综合,2025,综合评价,555,9302,82
北京工业大学,上海,综合,2025,本科批,554,9550,15
香港城市大学,上海,综合,2025,本科提前批,554,9550,21
中国药科大学,上海,综合,2025,本科批,553,9779,20
苏州大学,上海,综合,2025,本科批,553,9779,33
兰州大学,上海,综合,2025,本科批,552,10002,36
中南财经政法大学,上海,综合,2025,本科批,551,10254,18
同济大学,上海,综合,2025,本科批,550,10506,258
北京化工大学,上海,综合,2025,本科批,550,10506,34
对外经济贸易大学,上海,综合,2025,本科提前批,550,10506,3
中国农业大学,上海,综合,2025,本科批,549,10761,19
北京外国语大学,上海,综合,2025,本科提前批,549,10761,3
华东理工大学,上海,综合,2025,本科批,548,11041,603
南京师范大学,上海,综合,2025,本科批,548,10506,13
西交利物浦大学,上海,综合,2025,本科批,547,11041,63
中国传媒大学,上海,综合,2025,本科提前批,547,11041,6
