分数,位次,省份,年份,科类
623,52,上海,2025,综合
622,64,上海,2025,综合
621,75,上海,2025,综合
620,95,上海,2025,综合
619,119,上海,2025,综合
618,137,上海,2025,综合
617,171,上海,2025,综合
616,203,上海,2025,综合
615,236,上海,2025,综合
614,272,上海,2025,综合
613,322,上海,2025,综合
612,365,上海,2025,综合
611,399,上海,2025,综合
610,460,上海,2025,综合
609,537,上海,2025,综合
608,600,上海,2025,综合
607,656,上海,2025,综合
606,726,上海,2025,综合
605,789,上海,2025,综合
604,878,上海,2025,综合
603,952,上海,2025,综合
602,1048,上海,2025,综合
601,1146,上海,2025,综合
600,1250,上海,2025,综合
599,1346,上海,2025,综合
598,1465,上海,2025,综合
597,1566,上海,2025,综合
596,1671,上海,2025,综合
595,1795,上海,2025,综合
594,1939,上海,2025,综合
593,2093,上海,2025,综合
592,2237,上海,2025,综合
591,2371,上海,2025,综合
590,2503,上海,2025,综合
589,2641,上海,2025,综合
588,2789,上海,2025,综合
587,2946,上海,2025,综合
586,3078,上海,2025,综合
585,3231,上海,2025,综合
584,3396,上海,2025,综合
583,3567,上海,2025,综合
582,3757,上海,2025,综合
581,3934,上海,2025,综合
580,4096,上海,2025,综合
579,4285,上海,2025,综合
578,4467,上海,2025,综合
577,4649,上海,2025,综合
576,4823,上海,2025,综合
575,5016,上海,2025,综合
574,5214,上海,2025,综合
573,5410,上海,2025,综合
572,5610,上海,2025,综合
571,5815,上海,2025,综合
570,6004,上海,2025,综合
569,6182,上海,2025,综合
568,6379,上海,2025,综合
567,6602,上海,2025,综合
566,6814,上海,2025,综合
565,7040,上海,2025,综合
564,7257,上海,2025,综合
563,7447,上海,2025,综合
562,7663,上海,2025,综合
561,7891,上海,2025,综合
560,8117,上海,2025,综合
559,8336,上海,2025,综合
558,8579,上海,2025,综合
557,8824,上海,2025,综合
556,9039,上海,2025,综合
555,9302,上海,2025,综合
554,9550,上海,2025,综合
553,9779,上海,2025,综合
552,10002,上海,2025,综合
551,10254,上海,2025,综合
550,10506,上海,2025,综合
549,10761,上海,2025,综合
548,11041,上海,2025,综合
547,11283,上海,2025,综合
546,11525,上海,2025,综合
545,11777,上海,2025,综合
544,12020,上海,2025,综合
543,12291,上海,2025,综合
542,12532,上海,2025,综合
541,12796,上海,2025,综合
540,13049,上海,2025,综合
539,13322,上海,2025,综合
538,13615,上海,2025,综合
537,13876,上海,2025,综合
536,14128,上海,2025,综合
535,14414,上海,2025,综合
534,14696,上海,2025,综合
533,14978,上海,2025,综合
532,15236,上海,2025,综合
531,15514,上海,2025,综合
530,15808,上海,2025,综合
529,16109,上海,2025,综合
528,16393,上海,2025,综合
527,16655,上海,2025,综合
526,16940,上海,2025,综合
525,17222,上海,2025,综合
524,17497,上海,2025,综合
523,17799,上海,2025,综合
522,18065,上海,2025,综合
521,18317,上海,2025,综合
520,18580,上海,2025,综合
519,18844,上海,2025,综合
518,19117,上海,2025,综合
517,19421,上海,2025,综合
516,19710,上海,2025,综合
515,19985,上海,2025,综合
514,20273,上海,2025,综合
513,20546,上海,2025,综合
512,20807,上海,2025,综合
511,21070,上海,2025,综合
510,21367,上海,2025,综合
509,21654,上海,2025,综合
508,21944,上海,2025,综合
507,22221,上海,2025,综合
506,22512,上海,2025,综合
505,22797,上海,2025,综合
504,23089,上海,2025,综合
503,23377,上海,2025,综合
502,23673,上海,2025,综合
501,23963,上海,2025,综合
500,24251,上海,2025,综合
499,24524,上海,2025,综合
498,24798,上海,2025,综合
497,25079,上海,2025,综合
496,25365,上海,2025,综合
495,25620,上海,2025,综合
494,25917,上海,2025,综合
493,26212,上海,2025,综合
492,26498,上海,2025,综合
491,26773,上海,2025,综合
490,27085,上海,2025,综合
489,27375,上海,2025,综合
488,27683,上海,2025,综合
487,27962,上海,2025,综合
486,28229,上海,2025,综合
485,28531,上海,2025,综合
484,28826,上海,2025,综合
483,29108,上海,2025,综合
