院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
西安交通大学,四川,历史类,2025,本科提前批B段,635,723,
西安交通大学,四川,历史类,2025,本科批B段,633,828,
对外经济贸易大学,四川,历史类,2025,本科批B段,630,1017,30
华东师范大学,四川,历史类,2025,本科批B段,621,1740,
上海财经大学,四川,历史类,2025,本科批B段,620,1865,
华东师范大学,四川,历史类,2025,本科批A段（国家专项）,618,2074,
中南大学,四川,历史类,2025,本科批B段,617,2198,26
中央财经大学,四川,历史类,2025,本科批B段,616,2301,
中国人民公安大学,四川,历史类,2025,本科批B段,615,2301,
北京邮电大学,四川,历史类,2025,本科批B段,615,2397,13
上海财经大学,四川,历史类,2025,本科批A段（国家专项）,614,2521,
华东师范大学,四川,历史类,2025,本科提前批B段,612,2788,
吉林大学,四川,历史类,2025,本科批B段,610,3048,29
中国石油大学(北京),四川,历史类,2025,本科批B段,610,3048,
北京外国语大学,四川,历史类,2025,本科批B段,610,3048,
南京师范大学,四川,历史类,2025,本科批B段,609,3048,
华中师范大学,四川,历史类,2025,本科批B段,609,3190,
兰州大学,四川,历史类,2025,本科批B段,609,3190,21
北京科技大学,四川,历史类,2025,本科批B段,608,3335,16
深圳大学,四川,历史类,2025,本科批B段,607,3498,20
中国消防救援学院,四川,历史类,2025,本科提前批A段,607,3498,
北京中医药大学,四川,历史类,2025,本科批B段,606,3628,
北京化工大学,四川,历史类,2025,本科批B段,606,3628,
华中师范大学,四川,历史类,2025,本科提前批B段,606,3628,
北京林业大学,四川,历史类,2025,本科批B段,605,3772,
华东理工大学,四川,历史类,2025,本科批B段,604,3924,
中央民族大学,四川,历史类,2025,本科批B段,604,3924,
大连海事大学,四川,历史类,2025,本科批B段,604,3924,
江南大学,四川,历史类,2025,本科批B段,604,3924,22
山东大学,四川,历史类,2025,本科批B段,604,3924,70
中国地质大学(武汉),四川,历史类,2025,本科批B段,604,3924,
中国地质大学(北京),四川,历史类,2025,本科批B段,604,3924,
华东师范大学,四川,历史类,2025,本科批（高校专项）,603,4075,
中国石油大学(华东),四川,历史类,2025,本科批B段,602,4250,
华东理工大学,四川,历史类,2025,本科批A段（国家专项）,601,4408,
华中师范大学,四川,历史类,2025,本科批A段（国家专项）,601,4408,
南京理工大学,四川,历史类,2025,本科批B段,600,4584,
中国传媒大学,四川,历史类,2025,本科批B段,599,4765,
南京师范大学,四川,历史类,2025,本科批A段（国家专项）,598,4956,
首都经济贸易大学,四川,历史类,2025,本科批B段,598,4956,
中国海洋大学,四川,历史类,2025,本科批B段,597,5148,
武汉理工大学,四川,历史类,2025,本科批B段,597,5148,
