分数,位次,省份,年份,科类
664,30,四川,2025,历史类
663,37,四川,2025,历史类
662,40,四川,2025,历史类
661,44,四川,2025,历史类
660,56,四川,2025,历史类
659,64,四川,2025,历史类
658,76,四川,2025,历史类
657,82,四川,2025,历史类
656,92,四川,2025,历史类
655,105,四川,2025,历史类
654,118,四川,2025,历史类
653,136,四川,2025,历史类
652,154,四川,2025,历史类
651,167,四川,2025,历史类
650,187,四川,2025,历史类
649,214,四川,2025,历史类
648,240,四川,2025,历史类
647,262,四川,2025,历史类
646,292,四川,2025,历史类
645,316,四川,2025,历史类
644,347,四川,2025,历史类
643,384,四川,2025,历史类
642,415,四川,2025,历史类
641,452,四川,2025,历史类
640,498,四川,2025,历史类
639,538,四川,2025,历史类
638,580,四川,2025,历史类
637,613,四川,2025,历史类
636,664,四川,2025,历史类
635,723,四川,2025,历史类
634,771,四川,2025,历史类
633,828,四川,2025,历史类
632,873,四川,2025,历史类
631,942,四川,2025,历史类
630,1017,四川,2025,历史类
629,1085,四川,2025,历史类
628,1146,四川,2025,历史类
627,1219,四川,2025,历史类
626,1301,四川,2025,历史类
625,1384,四川,2025,历史类
624,1460,四川,2025,历史类
623,1547,四川,2025,历史类
622,1629,四川,2025,历史类
621,1740,四川,2025,历史类
620,1865,四川,2025,历史类
619,1966,四川,2025,历史类
618,2074,四川,2025,历史类
617,2198,四川,2025,历史类
616,2301,四川,2025,历史类
615,2397,四川,2025,历史类
614,2521,四川,2025,历史类
613,2658,四川,2025,历史类
612,2788,四川,2025,历史类
611,2912,四川,2025,历史类
610,3048,四川,2025,历史类
609,3190,四川,2025,历史类
608,3335,四川,2025,历史类
607,3498,四川,2025,历史类
606,3628,四川,2025,历史类
605,3772,四川,2025,历史类
604,3924,四川,2025,历史类
603,4075,四川,2025,历史类
602,4250,四川,2025,历史类
601,4408,四川,2025,历史类
600,4584,四川,2025,历史类
599,4765,四川,2025,历史类
598,4956,四川,2025,历史类
597,5148,四川,2025,历史类
596,5355,四川,2025,历史类
595,5545,四川,2025,历史类
594,5735,四川,2025,历史类
593,5925,四川,2025,历史类
592,6142,四川,2025,历史类
591,6365,四川,2025,历史类
590,6591,四川,2025,历史类
589,6830,四川,2025,历史类
588,7098,四川,2025,历史类
587,7312,四川,2025,历史类
586,7556,四川,2025,历史类
585,7828,四川,2025,历史类
584,8073,四川,2025,历史类
583,8332,四川,2025,历史类
582,8603,四川,2025,历史类
581,8874,四川,2025,历史类
580,9150,四川,2025,历史类
579,9420,四川,2025,历史类
578,9693,四川,2025,历史类
577,10008,四川,2025,历史类
576,10296,四川,2025,历史类
575,10596,四川,2025,历史类
574,10880,四川,2025,历史类
573,11180,四川,2025,历史类
572,11496,四川,2025,历史类
571,11819,四川,2025,历史类
570,12147,四川,2025,历史类
569,12520,四川,2025,历史类
568,12900,四川,2025,历史类
567,13238,四川,2025,历史类
566,13582,四川,2025,历史类
565,13960,四川,2025,历史类
564,14328,四川,2025,历史类
563,14706,四川,2025,历史类
562,15119,四川,2025,历史类
561,15499,四川,2025,历史类
560,15902,四川,2025,历史类
559,16279,四川,2025,历史类
558,16718,四川,2025,历史类
557,17142,四川,2025,历史类
556,17556,四川,2025,历史类
555,17967,四川,2025,历史类
554,18375,四川,2025,历史类
553,18797,四川,2025,历史类
552,19276,四川,2025,历史类
551,19685,四川,2025,历史类
550,20096,四川,2025,历史类
549,20526,四川,2025,历史类
548,20967,四川,2025,历史类
547,21412,四川,2025,历史类
546,21880,四川,2025,历史类
545,22376,四川,2025,历史类
544,22838,四川,2025,历史类
543,23302,四川,2025,历史类
542,23750,四川,2025,历史类
541,24236,四川,2025,历史类
540,24731,四川,2025,历史类
539,25206,四川,2025,历史类
538,25709,四川,2025,历史类
537,26218,四川,2025,历史类
536,26727,四川,2025,历史类
535,27268,四川,2025,历史类
534,27829,四川,2025,历史类
533,28339,四川,2025,历史类
532,28838,四川,2025,历史类
531,29369,四川,2025,历史类
530,29871,四川,2025,历史类
529,30453,四川,2025,历史类
528,31015,四川,2025,历史类
527,31573,四川,2025,历史类
526,32116,四川,2025,历史类
525,32698,四川,2025,历史类
524,33264,四川,2025,历史类
523,33891,四川,2025,历史类
522,34457,四川,2025,历史类
521,35017,四川,2025,历史类
520,35652,四川,2025,历史类
519,36221,四川,2025,历史类
518,36792,四川,2025,历史类
517,37405,四川,2025,历史类
516,37999,四川,2025,历史类
515,38597,四川,2025,历史类
514,39198,四川,2025,历史类
