院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
北京大学医学部,天津,综合,2025,本科批A段,672,1151,
华东师范大学,天津,综合,2025,本科批A段,648,3695,
上海财经大学,天津,综合,2025,本科批A段,645,4135,
上海中医药大学,天津,综合,2025,本科批A段,643,4451,
中央财经大学,天津,综合,2025,本科批A段,643,4451,
西安交通大学,天津,综合,2025,本科批A段,641,4777,
大连医科大学,天津,综合,2025,本科批A段,640,4928,
山东大学,天津,综合,2025,本科批A段,639,5080,97
中南大学,天津,综合,2025,本科批A段,636,5535,85
对外经济贸易大学,天津,综合,2025,本科批A段,636,5535,22
吉林大学,天津,综合,2025,本科批A段,636,5535,106
北京邮电大学,天津,综合,2025,本科批A段,631,6375,124
北京科技大学,天津,综合,2025,本科批A段,631,6375,78
南京邮电大学,天津,综合,2025,本科批A段,630,6564,46
北京外国语大学,天津,综合,2025,本科批A段,630,6564,
华中师范大学,天津,综合,2025,本科提前批A段,630,6564,
兰州大学,天津,综合,2025,本科批A段,629,6772,87
中国海洋大学,天津,综合,2025,本科批A段,628,6950,
华东理工大学,天津,综合,2025,本科批A段,628,6950,
北京工业大学,天津,综合,2025,本科批A段,628,6950,
中国石油大学(华东),天津,综合,2025,本科批A段,627,7161,
深圳大学,天津,综合,2025,本科批A段,626,7354,10
中国石油大学(北京),天津,综合,2025,本科批A段,625,7531,
安徽医科大学,天津,综合,2025,本科批A段,623,7919,6
北京中医药大学,天津,综合,2025,本科批A段,622,8141,
西北政法大学,天津,综合,2025,本科批A段,622,8141,
武汉理工大学,天津,综合,2025,本科批A段,621,8339,
中央民族大学,天津,综合,2025,本科批A段,620,8532,
上海政法学院,天津,综合,2025,本科批A段,619,8745,
中国地质大学(北京),天津,综合,2025,本科批A段,619,8745,
南京理工大学,天津,综合,2025,本科批A段,619,8532,
上海戏剧学院,天津,综合,2025,本科批A段,617,9165,
广西大学,天津,综合,2025,本科批A段,617,9165,
北京化工大学,天津,综合,2025,本科批A段,617,9165,
南京师范大学,天津,综合,2025,本科批A段,617,9165,
中央美术学院,天津,综合,2025,本科批A段,616,9379,
东北师范大学,天津,综合,2025,本科批A段,614,9791,
江南大学,天津,综合,2025,本科批A段,610,10681,125
中国计量大学,天津,综合,2025,本科批A段,609,10891,15
中国石油大学(北京)克拉玛依校区,天津,综合,2025,本科批A段,609,10891,
中国传媒大学,天津,综合,2025,本科批A段,607,11344,
中国消防救援学院,天津,综合,2025,本科提前批A段,606,11588,
首都经济贸易大学,天津,综合,2025,本科批A段,605,11793,
上海理工大学,天津,综合,2025,本科批A段,604,12046,
首都医科大学,天津,综合,2025,本科批A段,604,12046,
西南医科大学,天津,综合,2025,本科批A段,603,11793,
大连海事大学,天津,综合,2025,本科批A段,603,12295,
桂林电子科技大学,天津,综合,2025,本科批A段,603,12295,
中国地质大学(武汉),天津,综合,2025,本科批A段,602,12510,
华中师范大学,天津,综合,2025,本科批A段,602,12510,
中国民航大学,天津,综合,2025,本科批A段,601,12738,
中央戏剧学院,天津,综合,2025,本科批A段,601,12738,
浙江工业大学,天津,综合,2025,本科批A段,600,12965,30
宁波大学,天津,综合,2025,本科批A段,600,12965,
上海海事大学,天津,综合,2025,本科批A段,599,13198,
西交利物浦大学,天津,综合,2025,本科批A段,599,13198,294
北京林业大学,天津,综合,2025,本科批A段,599,13198,
宁夏大学,天津,综合,2025,本科批A段,599,13198,
西南石油大学,天津,综合,2025,本科批A段,597,13657,
上海海事大学,天津,综合,2025,本科提前批A段,597,13657,
上海对外经贸大学,天津,综合,2025,本科批A段,596,13904,
上海体育大学,天津,综合,2025,本科批A段,596,13904,
武汉科技大学,天津,综合,2025,本科批A段,596,13904,
内蒙古大学,天津,综合,2025,本科批A段,596,13904,16
青海大学,天津,综合,2025,本科批A段,596,13657,
温州大学,天津,综合,2025,本科批A段,595,14133,
延边大学,天津,综合,2025,本科批A段,593,14616,
湖北大学,天津,综合,2025,本科批A段,593,14616,
云南警官学院,天津,综合,2025,本科提前批A段,592,14879,
贵州大学,天津,综合,2025,本科批A段,591,15122,
重庆工商大学,天津,综合,2025,本科批A段,590,15350,
南京信息工程大学,天津,综合,2025,本科批A段,590,15350,79
扬州大学,天津,综合,2025,本科批A段,589,15580,22
东北林业大学,天津,综合,2025,本科批A段,589,15580,
上海海洋大学,天津,综合,2025,本科批A段,587,16053,
上海立信会计金融学院,天津,综合,2025,本科批A段,587,16053,
湘潭大学,天津,综合,2025,本科批A段,586,16306,40
温州医科大学,天津,综合,2025,本科批A段,583,17050,
新疆大学,天津,综合,2025,本科批A段,583,16523,
华南农业大学,天津,综合,2025,本科批A段,583,17050,10
浙江理工大学,天津,综合,2025,本科批A段,582,17292,
滨州医学院,天津,综合,2025,本科批A段,581,17539,
广东工业大学,天津,综合,2025,本科批A段,580,17773,12
江苏大学,天津,综合,2025,本科批A段,580,17773,103
南方医科大学,天津,综合,2025,本科批A段,580,17773,
北京建筑大学,天津,综合,2025,本科批A段,579,18022,
海南大学,天津,综合,2025,本科批A段,578,18257,
湖北医药学院,天津,综合,2025,本科批A段,578,18257,
北京物资学院,天津,综合,2025,本科批A段,578,18257,
西南民族大学,天津,综合,2025,本科批A段,577,18022,12
浙江中医药大学,天津,综合,2025,本科批A段,577,18537,12
安徽财经大学,天津,综合,2025,本科批A段,577,18537,10
北京体育大学,天津,综合,2025,本科批A段,577,18537,
河南大学,天津,综合,2025,本科批A段,576,18798,
沈阳航空航天大学,天津,综合,2025,本科批A段,574,19332,
浙江工商大学,天津,综合,2025,本科批A段,573,19601,15
重庆理工大学,天津,综合,2025,本科批A段,573,18798,10
重庆医科大学,天津,综合,2025,本科批A段,573,19601,
浙江传媒学院,天津,综合,2025,本科批A段,570,20413,
中国民航大学,天津,综合,2025,本科提前批A段,569,20688,
杭州师范大学,天津,综合,2025,本科批A段,568,20940,25
北京工商大学,天津,综合,2025,本科批A段,568,20940,26
辽宁中医药大学,天津,综合,2025,本科批A段,568,20940,
天津工业大学,天津,综合,2025,本科批A段,567,21240,1263
成都中医药大学,天津,综合,2025,本科批A段,566,21500,
石家庄铁道大学,天津,综合,2025,本科批A段,565,21754,
哈尔滨医科大学,天津,综合,2025,本科批A段,564,22032,44
华侨大学,天津,综合,2025,本科批A段,563,22282,
嘉兴大学,天津,综合,2025,本科批A段,563,22282,
山东财经大学,天津,综合,2025,本科批A段,563,22282,
沈阳理工大学,天津,综合,2025,本科批A段,562,22547,20
青岛科技大学,天津,综合,2025,本科批A段,561,22809,50
重庆师范大学,天津,综合,2025,本科批A段,560,23083,
河北医科大学,天津,综合,2025,本科批A段,560,23083,
北京石油化工学院,天津,综合,2025,本科批A段,559,23374,
重庆科技大学,天津,综合,2025,本科批A段,558,23634,15
石河子大学,天津,综合,2025,本科批A段,557,23920,42
青岛大学,天津,综合,2025,本科批A段,557,23920,
长沙理工大学,天津,综合,2025,本科批A段,556,24209,
昆明医科大学,天津,综合,2025,本科批A段,556,24209,
山东政法学院,天津,综合,2025,本科批A段,555,24465,
苏州科技大学,天津,综合,2025,本科批A段,555,24465,
中国民用航空飞行学院,天津,综合,2025,本科批A段,555,24465,57
四川师范大学,天津,综合,2025,本科批A段,554,24750,
浙江农林大学,天津,综合,2025,本科批A段,554,24750,10
常州大学,天津,综合,2025,本科批A段,552,25317,40
河南财经政法大学,天津,综合,2025,本科批A段,552,25317,30
南京工程学院,天津,综合,2025,本科批A段,552,25317,
山东理工大学,天津,综合,2025,本科批A段,551,25587,
天津师范大学,天津,综合,2025,本科批A段,551,25587,
武汉轻工大学,天津,综合,2025,本科批A段,551,25587,
江苏科技大学,天津,综合,2025,本科批A段,551,25587,19
山东科技大学,天津,综合,2025,本科批A段,551,25587,30
山东师范大学,天津,综合,2025,本科批A段,550,25874,
燕山大学,天津,综合,2025,本科批A段,550,25874,110
中国劳动关系学院,天津,综合,2025,本科批A段,550,25874,
南昌航空大学,天津,综合,2025,本科批A段,550,25874,50
东北电力大学,天津,综合,2025,本科批A段,548,26456,34
河北中医药大学,天津,综合,2025,本科批A段,548,26456,
沈阳师范大学,天津,综合,2025,本科批A段,546,26718,9
云南中医药大学,天津,综合,2025,本科批A段,546,26966,4
常州工学院,天津,综合,2025,本科批A段,546,26966,19
上海健康医学院,天津,综合,2025,本科批A段,545,27231,
甘肃政法大学,天津,综合,2025,本科批A段,545,27231,
湖南工业大学,天津,综合,2025,本科批A段,544,27231,
北京联合大学,天津,综合,2025,本科批A段,544,27532,
内蒙古财经大学,天津,综合,2025,本科批A段,544,27532,
辽宁石油化工大学,天津,综合,2025,本科批A段,543,27778,20
湖北师范大学,天津,综合,2025,本科批A段,542,28062,
长春理工大学,天津,综合,2025,本科批A段,541,27532,
东北石油大学,天津,综合,2025,本科批A段,541,28355,40
哈尔滨理工大学,天津,综合,2025,本科批A段,541,26966,
西华师范大学,天津,综合,2025,本科批A段,539,27778,
中北大学,天津,综合,2025,本科批A段,539,28865,120
四川外国语大学,天津,综合,2025,本科批A段,537,29432,
安徽师范大学,天津,综合,2025,本科批A段,537,29432,
山东第一医科大学,天津,综合,2025,本科批A段,536,29432,50
大连工业大学,天津,综合,2025,本科批A段,536,29727,14
天津职业技术师范大学,天津,综合,2025,本科批A段,535,30029,
济南大学,天津,综合,2025,本科批A段,535,30029,
南华大学,天津,综合,2025,本科批A段,535,30029,
曲阜师范大学,天津,综合,2025,本科批A段,535,30029,
浙江师范大学,天津,综合,2025,本科批A段,534,30332,40
黑龙江大学,天津,综合,2025,本科批A段,534,30332,
南京特殊教育师范学院,天津,综合,2025,本科批A段,534,30332,6
山东第二医科大学,天津,综合,2025,本科批A段,533,30630,24
大理大学,天津,综合,2025,本科批A段,533,30630,10
湖北汽车工业学院,天津,综合,2025,本科批A段,533,29727,
长春师范大学,天津,综合,2025,本科批A段,532,30928,4
苏州工学院,天津,综合,2025,本科批A段,532,30332,20
东华理工大学,天津,综合,2025,本科批A段,532,29812,
广东药科大学,天津,综合,2025,本科批A段,532,30928,
