分数,位次,省份,年份,科类
680,656,天津,2025,综合
679,722,天津,2025,综合
678,789,天津,2025,综合
677,861,天津,2025,综合
676,921,天津,2025,综合
675,968,天津,2025,综合
674,1031,天津,2025,综合
673,1092,天津,2025,综合
672,1151,天津,2025,综合
671,1232,天津,2025,综合
670,1301,天津,2025,综合
669,1377,天津,2025,综合
668,1454,天津,2025,综合
667,1548,天津,2025,综合
666,1645,天津,2025,综合
665,1735,天津,2025,综合
664,1828,天津,2025,综合
663,1923,天津,2025,综合
662,2027,天津,2025,综合
661,2137,天津,2025,综合
660,2251,天津,2025,综合
659,2357,天津,2025,综合
658,2463,天津,2025,综合
657,2568,天津,2025,综合
656,2696,天津,2025,综合
655,2784,天津,2025,综合
654,2914,天津,2025,综合
653,3039,天津,2025,综合
652,3179,天津,2025,综合
651,3288,天津,2025,综合
650,3422,天津,2025,综合
649,3561,天津,2025,综合
648,3695,天津,2025,综合
647,3863,天津,2025,综合
646,3995,天津,2025,综合
645,4135,天津,2025,综合
644,4287,天津,2025,综合
643,4451,天津,2025,综合
642,4611,天津,2025,综合
641,4777,天津,2025,综合
640,4928,天津,2025,综合
639,5080,天津,2025,综合
638,5224,天津,2025,综合
637,5379,天津,2025,综合
636,5535,天津,2025,综合
635,5689,天津,2025,综合
634,5859,天津,2025,综合
633,6023,天津,2025,综合
632,6207,天津,2025,综合
631,6375,天津,2025,综合
630,6564,天津,2025,综合
629,6772,天津,2025,综合
628,6950,天津,2025,综合
627,7161,天津,2025,综合
626,7354,天津,2025,综合
625,7531,天津,2025,综合
624,7725,天津,2025,综合
623,7919,天津,2025,综合
622,8141,天津,2025,综合
621,8339,天津,2025,综合
620,8532,天津,2025,综合
619,8745,天津,2025,综合
618,8963,天津,2025,综合
617,9165,天津,2025,综合
616,9379,天津,2025,综合
615,9591,天津,2025,综合
614,9791,天津,2025,综合
613,10009,天津,2025,综合
612,10251,天津,2025,综合
611,10462,天津,2025,综合
610,10681,天津,2025,综合
609,10891,天津,2025,综合
608,11105,天津,2025,综合
607,11344,天津,2025,综合
606,11588,天津,2025,综合
605,11793,天津,2025,综合
604,12046,天津,2025,综合
603,12295,天津,2025,综合
602,12510,天津,2025,综合
601,12738,天津,2025,综合
600,12965,天津,2025,综合
599,13198,天津,2025,综合
598,13411,天津,2025,综合
597,13657,天津,2025,综合
596,13904,天津,2025,综合
595,14133,天津,2025,综合
594,14378,天津,2025,综合
593,14616,天津,2025,综合
592,14879,天津,2025,综合
591,15122,天津,2025,综合
590,15350,天津,2025,综合
589,15580,天津,2025,综合
588,15802,天津,2025,综合
587,16053,天津,2025,综合
586,16306,天津,2025,综合
585,16523,天津,2025,综合
584,16781,天津,2025,综合
583,17050,天津,2025,综合
582,17292,天津,2025,综合
581,17539,天津,2025,综合
580,17773,天津,2025,综合
579,18022,天津,2025,综合
578,18257,天津,2025,综合
577,18537,天津,2025,综合
576,18798,天津,2025,综合
575,19060,天津,2025,综合
574,19332,天津,2025,综合
573,19601,天津,2025,综合
572,19855,天津,2025,综合
571,20134,天津,2025,综合
570,20413,天津,2025,综合
569,20688,天津,2025,综合
568,20940,天津,2025,综合
567,21240,天津,2025,综合
566,21500,天津,2025,综合
565,21754,天津,2025,综合
564,22032,天津,2025,综合
563,22282,天津,2025,综合
562,22547,天津,2025,综合
561,22809,天津,2025,综合
560,23083,天津,2025,综合
559,23374,天津,2025,综合
558,23634,天津,2025,综合
557,23920,天津,2025,综合
556,24209,天津,2025,综合
555,24465,天津,2025,综合
554,24750,天津,2025,综合
553,25018,天津,2025,综合
552,25317,天津,2025,综合
551,25587,天津,2025,综合
550,25874,天津,2025,综合
549,26147,天津,2025,综合
548,26456,天津,2025,综合
547,26718,天津,2025,综合
546,26966,天津,2025,综合
545,27231,天津,2025,综合
544,27532,天津,2025,综合
543,27778,天津,2025,综合
542,28062,天津,2025,综合
541,28355,天津,2025,综合
540,28631,天津,2025,综合
539,28865,天津,2025,综合
538,29147,天津,2025,综合
537,29432,天津,2025,综合
536,29727,天津,2025,综合
535,30029,天津,2025,综合
534,30332,天津,2025,综合
533,30630,天津,2025,综合
532,30928,天津,2025,综合
531,31231,天津,2025,综合
530,31499,天津,2025,综合
529,31779,天津,2025,综合
528,32064,天津,2025,综合
527,32342,天津,2025,综合
526,32629,天津,2025,综合
525,32921,天津,2025,综合
524,33220,天津,2025,综合
523,33509,天津,2025,综合
522,33773,天津,2025,综合
521,34074,天津,2025,综合
520,34394,天津,2025,综合
519,34670,天津,2025,综合
518,34912,天津,2025,综合
517,35222,天津,2025,综合
516,35525,天津,2025,综合
515,35839,天津,2025,综合
514,36107,天津,2025,综合
513,36409,天津,2025,综合
512,36711,天津,2025,综合
511,37007,天津,2025,综合
510,37310,天津,2025,综合
509,37624,天津,2025,综合
508,37904,天津,2025,综合
507,38187,天津,2025,综合
506,38459,天津,2025,综合
505,38775,天津,2025,综合
504,39076,天津,2025,综合
503,39379,天津,2025,综合
502,39655,天津,2025,综合
501,39953,天津,2025,综合
500,40233,天津,2025,综合
499,40534,天津,2025,综合
498,40807,天津,2025,综合
497,41118,天津,2025,综合
496,41412,天津,2025,综合
495,41708,天津,2025,综合
494,41976,天津,2025,综合
493,42268,天津,2025,综合
492,42549,天津,2025,综合
491,42851,天津,2025,综合
490,43158,天津,2025,综合
489,43441,天津,2025,综合
488,43748,天津,2025,综合
487,44054,天津,2025,综合
486,44321,天津,2025,综合
485,44613,天津,2025,综合
