uni_code,name,prov,city,level,kind,nature
1761,七台河职业学院,黑龙江,,普通本科,,公办
4626,三亚中瑞酒店管理职业学院,海南,,民办/独立学院,,民办
4632,三亚城市职业学院,海南,,民办/独立学院,,民办
4615,三亚学院,海南,,民办/独立学院,,民办
8925,三亚护理职业学院,海南,,民办/独立学院,,民办
4637,三亚理工职业学院,海南,,民办/独立学院,,民办
4616,三亚航空旅游职业学院,海南,,民办/独立学院,,民办
4222,三峡大学,湖北,,普通本科,,公办
4286,三峡大学科技学院,湖北,,民办/独立学院,,民办
1846,三峡旅游职业技术学院,湖北,,普通本科,,公办
8348,三峡电力职业学院,湖北,,普通本科,,公办
3563,三明医学科技职业学院,福建,,普通本科,,公办
5575,三明学院,福建,,普通本科,,公办
3297,三江学院,江苏,,民办/独立学院,,民办
1839,三门峡社会管理职业学院,河南,,普通本科,,公办
2200,三门峡职业技术学院,河南,,普通本科,,公办
8457,上海东海职业技术学院,上海,,民办/独立学院,,民办
3175,上海中侨职业技术大学,上海,,民办/独立学院,,民办
2570,上海中医药大学,上海,,普通本科,,公办
3179,上海中华职业技术学院,上海,,普通本科,,民办
3103,上海交通大学,上海,,985,,公办
3151,上海交通大学医学院,上海,,985,,公办
8447,上海交通职业技术学院,上海,,普通本科,,公办
15,上海体育大学,上海,,普通本科,,公办
7113,上海健康医学院,上海,,普通本科,,公办
35,上海公安学院,,,普通本科,,
3125,上海兴伟学院,上海,,民办/独立学院,,民办
8450,上海农林职业技术学院,上海,,普通本科,,公办
3162,上海出版印刷高等专科学校,上海,,普通本科,,公办
7431,上海南湖职业技术学院,上海,,普通本科,,公办
5605,上海商学院,上海,,普通本科,,公办
3163,上海城建职业学院,上海,,普通本科,,公办
3112,上海外国语大学,上海,,211,,公办
3178,上海外国语大学贤达经济人文学院,上海,,民办/独立学院,,民办
3119,上海大学,上海,,211,,公办
1805,上海对外经贸大学,上海,,普通本科,,公办
8458,上海工商外国语职业学院,上海,,民办/独立学院,,民办
8453,上海工商职业技术学院,上海,,民办/独立学院,,民办
3139,上海工程技术大学,上海,,普通本科,,公办
3128,上海工艺美术职业学院,上海,,普通本科,,公办
2390,上海师范大学,上海,,普通本科,,公办
3156,上海师范大学天华学院,上海,,民办/独立学院,,民办
3159,上海应用技术大学,上海,,普通本科,,公办
3124,上海建桥学院,上海,,民办/独立学院,,民办
8465,上海建设管理职业技术学院,上海,,普通本科,,公办
8392,上海思博职业技术学院,上海,,民办/独立学院,,民办
9919,上海戏剧学院,上海,,普通本科,,公办
5610,上海政法学院,上海,,普通本科,,公办
7117,上海旅游高等专科学校,上海,,普通本科,,公办
7608,上海杉达学院,上海,,民办/独立学院,,民办
3173,上海民航职业技术学院,上海,,普通本科,,公办
8388,上海民远职业技术学院,上海,,民办/独立学院,,民办
3123,上海济光职业技术学院,上海,,民办/独立学院,,民办
8880,上海浦东职业技术学院,上海,,普通本科,,公办
2860,上海海事大学,上海,,普通本科,,公办
,上海海事职业技术学院,,,普通本科,,
3121,上海海关学院,上海,,普通本科,,公办
2875,上海海洋大学,上海,,普通本科,,公办
8464,上海现代化工职业学院,上海,,普通本科,,公办
1795,上海理工大学,上海,,普通本科,,公办
3108,上海电力大学,上海,,普通本科,,公办
3149,上海电子信息职业技术学院,上海,,普通本科,,公办
2442,上海电影艺术职业学院,上海,,普通本科,,民办
3145,上海电机学院,上海,,普通本科,,公办
1383,上海科创职业技术学院,上海,,普通本科,,公办
3177,上海科学技术职业学院,上海,,普通本科,,公办
2041,上海科技大学,上海,,普通本科,,公办
2925,上海立信会计金融学院,上海,,普通本科,,公办
2448,上海立达学院,上海,,普通本科,,民办
7501,上海第二工业大学,上海,,普通本科,,公办
2051,上海纽约大学,上海,,普通本科,,中外合作办学
8442,上海行健职业学院,上海,,普通本科,,公办
3141,上海视觉艺术学院,上海,,民办/独立学院,,民办
1445,上海财经大学,上海,,211,,公办
2012,上海财经大学浙江学院,浙江,,民办/独立学院,,民办
8455,上海邦德职业技术学院,上海,,民办/独立学院,,民办
8463,上海闵行职业技术学院,上海,,普通本科,,公办
9832,上海震旦职业学院,上海,,民办/独立学院,,民办
118,上海音乐学院,上海,,普通本科,,公办
8397,上饶卫生健康职业学院,江西,,普通本科,,公办
3610,上饶师范学院,江西,,普通本科,,公办
8398,上饶幼儿师范高等专科学校,江西,,普通本科,,公办
8399,上饶职业技术学院,江西,,普通本科,,公办
2307,东北农业大学,黑龙江,,211,,公办
2105,东北大学,辽宁,,985,,公办
1314,东北大学秦皇岛分校,河北,,985,,公办
1405,东北师范大学,吉林,,211,,公办
1385,东北林业大学,黑龙江,,211,,公办
2235,东北电力大学,吉林,,普通本科,,公办
2375,东北石油大学,黑龙江,,普通本科,,公办
2121,东北财经大学,辽宁,,普通本科,,公办
3107,东华大学,上海,,211,,公办
4275,东华理工大学,江西,,普通本科,,公办
3203,东南大学,江苏,,985,,公办
6607,东南大学成贤学院,江苏,,民办/独立学院,,民办
2183,东莞城市学院,广东,,普通本科,,民办
4412,东莞理工学院,广东,,普通本科,,公办
8723,东莞职业技术学院,广东,,普通本科,,公办
331,东营科技职业学院,山东,,普通本科,,公办
462,东营职业学院,山东,,普通本科,,公办
2530,中北大学,山西,,普通本科,,公办
3100,中华女子学院,北京,,普通本科,,公办
1210,中南大学,湖南,,985,,公办
2800,中南林业科技大学,湖南,,普通本科,,公办
4361,中南林业科技大学涉外学院,湖南,,民办/独立学院,,民办
4215,中南民族大学,湖北,,普通本科,,公办
4223,中南财经政法大学,湖北,,211,,公办
6115,中原工学院,河南,,普通本科,,公办
2627,中原科技学院,,,普通本科,,
110,中国人民公安大学,北京,,普通本科,,公办
2902,中国人民大学,北京,,985,,公办
775,中国人民解放军国防科技大学,湖南,,985,,公办
1408,中国人民解放军空军军医大学,陕西,,211,,公办
1405,中国人民解放军空军工程大学,陕西,,普通本科,,公办
5014,中国人民解放军陆军军医大学,重庆,,普通本科,,公办
1543,中国人民解放军陆军步兵学院,江西,,普通本科,,公办
1311,中国人民警察大学,河北,,普通本科,,公办
1470,中国传媒大学,北京,,211,,公办
1116,中国农业大学,北京,,985,,公办
115,中国刑事警察学院,辽宁,,普通本科,,公办
3035,中国劳动关系学院,北京,,普通本科,,公办
2116,中国医科大学,辽宁,,普通本科,,公办
1335,中国地质大学(北京),北京,,211,,公办
1340,中国地质大学(武汉),湖北,,211,,公办
1137,中国戏曲学院,北京,,普通本科,,公办
1141,中国政法大学,北京,,211,,公办
3060,中国民用航空飞行学院,四川,,普通本科,,公办
2215,中国民航大学,天津,,普通本科,,公办
1330,中国海洋大学,山东,,985,,公办
3085,中国消防救援学院,北京,,普通本科,,公办
1295,中国石油大学(北京),北京,,211,,公办
1296,中国石油大学(北京)克拉玛依校区,新疆,,211,,公办
1300,中国石油大学(华东),山东,,211,,公办
1145,中国矿业大学,北京,,211,,公办
6812,中国矿业大学徐海学院,江苏,,民办/独立学院,,民办
1188,中国社会科学院大学,北京,,普通本科,,公办
3401,中国科学技术大学,安徽,,985,,公办
1900,中国科学院大学,北京,,普通本科,,公办
3309,中国美术学院,浙江,,普通本科,,公办
3219,中国药科大学,江苏,,211,,公办
2290,中国计量大学,浙江,,普通本科,,公办
2891,中国计量大学现代科技学院,浙江,,民办/独立学院,,民办
238,中国音乐学院,,,普通本科,,
2929,中央司法警官学院,河北,,普通本科,,公办
9901,中央戏剧学院,北京,,普通本科,,公办
1100,中央民族大学,北京,,985,,公办
9902,中央美术学院,北京,,普通本科,,公办
1460,中央财经大学,北京,,211,,公办
4401,中山大学,广东,,985,,公办
2924,中山火炬职业技术学院,广东,,普通本科,,公办
2925,中山职业技术学院,广东,,普通本科,,公办
9441,临汾职业技术学院,山西,,普通本科,,公办
,临沂城市职业学院,山东,,民办/独立学院,,民办
4475,临沂大学,山东,,普通本科,,公办
1048,临沂科技职业学院,山东,,普通本科,,公办
,临沂职业学院,山东,,普通本科,,公办
3331,丽水学院,浙江,,普通本科,,公办
8309,丽水职业技术学院,浙江,,普通本科,,公办
5348,丽江师范学院,云南,,普通本科,,公办
5314,丽江文化旅游学院,云南,,民办/独立学院,,民办
8582,义乌工商职业技术学院,浙江,,普通本科,,公办
1413,乌兰察布医学高等专科学校,内蒙古,,普通本科,,公办
2373,乌兰察布职业学院,内蒙古,,普通本科,,公办
1599,乌海职业技术学院,,,普通本科,,
6513,乌鲁木齐职业大学,新疆,,普通本科,,公办
1603,乌鲁木齐职业技术学院,新疆,,普通本科,,公办
5121,乐山师范学院,四川,,普通本科,,公办
5160,乐山职业技术学院,四川,,普通本科,,公办
2329,九州职业技术学院,江苏,,普通本科,,民办
4265,九江学院,江西,,普通本科,,公办
,九江科技职业大学,江西,,民办/独立学院,,民办
3631,九江职业大学,江西,,普通本科,,公办
5374,云南三鑫职业技术学院,云南,,民办/独立学院,,民办
5260,云南中医药大学,云南,,普通本科,,公办
5333,云南交通职业技术学院,云南,,普通本科,,公办
5235,云南农业大学,云南,,普通本科,,公办
5324,云南农业职业技术学院,云南,,普通本科,,公办
5336,云南医药健康职业学院,云南,,民办/独立学院,,民办
5325,云南司法警官职业学院,云南,,普通本科,,公办
5392,云南商务职业学院,云南,,民办/独立学院,,民办
5321,云南国土资源职业学院,云南,,普通本科,,公办
2718,云南国防工业职业技术学院,云南,,普通本科,,公办
5353,云南城市建设职业学院,云南,,民办/独立学院,,民办
2742,云南外事外语职业学院,云南,,民办/独立学院,,民办
5301,云南大学,云南,,211,,公办
5393,云南工业信息职业学院,云南,,普通本科,,公办
5342,云南工商学院,云南,,民办/独立学院,,民办
2715,云南工程职业学院,云南,,民办/独立学院,,民办
5306,云南师范大学,云南,,普通本科,,公办
5329,云南新兴职业学院,云南,,民办/独立学院,,民办
2729,云南旅游职业学院,云南,,普通本科,,公办
5331,云南机电职业技术学院,云南,,普通本科,,公办
9821,云南林业职业技术学院,云南,,普通本科,,公办
5285,云南民族大学,云南,,普通本科,,公办
2738,云南水利水电职业学院,云南,,普通本科,,公办
2740,云南特殊教育职业学院,云南,,普通本科,,公办
5394,云南理工职业学院,云南,,民办/独立学院,,民办
2598,云南科技信息职业学院,,,普通本科,,
5326,云南经济管理学院,云南,,民办/独立学院,,民办
5350,云南经贸外事职业学院,云南,,民办/独立学院,,民办
9223,云南能源职业技术学院,云南,,普通本科,,公办
5308,云南艺术学院,云南,,普通本科,,公办
2844,云南警官学院,云南,,普通本科,,公办
5330,云南财经大学,云南,,普通本科,,公办
9163,云南财经职业学院,云南,,普通本科,,公办
2734,云南轻纺职业学院,云南,,普通本科,,公办
4785,五邑大学,广东,,普通本科,,公办
3612,井冈山大学,江西,,普通本科,,公办
3449,亳州学院,安徽,,普通本科,,公办
154,亳州职业技术学院,,,普通本科,,
4252,仙桃职业学院,湖北,,普通本科,,公办
3509,仰恩大学,福建,,民办/独立学院,,民办
2935,仲恺农业工程学院,广东,,普通本科,,公办
8371,伊春职业学院,黑龙江,,普通本科,,公办
6505,伊犁师范大学,新疆,,普通本科,,公办
1793,伊犁职业技术学院,新疆,,普通本科,,公办
4820,佛山大学,广东,,普通本科,,公办
3700,佳木斯大学,黑龙江,,普通本科,,公办
2375,佳木斯职业学院,黑龙江,,普通本科,,公办
1343,保定学院,河北,,普通本科,,公办
102,保定幼儿师范高等专科学校,河北,,普通本科,,公办
1385,保定理工学院,河北,,民办/独立学院,,民办
1382,保定电力职业技术学院,河北,,普通本科,,公办
