院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
西安交通大学,新疆,历史类,2025,本科一批,579,,
厦门大学,新疆,历史类,2025,本科一批,573,284,
厦门大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,572,,
上海财经大学,新疆,历史类,2025,本科一批,568,349,
华东师范大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,563,,
西北政法大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,563,,
对外经济贸易大学,新疆,历史类,2025,本科一批,562,433,27
中央财经大学,新疆,历史类,2025,本科一批,561,448,
厦门大学,新疆,历史类,2025,高校专项计划批,561,,
四川大学,新疆,历史类,2025,本科一批,558,501,
山东大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,557,,
山东大学,新疆,历史类,2025,本科一批,556,541,18
对外经济贸易大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,555,,
中南大学,新疆,历史类,2025,本科一批,555,561,12
北京外国语大学,新疆,历史类,2025,本科一批,553,600,
吉林大学,新疆,历史类,2025,本科一批,543,763,15
上海大学,新疆,历史类,2025,本科一批,543,763,
中南财经政法大学,新疆,历史类,2025,本科一批,538,866,
深圳大学,新疆,历史类,2025,本科一批,538,866,3
中国传媒大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,536,,
西北政法大学,新疆,历史类,2025,本科一批,534,950,
中央财经大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,533,,
中南财经政法大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,531,,
中南财经政法大学,新疆,历史类,2025,高校专项计划批,530,,
中国石油大学(北京),新疆,历史类,2025,本科一批,528,,
中国海洋大学,新疆,历史类,2025,高校专项计划批,528,,
北京化工大学,新疆,历史类,2025,本科一批,527,1082,
中央民族大学,新疆,历史类,2025,本科一批,526,1128,
华东师范大学,新疆,历史类,2025,高校专项计划批,525,,
西南财经大学,新疆,历史类,2025,本科一批,524,1181,
江南大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,523,,3
武汉理工大学,新疆,历史类,2025,本科一批,523,1208,
西南大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,521,,
北京林业大学,新疆,历史类,2025,本科一批,521,1264,
中央美术学院,新疆,历史类,2025,本科一批,521,1264,
中国地质大学(武汉),新疆,历史类,2025,本科一批,521,1264,
西北大学,新疆,历史类,2025,本科一批,521,1264,
江南大学,新疆,历史类,2025,本科一批,520,1292,13
中国传媒大学,新疆,历史类,2025,本科一批,519,1319,
大连海事大学,新疆,历史类,2025,本科一批,518,,
苏州大学,新疆,历史类,2025,本科一批,518,1344,
西南交通大学,新疆,历史类,2025,本科一批,518,1344,12
南方医科大学,新疆,历史类,2025,本科一批,518,1344,
江苏大学,新疆,历史类,2025,本科一批,517,1374,5
西南大学,新疆,历史类,2025,本科提前批,517,,
广州大学,新疆,历史类,2025,本科一批,516,1403,
吉林大学,新疆,历史类,2025,高校专项计划批,516,,
东北师范大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,515,,
东北师范大学,新疆,历史类,2025,本科提前批,515,,
上海戏剧学院,新疆,历史类,2025,本科一批,513,1501,
江苏科技大学,新疆,历史类,2025,本科一批,513,,2
浙江工商大学,新疆,历史类,2025,本科一批,512,1536,2
中国石油大学(北京),新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,511,,
大连海事大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,509,,
河北工业大学,新疆,历史类,2025,本科一批,509,1638,
华中师范大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,508,,
西南财经大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,508,,
华东师范大学,新疆,历史类,2025,本科提前批,508,,
兰州大学,新疆,历史类,2025,本科一批,507,1722,19
上海立信会计金融学院,新疆,历史类,2025,本科一批,507,1722,
中国海洋大学,新疆,历史类,2025,本科一批,506,1765,
东北农业大学,新疆,历史类,2025,本科一批,505,,
首都经济贸易大学,新疆,历史类,2025,本科一批,504,1826,
西南石油大学,新疆,历史类,2025,本科一批,504,1826,
中国民航大学,新疆,历史类,2025,本科一批,504,,
北京中医药大学,新疆,历史类,2025,本科一批,503,1856,
南京师范大学,新疆,历史类,2025,本科一批,503,1856,
东北师范大学,新疆,历史类,2025,本科一批,502,1890,
北京联合大学,新疆,历史类,2025,本科一批,501,1925,
海南大学,新疆,历史类,2025,本科一批,500,1952,
中国石油大学(华东),新疆,历史类,2025,本科一批,499,1981,
西南大学,新疆,历史类,2025,高校专项计划批,499,,
东北农业大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,497,,
华北电力大学,新疆,历史类,2025,本科一批,497,2051,
浙江工业大学,新疆,历史类,2025,本科一批,497,1981,10
中国传媒大学,新疆,历史类,2025,本科提前批,497,,
华东师范大学,新疆,历史类,2025,本科一批,496,,
南京工业大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,495,,5
华北理工大学,新疆,历史类,2025,本科一批,495,2126,8
中北大学,新疆,历史类,2025,本科一批,495,2126,3
上海对外经贸大学,新疆,历史类,2025,本科一批,495,2126,
北京体育大学,新疆,历史类,2025,本科一批,494,2170,
河南财经政法大学,新疆,历史类,2025,本科一批,494,2170,8
浙江工商大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,491,,
华中师范大学,新疆,历史类,2025,本科提前批,489,,
中国石油大学(北京)克拉玛依校区,新疆,历史类,2025,本科一批,486,2483,
中央财经大学,新疆,历史类,2025,高校专项计划批,486,,
东北林业大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,485,,
华侨大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,485,,
华东政法大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,483,,
浙江师范大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,483,,
山东科技大学,新疆,历史类,2025,本科二批,483,2607,2
北京物资学院,新疆,历史类,2025,本科一批,482,2648,
中国消防救援学院,新疆,历史类,2025,本科提前批,482,,
延边大学,新疆,历史类,2025,本科一批,481,,
上海海洋大学,新疆,历史类,2025,本科一批,481,2687,
上海政法学院,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,479,,
北京邮电大学,新疆,历史类,2025,本科一批,479,,2
东北林业大学,新疆,历史类,2025,本科一批,476,2893,
武汉科技大学,新疆,历史类,2025,本科一批,476,,
浙江师范大学,新疆,历史类,2025,本科一批,476,2893,7
上海师范大学,新疆,历史类,2025,本科一批,475,,
贵州大学,新疆,历史类,2025,本科一批,475,2935,
南京工业大学,新疆,历史类,2025,本科一批,473,3016,2
河北大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,472,,
苏州科技大学,新疆,历史类,2025,本科一批,472,3067,
黑龙江大学,新疆,历史类,2025,本科一批,471,2979,
扬州大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,470,,
南京邮电大学,新疆,历史类,2025,国家及地方专项、南疆单列、对口援疆计划本科一批次,470,3185,
天津工业大学,新疆,历史类,2025,本科一批,470,3185,10
西南民族大学,新疆,历史类,2025,本科一批,469,3232,67
常州大学,新疆,历史类,2025,本科一批,468,3278,7
