分数,位次,省份,年份,科类
641,1,新疆,2025,历史类
636,5,新疆,2025,历史类
631,9,新疆,2025,历史类
627,10,新疆,2025,历史类
625,13,新疆,2025,历史类
623,17,新疆,2025,历史类
622,18,新疆,2025,历史类
619,22,新疆,2025,历史类
617,28,新疆,2025,历史类
614,34,新疆,2025,历史类
613,40,新疆,2025,历史类
612,48,新疆,2025,历史类
611,52,新疆,2025,历史类
610,58,新疆,2025,历史类
609,59,新疆,2025,历史类
608,65,新疆,2025,历史类
607,66,新疆,2025,历史类
606,72,新疆,2025,历史类
604,78,新疆,2025,历史类
603,82,新疆,2025,历史类
601,88,新疆,2025,历史类
600,92,新疆,2025,历史类
599,96,新疆,2025,历史类
596,105,新疆,2025,历史类
595,113,新疆,2025,历史类
594,120,新疆,2025,历史类
593,124,新疆,2025,历史类
592,130,新疆,2025,历史类
591,139,新疆,2025,历史类
590,148,新疆,2025,历史类
589,157,新疆,2025,历史类
586,167,新疆,2025,历史类
584,177,新疆,2025,历史类
583,187,新疆,2025,历史类
582,196,新疆,2025,历史类
581,209,新疆,2025,历史类
578,223,新疆,2025,历史类
577,236,新疆,2025,历史类
576,250,新疆,2025,历史类
575,261,新疆,2025,历史类
574,272,新疆,2025,历史类
573,284,新疆,2025,历史类
572,296,新疆,2025,历史类
571,310,新疆,2025,历史类
570,324,新疆,2025,历史类
569,337,新疆,2025,历史类
568,349,新疆,2025,历史类
567,363,新疆,2025,历史类
566,378,新疆,2025,历史类
565,392,新疆,2025,历史类
564,405,新疆,2025,历史类
563,418,新疆,2025,历史类
562,433,新疆,2025,历史类
561,448,新疆,2025,历史类
560,464,新疆,2025,历史类
559,481,新疆,2025,历史类
558,501,新疆,2025,历史类
557,521,新疆,2025,历史类
556,541,新疆,2025,历史类
555,561,新疆,2025,历史类
554,582,新疆,2025,历史类
553,600,新疆,2025,历史类
552,613,新疆,2025,历史类
551,626,新疆,2025,历史类
550,639,新疆,2025,历史类
549,653,新疆,2025,历史类
548,666,新疆,2025,历史类
547,687,新疆,2025,历史类
546,707,新疆,2025,历史类
545,726,新疆,2025,历史类
544,744,新疆,2025,历史类
543,763,新疆,2025,历史类
542,782,新疆,2025,历史类
541,802,新疆,2025,历史类
540,823,新疆,2025,历史类
539,845,新疆,2025,历史类
538,866,新疆,2025,历史类
537,886,新疆,2025,历史类
536,906,新疆,2025,历史类
535,930,新疆,2025,历史类
534,950,新疆,2025,历史类
533,970,新疆,2025,历史类
532,992,新疆,2025,历史类
531,1013,新疆,2025,历史类
530,1036,新疆,2025,历史类
529,1060,新疆,2025,历史类
528,1082,新疆,2025,历史类
527,1104,新疆,2025,历史类
526,1128,新疆,2025,历史类
525,1153,新疆,2025,历史类
524,1181,新疆,2025,历史类
523,1208,新疆,2025,历史类
