院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
中央财经大学,西藏,历史类,2025,本科一批,589,,
中央财经大学,西藏,历史类,2025,国家专项计划本科批,586,,
吉林大学,西藏,历史类,2025,本科一批,562,,
中国海洋大学,西藏,历史类,2025,本科一批,536,,
华中师范大学,西藏,历史类,2025,提前录取本科一批,462,,
华东师范大学,西藏,历史类,2025,提前录取本科一批,456,,
西南大学,西藏,历史类,2025,提前录取本科一批,454,,
山东大学,西藏,历史类,2025,国家专项计划本科批,449,,
华中师范大学,西藏,历史类,2025,国家专项计划本科批,449,,
东北师范大学,西藏,历史类,2025,提前录取本科一批,449,,
东北师范大学,西藏,历史类,2025,国家专项计划本科批,447,,
中国传媒大学,西藏,历史类,2025,提前录取本科一批,437,,
华东师范大学,西藏,历史类,2025,高校专项计划本科批,437,,
对外经济贸易大学,西藏,历史类,2025,国家专项计划本科批,436,,
中央民族大学,西藏,历史类,2025,本科一批,425,,
华东理工大学,西藏,历史类,2025,本科一批,424,,
中南财经政法大学,西藏,历史类,2025,国家专项计划本科批,418,,
华中师范大学,西藏,历史类,2025,本科一批,416,,
浙江师范大学,西藏,历史类,2025,国家专项计划本科批,413,,
大连海事大学,西藏,历史类,2025,国家专项计划本科批,413,,
华东师范大学,西藏,历史类,2025,本科一批,413,,
中国传媒大学,西藏,历史类,2025,国家专项计划本科批,410,,
华中师范大学,西藏,历史类,2025,高校专项计划本科批,408,,
四川师范大学,西藏,历史类,2025,本科二批,406,,
中国人民公安大学,西藏,历史类,2025,提前录取本科一批,404,,
海南大学,西藏,历史类,2025,本科一批,402,,
四川师范大学,西藏,历史类,2025,本科一批,402,,
中国民航大学,西藏,历史类,2025,本科一批,401,,
厦门大学,西藏,历史类,2025,高校专项计划本科批,401,,
北京化工大学,西藏,历史类,2025,国家专项计划本科批,400,,
西南财经大学,西藏,历史类,2025,国家专项计划本科批,394,,
华东理工大学,西藏,历史类,2025,国家专项计划本科批,393,,
中国劳动关系学院,西藏,历史类,2025,国家专项计划本科批,393,,
中国地质大学(武汉),西藏,历史类,2025,本科一批,392,,
西南大学,西藏,历史类,2025,高校专项计划本科批,390,,
集美大学,西藏,历史类,2025,本科一批,389,,8
淮南师范学院,西藏,历史类,2025,本科二批,386,,
上海政法学院,西藏,历史类,2025,本科一批,385,,
东北农业大学,西藏,历史类,2025,本科一批,384,,
华东政法大学,西藏,历史类,2025,本科一批,383,,
江苏大学,西藏,历史类,2025,本科一批,382,,7
中国刑事警察学院,西藏,历史类,2025,提前录取本科一批,381,,4
上海海事大学,西藏,历史类,2025,本科一批,380,,
东北石油大学,西藏,历史类,2025,国家专项计划本科批,378,,5
东北林业大学,西藏,历史类,2025,本科一批,376,,
上海理工大学,西藏,历史类,2025,本科一批,376,,
浙江师范大学,西藏,历史类,2025,本科一批,373,,
江汉大学,西藏,历史类,2025,本科一批,372,,
中国刑事警察学院,西藏,历史类,2025,提前录取本科二批,371,,2
上海海洋大学,西藏,历史类,2025,本科一批,370,,
河北师范大学,西藏,历史类,2025,本科一批,369,,5
大连海事大学,西藏,历史类,2025,本科一批,365,,
重庆交通大学,西藏,历史类,2025,本科一批,361,,
延安大学,西藏,历史类,2025,本科一批,361,,6
重庆理工大学,西藏,历史类,2025,本科一批,356,,
上海师范大学,西藏,历史类,2025,本科一批,355,,
杭州师范大学,西藏,历史类,2025,本科一批,353,,8
吉林财经大学,西藏,历史类,2025,本科二批,351,,
东北师范大学,西藏,历史类,2025,本科一批,348,,
西北政法大学,西藏,历史类,2025,提前录取本科一批,347,,
江苏科技大学,西藏,历史类,2025,本科一批,345,,10
东北石油大学,西藏,历史类,2025,本科一批,344,,10
吉林警察学院,西藏,历史类,2025,本科二批,342,,
嘉兴大学,西藏,历史类,2025,本科二批,340,,
江南大学,西藏,历史类,2025,本科一批,339,,9
三峡大学,西藏,历史类,2025,本科一批,339,,
浙江外国语学院,西藏,历史类,2025,本科一批,339,,
广西师范大学,西藏,历史类,2025,本科二批,338,,
黄冈师范学院,西藏,历史类,2025,本科二批,332,,15
渭南师范学院,西藏,历史类,2025,本科二批,329,,37
湖南工业大学,西藏,历史类,2025,本科一批,327,,
大连工业大学,西藏,历史类,2025,本科二批,325,,3
广东技术师范大学,西藏,历史类,2025,本科二批,324,,17
陕西学前师范学院,西藏,历史类,2025,本科二批,322,,
