院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
华东师范大学,云南,历史类,2025,本科提前批D段,639,194,
西安交通大学,云南,历史类,2025,本科提前批D段,623,645,
东南大学,云南,历史类,2025,本科批B段,620,767,2
西安交通大学,云南,历史类,2025,本科批B段,619,811,
四川大学,云南,历史类,2025,本科批B段,617,921,3
对外经济贸易大学,云南,历史类,2025,本科批B段,616,984,20
华东师范大学,云南,历史类,2025,本科提前批A段,614,1094,
中南大学,云南,历史类,2025,本科批B段,613,1137,20
北京中医药大学,云南,历史类,2025,本科批B段,612,1199,
吉林大学,云南,历史类,2025,本科批B段,612,1199,15
北京外国语大学,云南,历史类,2025,本科批B段,610,1333,
华东师范大学,云南,历史类,2025,本科批A段,609,1407,
深圳大学,云南,历史类,2025,本科批B段,608,1485,14
成都中医药大学,云南,历史类,2025,本科批B段,608,1485,6
华中师范大学,云南,历史类,2025,本科提前批A段,608,1485,
北京科技大学,云南,历史类,2025,本科批B段,604,1819,11
首都师范大学,云南,历史类,2025,本科批B段,604,1732,1
华中师范大学,云南,历史类,2025,本科提前批D段,604,1819,
北京化工大学,云南,历史类,2025,本科批B段,602,2020,
兰州大学,云南,历史类,2025,本科批B段,602,2020,18
北京语言大学,云南,历史类,2025,本科批B段,601,2021,1
南方医科大学,云南,历史类,2025,本科批B段,601,2112,4
上海财经大学,云南,历史类,2025,本科批B段,600,2215,17
南京师范大学,云南,历史类,2025,本科批A段,599,2302,
华中师范大学,云南,历史类,2025,本科批B段,599,2302,
中国消防救援学院,云南,历史类,2025,本科提前批C段,599,2302,
中国传媒大学,云南,历史类,2025,本科批B段,598,2389,
东北大学秦皇岛分校,云南,历史类,2025,本科批B段,598,2303,2
华东理工大学,云南,历史类,2025,本科批B段,598,2389,
北京林业大学,云南,历史类,2025,本科批B段,597,2496,
大连海事大学,云南,历史类,2025,本科批B段,597,2496,
中国海洋大学,云南,历史类,2025,本科批B段,595,2704,26
陕西师范大学,云南,历史类,2025,本科批B段,594,2705,4
上海大学,云南,历史类,2025,本科批B段,593,2915,12
中国石油大学(华东),云南,历史类,2025,本科批B段,593,2915,4
北京信息科技大学,云南,历史类,2025,本科批B段,592,2916,2
东北师范大学,云南,历史类,2025,本科批B段,592,3053,
南京师范大学,云南,历史类,2025,本科批B段,592,3053,
西北政法大学,云南,历史类,2025,本科批B段,592,3053,
武汉理工大学,云南,历史类,2025,本科批B段,591,3165,2
江南大学,云南,历史类,2025,本科批B段,590,3286,13
贵州大学,云南,历史类,2025,本科批B段,589,3425,13
长春中医药大学,云南,历史类,2025,本科批B段,587,3705,10
华中师范大学,云南,历史类,2025,本科批A段,586,3856,
浙江理工大学,云南,历史类,2025,本科批B段,586,3856,
华东师范大学,云南,历史类,2025,本科批B段,585,3982,
广西中医药大学,云南,历史类,2025,本科批B段,585,3857,1
西南石油大学,云南,历史类,2025,本科批B段,585,3982,6
上海海关学院,云南,历史类,2025,本科批B段,584,4152,3
河南财经政法大学,云南,历史类,2025,本科批B段,584,4152,2
中央财经大学,云南,历史类,2025,本科批B段,583,4285,
上海政法学院,云南,历史类,2025,本科批B段,583,4285,
中央戏剧学院,云南,历史类,2025,本科批B段,582,4443,
上海对外经贸大学,云南,历史类,2025,本科批B段,582,4443,
山东大学,云南,历史类,2025,本科批B段,582,4443,32
重庆中医药学院,云南,历史类,2025,本科批B段,582,4443,3
中国民航大学,云南,历史类,2025,本科批B段,581,4591,
石家庄铁道大学,云南,历史类,2025,本科批B段,581,4591,
重庆师范大学,云南,历史类,2025,本科批B段,581,4591,4
华北电力大学,云南,历史类,2025,本科批B段,580,4592,2
河北中医药大学,云南,历史类,2025,本科批B段,580,4735,4
江苏大学,云南,历史类,2025,本科批B段,579,4893,18
深圳技术大学,云南,历史类,2025,本科批B段,579,4893,5
上海海事大学,云南,历史类,2025,本科批B段,578,5057,
长沙理工大学,云南,历史类,2025,本科批B段,577,5209,9
中央美术学院,云南,历史类,2025,本科批B段,576,5366,
延边大学,云南,历史类,2025,本科批B段,576,5366,
扬州大学,云南,历史类,2025,本科批B段,576,5366,24
浙江工商大学,云南,历史类,2025,本科批B段,575,5538,13
西南科技大学,云南,历史类,2025,本科批B段,575,5367,3
上海立信会计金融学院,云南,历史类,2025,本科批B段,574,5721,
湘潭大学,云南,历史类,2025,本科批B段,574,5721,53
辽宁中医药大学,云南,历史类,2025,本科批B段,573,5721,
东北林业大学,云南,历史类,2025,本科批B段,573,5913,17
湖北大学,云南,历史类,2025,本科批B段,573,5913,
首都经济贸易大学,云南,历史类,2025,本科批B段,572,6067,
上海师范大学,云南,历史类,2025,本科批B段,572,6067,
南京信息工程大学,云南,历史类,2025,本科批B段,572,6067,20
温州大学,云南,历史类,2025,本科批B段,572,6067,
江西理工大学,云南,历史类,2025,本科批B段,572,6067,8
云南大学,云南,历史类,2025,本科批B段,572,6067,50
上海理工大学,云南,历史类,2025,本科批B段,571,6234,
江苏科技大学,云南,历史类,2025,本科批B段,571,6234,4
广西大学,云南,历史类,2025,本科批B段,571,6234,
石河子大学,云南,历史类,2025,本科批B段,571,6234,13
河北大学,云南,历史类,2025,本科批B段,570,6424,
河北师范大学,云南,历史类,2025,本科批B段,570,6424,8
五邑大学,云南,历史类,2025,本科批B段,570,6424,1
四川外国语大学,云南,历史类,2025,本科批B段,570,6424,
上海体育大学,云南,历史类,2025,本科批B段,569,6604,4
四川警察学院,云南,历史类,2025,本科批B段,569,6604,
甘肃政法大学,云南,历史类,2025,本科批B段,569,6604,
中央民族大学,云南,历史类,2025,本科批B段,568,6805,71
天津师范大学,云南,历史类,2025,本科批B段,568,6805,33
上海戏剧学院,云南,历史类,2025,本科批B段,568,6805,
苏州科技大学,云南,历史类,2025,本科批B段,568,6805,
天津工业大学,云南,历史类,2025,本科批B段,567,7026,11
中国美术学院,云南,历史类,2025,本科批B段,567,7026,7
山东政法学院,云南,历史类,2025,本科批B段,565,7445,
中南民族大学,云南,历史类,2025,本科批B段,565,7244,14
湖北理工学院,云南,历史类,2025,本科批B段,565,7445,3
内蒙古大学,云南,历史类,2025,本科批B段,564,7644,15
中国人民公安大学,云南,历史类,2025,本科提前批B段,564,7644,
浙江农林大学,云南,历史类,2025,本科批B段,563,7862,24
安徽师范大学,云南,历史类,2025,本科批B段,563,7862,
青岛大学,云南,历史类,2025,本科批B段,563,7862,4
河南师范大学,云南,历史类,2025,本科批B段,563,7862,
武汉科技大学,云南,历史类,2025,本科批B段,563,7862,
曲阜师范大学,云南,历史类,2025,本科批B段,562,7862,22
新疆大学,云南,历史类,2025,本科批B段,562,8092,
安徽农业大学,云南,历史类,2025,本科批B段,561,8295,4
云南警官学院,云南,历史类,2025,本科批B段,561,8093,44
浙江师范大学,云南,历史类,2025,本科批B段,560,8524,31
集美大学,云南,历史类,2025,本科批B段,560,8524,7
青海大学,云南,历史类,2025,本科批B段,560,8524,
山东师范大学,云南,历史类,2025,本科批B段,559,8742,26
浙江警察学院,云南,历史类,2025,本科提前批B段,559,8742,
天津中医药大学,云南,历史类,2025,本科批B段,558,8963,18
中北大学,云南,历史类,2025,本科批B段,558,8963,7
东北石油大学,云南,历史类,2025,本科批B段,558,8963,4
湖北师范大学,云南,历史类,2025,本科批B段,558,8963,
南华大学,云南,历史类,2025,本科批B段,558,8963,
黑龙江大学,云南,历史类,2025,本科批B段,557,9185,
宁波大学,云南,历史类,2025,本科批B段,557,9185,
首都体育学院,云南,历史类,2025,本科批B段,556,9185,
吉林师范大学,云南,历史类,2025,本科批B段,556,9186,2
南京工业大学,云南,历史类,2025,本科批B段,556,9401,17
广西师范大学,云南,历史类,2025,本科批B段,556,9401,
大连外国语大学,云南,历史类,2025,本科批B段,555,9645,20
浙江中医药大学,云南,历史类,2025,本科批B段,555,9645,2
济南大学,云南,历史类,2025,本科批B段,555,9645,
四川师范大学,云南,历史类,2025,本科批B段,555,9645,
成都师范学院,云南,历史类,2025,本科批B段,555,9645,
上海海洋大学,云南,历史类,2025,本科批B段,554,9892,
川北医学院,云南,历史类,2025,本科批B段,554,9892,2
贵州警察学院,云南,历史类,2025,本科批B段,553,9893,5
陕西理工大学,云南,历史类,2025,本科批B段,553,10144,
辽宁师范大学,云南,历史类,2025,本科批B段,552,10410,22
重庆工商大学,云南,历史类,2025,本科批B段,552,10410,39
浙江工业大学,云南,历史类,2025,本科批B段,551,10653,10
嘉兴南湖学院,云南,历史类,2025,本科批B段,551,10653,3
中南林业科技大学,云南,历史类,2025,本科批B段,551,10653,28
广东技术师范大学,云南,历史类,2025,本科批B段,551,10653,8
西南医科大学,云南,历史类,2025,本科批B段,551,10653,5
北京物资学院,云南,历史类,2025,本科批B段,550,10904,
山西师范大学,云南,历史类,2025,本科批B段,550,10904,8
北华大学,云南,历史类,2025,本科批B段,550,10904,7
南京工程学院,云南,历史类,2025,本科批B段,550,10904,6
安徽财经大学,云南,历史类,2025,本科批B段,550,10904,45
