分数,位次,省份,年份,科类
655,51,云南,2025,历史类
654,53,云南,2025,历史类
653,56,云南,2025,历史类
652,57,云南,2025,历史类
651,59,云南,2025,历史类
650,62,云南,2025,历史类
649,68,云南,2025,历史类
648,72,云南,2025,历史类
647,80,云南,2025,历史类
646,91,云南,2025,历史类
645,107,云南,2025,历史类
644,119,云南,2025,历史类
643,131,云南,2025,历史类
642,146,云南,2025,历史类
641,155,云南,2025,历史类
640,180,云南,2025,历史类
639,194,云南,2025,历史类
638,214,云南,2025,历史类
637,236,云南,2025,历史类
636,259,云南,2025,历史类
635,278,云南,2025,历史类
634,303,云南,2025,历史类
633,325,云南,2025,历史类
632,343,云南,2025,历史类
631,369,云南,2025,历史类
630,400,云南,2025,历史类
629,428,云南,2025,历史类
628,462,云南,2025,历史类
627,493,云南,2025,历史类
626,529,云南,2025,历史类
625,570,云南,2025,历史类
624,604,云南,2025,历史类
623,645,云南,2025,历史类
622,679,云南,2025,历史类
621,721,云南,2025,历史类
620,767,云南,2025,历史类
619,811,云南,2025,历史类
618,862,云南,2025,历史类
617,921,云南,2025,历史类
616,984,云南,2025,历史类
615,1046,云南,2025,历史类
614,1094,云南,2025,历史类
613,1137,云南,2025,历史类
612,1199,云南,2025,历史类
611,1264,云南,2025,历史类
610,1333,云南,2025,历史类
609,1407,云南,2025,历史类
608,1485,云南,2025,历史类
607,1553,云南,2025,历史类
606,1650,云南,2025,历史类
605,1731,云南,2025,历史类
604,1819,云南,2025,历史类
603,1914,云南,2025,历史类
602,2020,云南,2025,历史类
601,2112,云南,2025,历史类
600,2215,云南,2025,历史类
599,2302,云南,2025,历史类
598,2389,云南,2025,历史类
597,2496,云南,2025,历史类
596,2591,云南,2025,历史类
595,2704,云南,2025,历史类
594,2816,云南,2025,历史类
593,2915,云南,2025,历史类
592,3053,云南,2025,历史类
591,3165,云南,2025,历史类
590,3286,云南,2025,历史类
589,3425,云南,2025,历史类
588,3570,云南,2025,历史类
587,3705,云南,2025,历史类
586,3856,云南,2025,历史类
585,3982,云南,2025,历史类
584,4152,云南,2025,历史类
583,4285,云南,2025,历史类
582,4443,云南,2025,历史类
581,4591,云南,2025,历史类
580,4735,云南,2025,历史类
579,4893,云南,2025,历史类
578,5057,云南,2025,历史类
577,5209,云南,2025,历史类
576,5366,云南,2025,历史类
575,5538,云南,2025,历史类
574,5721,云南,2025,历史类
573,5913,云南,2025,历史类
572,6067,云南,2025,历史类
571,6234,云南,2025,历史类
570,6424,云南,2025,历史类
569,6604,云南,2025,历史类
568,6805,云南,2025,历史类
567,7026,云南,2025,历史类
566,7243,云南,2025,历史类
565,7445,云南,2025,历史类
564,7644,云南,2025,历史类
563,7862,云南,2025,历史类
562,8092,云南,2025,历史类
561,8295,云南,2025,历史类
560,8524,云南,2025,历史类
559,8742,云南,2025,历史类
558,8963,云南,2025,历史类
557,9185,云南,2025,历史类
556,9401,云南,2025,历史类
555,9645,云南,2025,历史类
554,9892,云南,2025,历史类
553,10144,云南,2025,历史类
552,10410,云南,2025,历史类
551,10653,云南,2025,历史类
550,10904,云南,2025,历史类
549,11180,云南,2025,历史类
548,11404,云南,2025,历史类
547,11671,云南,2025,历史类
546,11945,云南,2025,历史类
