院校名称,省份,科类,年份,批次,最低分,最低位次,招生计划
北京大学,浙江,综合,2025,普通类一段,700,,
上海交通大学,浙江,综合,2025,普通类一段,696,,
清华大学,浙江,综合,2025,普通类一段,694,,
复旦大学,浙江,综合,2025,普通类一段,694,,
北京大学医学部,浙江,综合,2025,普通类一段,691,446,
中国科学院大学,浙江,综合,2025,普通类一段,691,446,
上海交通大学医学院,浙江,综合,2025,普通类一段,690,513,
中国人民大学,浙江,综合,2025,普通类一段,680,1617,
中国科学技术大学,浙江,综合,2025,普通类一段,675,2541,
复旦大学上海医学院,浙江,综合,2025,普通类一段,673,2969,
东南大学,浙江,综合,2025,普通类一段,661,6612,
同济大学,浙江,综合,2025,普通类一段,660,6995,
武汉大学,浙江,综合,2025,普通类一段,660,6995,
南方科技大学,浙江,综合,2025,普通类一段,660,6753,
西安交通大学,浙江,综合,2025,普通类提前批,659,7330,
浙江大学,浙江,综合,2025,普通类一段,658,7761,
北京师范大学,浙江,综合,2025,普通类一段,658,7761,
浙江大学医学院,浙江,综合,2025,普通类一段,658,7761,
华东师范大学,浙江,综合,2025,普通类提前批,658,7761,
山东大学,浙江,综合,2025,普通类提前批,658,7761,
华东师范大学,浙江,综合,2025,普通类一段,657,8163,
南京大学,浙江,综合,2025,普通类一段,656,8584,
中山大学,浙江,综合,2025,普通类一段,656,8584,
中国人民公安大学,浙江,综合,2025,普通类一段,656,8163,
宁波东方理工大学,浙江,综合,2025,普通类一段,656,8518,
北京航空航天大学,浙江,综合,2025,普通类一段,655,9037,
华南理工大学,浙江,综合,2025,普通类一段,655,9037,
南开大学,浙江,综合,2025,普通类一段,654,9488,
天津大学,浙江,综合,2025,普通类一段,654,9488,
中国社会科学院大学,浙江,综合,2025,普通类一段,653,9924,
上海财经大学,浙江,综合,2025,普通类一段,653,9924,
深圳理工大学,浙江,综合,2025,普通类一段,653,9525,
北京理工大学,浙江,综合,2025,普通类一段,652,10365,
哈尔滨工业大学,浙江,综合,2025,高校专项计划批,652,10365,
上海外国语大学,浙江,综合,2025,普通类一段,650,11301,
山东大学,浙江,综合,2025,普通类一段,650,11301,
中央财经大学,浙江,综合,2025,普通类一段,649,11784,
华东政法大学,浙江,综合,2025,普通类一段,649,11784,
湖南大学,浙江,综合,2025,普通类一段,649,11784,
电子科技大学,浙江,综合,2025,普通类一段,648,12308,
东北大学,浙江,综合,2025,普通类二段,648,12308,
北京外国语大学,浙江,综合,2025,普通类一段,647,12852,
南京理工大学,浙江,综合,2025,普通类一段,647,12852,
四川大学,浙江,综合,2025,普通类一段,647,12852,
中国政法大学,浙江,综合,2025,普通类一段,646,12981,
重庆大学,浙江,综合,2025,普通类一段,645,13941,
西北工业大学,浙江,综合,2025,普通类一段,644,14489,
北京科技大学,浙江,综合,2025,普通类一段,643,15035,
华中科技大学,浙江,综合,2025,普通类一段,643,15035,
华中师范大学,浙江,综合,2025,普通类提前批,643,15035,
北京邮电大学,浙江,综合,2025,普通类一段,642,15626,
中国农业大学,浙江,综合,2025,普通类一段,642,15626,
南京航空航天大学,浙江,综合,2025,普通类一段,642,15626,
兰州大学,浙江,综合,2025,普通类一段,642,15626,
西南大学,浙江,综合,2025,普通类提前批,641,16192,
哈尔滨工业大学,浙江,综合,2025,普通类一段,640,16817,
上海大学,浙江,综合,2025,普通类二段,640,16817,
对外经济贸易大学,浙江,综合,2025,普通类提前批,640,16817,22
大连理工大学,浙江,综合,2025,普通类一段,639,17433,
吉林大学,浙江,综合,2025,普通类一段,639,17433,
中国海洋大学,浙江,综合,2025,普通类提前批,639,17433,
东北大学,浙江,综合,2025,普通类一段,638,18134,
华东理工大学,浙江,综合,2025,普通类一段,638,18134,
香港城市大学(东莞),浙江,综合,2025,普通类一段,638,18134,
西安电子科技大学,浙江,综合,2025,普通类一段,637,18815,
西北政法大学,浙江,综合,2025,普通类一段,637,18815,
华东师范大学,浙江,综合,2025,高校专项计划批,637,18815,
对外经济贸易大学,浙江,综合,2025,普通类一段,636,19448,59
西安交通大学,浙江,综合,2025,普通类一段,636,19448,
东华大学,浙江,综合,2025,普通类一段,635,20114,
南京邮电大学,浙江,综合,2025,普通类一段,635,19687,
中国海洋大学,浙江,综合,2025,普通类一段,635,20114,
东北大学秦皇岛分校,浙江,综合,2025,普通类一段,634,20890,
中南大学,浙江,综合,2025,普通类一段,634,20890,
外交学院,浙江,综合,2025,普通类提前批,634,20890,
兰州工业学院,浙江,综合,2025,普通类二段,633,21651,
厦门大学,浙江,综合,2025,普通类一段,632,22365,
中国传媒大学,浙江,综合,2025,普通类提前批,632,22365,
苏州大学,浙江,综合,2025,普通类一段,631,23127,
上海大学,浙江,综合,2025,普通类一段,630,23836,
华东理工大学,浙江,综合,2025,高校专项计划批,630,23836,
广西大学,浙江,综合,2025,高校专项计划批,630,23836,
华北电力大学,浙江,综合,2025,普通类一段,629,24600,
天津医科大学,浙江,综合,2025,普通类一段,629,24600,
