分数,位次,省份,年份,科类
693,343,浙江,2025,综合
692,395,浙江,2025,综合
691,446,浙江,2025,综合
690,513,浙江,2025,综合
689,593,浙江,2025,综合
688,667,浙江,2025,综合
687,747,浙江,2025,综合
686,857,浙江,2025,综合
685,957,浙江,2025,综合
684,1093,浙江,2025,综合
683,1228,浙江,2025,综合
682,1346,浙江,2025,综合
681,1472,浙江,2025,综合
680,1617,浙江,2025,综合
679,1762,浙江,2025,综合
678,1934,浙江,2025,综合
677,2117,浙江,2025,综合
676,2314,浙江,2025,综合
675,2541,浙江,2025,综合
674,2741,浙江,2025,综合
673,2969,浙江,2025,综合
672,3184,浙江,2025,综合
671,3437,浙江,2025,综合
670,3718,浙江,2025,综合
669,4015,浙江,2025,综合
668,4302,浙江,2025,综合
667,4604,浙江,2025,综合
666,4910,浙江,2025,综合
665,5194,浙江,2025,综合
664,5501,浙江,2025,综合
663,5863,浙江,2025,综合
662,6226,浙江,2025,综合
661,6612,浙江,2025,综合
660,6995,浙江,2025,综合
659,7330,浙江,2025,综合
658,7761,浙江,2025,综合
657,8163,浙江,2025,综合
656,8584,浙江,2025,综合
655,9037,浙江,2025,综合
654,9488,浙江,2025,综合
653,9924,浙江,2025,综合
652,10365,浙江,2025,综合
651,10810,浙江,2025,综合
650,11301,浙江,2025,综合
649,11784,浙江,2025,综合
648,12308,浙江,2025,综合
647,12852,浙江,2025,综合
646,13406,浙江,2025,综合
645,13941,浙江,2025,综合
644,14489,浙江,2025,综合
643,15035,浙江,2025,综合
642,15626,浙江,2025,综合
641,16192,浙江,2025,综合
640,16817,浙江,2025,综合
639,17433,浙江,2025,综合
638,18134,浙江,2025,综合
637,18815,浙江,2025,综合
636,19448,浙江,2025,综合
635,20114,浙江,2025,综合
634,20890,浙江,2025,综合
633,21651,浙江,2025,综合
632,22365,浙江,2025,综合
631,23127,浙江,2025,综合
630,23836,浙江,2025,综合
629,24600,浙江,2025,综合
628,25365,浙江,2025,综合
627,26164,浙江,2025,综合
626,27005,浙江,2025,综合
625,27798,浙江,2025,综合
624,28606,浙江,2025,综合
623,29480,浙江,2025,综合
622,30381,浙江,2025,综合
621,31221,浙江,2025,综合
620,32114,浙江,2025,综合
619,33035,浙江,2025,综合
618,33926,浙江,2025,综合
617,34876,浙江,2025,综合
616,35870,浙江,2025,综合
615,36835,浙江,2025,综合
614,37785,浙江,2025,综合
613,38811,浙江,2025,综合
612,39811,浙江,2025,综合
611,40819,浙江,2025,综合
610,41842,浙江,2025,综合
609,42849,浙江,2025,综合
608,43942,浙江,2025,综合
607,45001,浙江,2025,综合
606,46041,浙江,2025,综合
605,47051,浙江,2025,综合
604,48104,浙江,2025,综合
603,49197,浙江,2025,综合
602,50295,浙江,2025,综合
601,51406,浙江,2025,综合
600,52529,浙江,2025,综合
599,53612,浙江,2025,综合
598,54726,浙江,2025,综合
597,55840,浙江,2025,综合
596,57019,浙江,2025,综合
595,58143,浙江,2025,综合
594,59273,浙江,2025,综合
593,60413,浙江,2025,综合
592,61619,浙江,2025,综合
591,62803,浙江,2025,综合
590,63956,浙江,2025,综合
589,65138,浙江,2025,综合
588,66345,浙江,2025,综合
587,67576,浙江,2025,综合
586,68790,浙江,2025,综合
585,70025,浙江,2025,综合
584,71267,浙江,2025,综合
583,72440,浙江,2025,综合
582,73645,浙江,2025,综合
581,74834,浙江,2025,综合
580,76084,浙江,2025,综合
579,77327,浙江,2025,综合
578,78531,浙江,2025,综合
577,79803,浙江,2025,综合
576,80989,浙江,2025,综合
575,82192,浙江,2025,综合
574,83385,浙江,2025,综合
573,84608,浙江,2025,综合
572,85792,浙江,2025,综合
571,87006,浙江,2025,综合
570,88225,浙江,2025,综合
569,89443,浙江,2025,综合
568,90631,浙江,2025,综合
567,91868,浙江,2025,综合
566,93029,浙江,2025,综合
565,94299,浙江,2025,综合
564,95529,浙江,2025,综合
563,96769,浙江,2025,综合
562,98035,浙江,2025,综合
561,99218,浙江,2025,综合
560,100479,浙江,2025,综合
559,101665,浙江,2025,综合
558,102929,浙江,2025,综合
557,104123,浙江,2025,综合
556,105346,浙江,2025,综合
555,106509,浙江,2025,综合
554,107736,浙江,2025,综合
553,108985,浙江,2025,综合
552,110269,浙江,2025,综合
551,111482,浙江,2025,综合
550,112672,浙江,2025,综合
549,113980,浙江,2025,综合
548,115236,浙江,2025,综合
547,116520,浙江,2025,综合
546,117730,浙江,2025,综合
545,118977,浙江,2025,综合
544,120176,浙江,2025,综合
543,121418,浙江,2025,综合
542,122712,浙江,2025,综合
541,123986,浙江,2025,综合
540,125245,浙江,2025,综合
539,126489,浙江,2025,综合
538,127702,浙江,2025,综合
537,128920,浙江,2025,综合
536,130146,浙江,2025,综合
535,131398,浙江,2025,综合
534,132625,浙江,2025,综合
533,133791,浙江,2025,综合
532,135046,浙江,2025,综合
531,136302,浙江,2025,综合
530,137576,浙江,2025,综合
529,138775,浙江,2025,综合
528,139942,浙江,2025,综合
527,141125,浙江,2025,综合
526,142327,浙江,2025,综合
525,143456,浙江,2025,综合
524,144669,浙江,2025,综合
523,145937,浙江,2025,综合
522,147124,浙江,2025,综合
521,148397,浙江,2025,综合
520,149572,浙江,2025,综合
519,150846,浙江,2025,综合
518,152037,浙江,2025,综合
517,153310,浙江,2025,综合
516,154495,浙江,2025,综合
515,155707,浙江,2025,综合
514,156842,浙江,2025,综合
513,158030,浙江,2025,综合
512,159194,浙江,2025,综合
511,160384,浙江,2025,综合
510,161593,浙江,2025,综合
509,162728,浙江,2025,综合
508,163898,浙江,2025,综合
507,165101,浙江,2025,综合
506,166262,浙江,2025,综合
505,167421,浙江,2025,综合
504,168593,浙江,2025,综合
503,169717,浙江,2025,综合
502,170889,浙江,2025,综合
501,172010,浙江,2025,综合
500,173134,浙江,2025,综合
499,174362,浙江,2025,综合
498,175451,浙江,2025,综合
497,176563,浙江,2025,综合
496,177704,浙江,2025,综合
495,178870,浙江,2025,综合
494,180003,浙江,2025,综合
493,181112,浙江,2025,综合
492,182258,浙江,2025,综合
491,183301,浙江,2025,综合
490,184372,浙江,2025,综合
489,185464,浙江,2025,综合
488,186576,浙江,2025,综合
487,187636,浙江,2025,综合
486,188688,浙江,2025,综合
485,189770,浙江,2025,综合
484,190798,浙江,2025,综合
483,191901,浙江,2025,综合
482,192932,浙江,2025,综合
481,193949,浙江,2025,综合
480,194962,浙江,2025,综合
479,195964,浙江,2025,综合
478,196959,浙江,2025,综合
477,197988,浙江,2025,综合
476,198979,浙江,2025,综合
475,199963,浙江,2025,综合
474,200964,浙江,2025,综合
473,201929,浙江,2025,综合
472,202888,浙江,2025,综合
471,203848,浙江,2025,综合
470,204772,浙江,2025,综合
469,205725,浙江,2025,综合
468,206643,浙江,2025,综合
467,207623,浙江,2025,综合
466,208543,浙江,2025,综合
465,209501,浙江,2025,综合
464,210412,浙江,2025,综合
463,211325,浙江,2025,综合
462,212196,浙江,2025,综合
461,213063,浙江,2025,综合
460,213914,浙江,2025,综合
459,214791,浙江,2025,综合
458,215635,浙江,2025,综合
457,216518,浙江,2025,综合
456,217387,浙江,2025,综合
455,218243,浙江,2025,综合
454,219114,浙江,2025,综合
453,219976,浙江,2025,综合
452,220779,浙江,2025,综合
451,221591,浙江,2025,综合
450,222417,浙江,2025,综合
449,223225,浙江,2025,综合
448,223981,浙江,2025,综合
447,224734,浙江,2025,综合
446,225499,浙江,2025,综合
445,226282,浙江,2025,综合
444,227042,浙江,2025,综合
443,227812,浙江,2025,综合
442,228586,浙江,2025,综合
441,229313,浙江,2025,综合
440,230003,浙江,2025,综合
439,230723,浙江,2025,综合
438,231464,浙江,2025,综合
437,232172,浙江,2025,综合
436,232866,浙江,2025,综合
435,233553,浙江,2025,综合
434,234254,浙江,2025,综合
433,234973,浙江,2025,综合
432,235618,浙江,2025,综合
431,236330,浙江,2025,综合
430,237023,浙江,2025,综合
429,237729,浙江,2025,综合
428,238373,浙江,2025,综合
427,239016,浙江,2025,综合
426,239687,浙江,2025,综合
425,240350,浙江,2025,综合
424,240966,浙江,2025,综合
423,241578,浙江,2025,综合
422,242196,浙江,2025,综合
421,242810,浙江,2025,综合
420,243458,浙江,2025,综合
419,244106,浙江,2025,综合
418,244670,浙江,2025,综合
417,245257,浙江,2025,综合
416,245828,浙江,2025,综合
415,246361,浙江,2025,综合
414,246944,浙江,2025,综合
413,247511,浙江,2025,综合
412,248049,浙江,2025,综合
411,248653,浙江,2025,综合
410,249217,浙江,2025,综合
409,249784,浙江,2025,综合
408,250301,浙江,2025,综合
407,250871,浙江,2025,综合
406,251460,浙江,2025,综合
405,252007,浙江,2025,综合
404,252525,浙江,2025,综合
403,253041,浙江,2025,综合
402,253541,浙江,2025,综合
401,254038,浙江,2025,综合
400,254556,浙江,2025,综合
399,255080,浙江,2025,综合
398,255601,浙江,2025,综合
397,256075,浙江,2025,综合
396,256610,浙江,2025,综合
395,257072,浙江,2025,综合
394,257570,浙江,2025,综合
393,258075,浙江,2025,综合
392,258581,浙江,2025,综合
391,259043,浙江,2025,综合
390,259516,浙江,2025,综合
389,259978,浙江,2025,综合
388,260443,浙江,2025,综合
387,260880,浙江,2025,综合
386,261338,浙江,2025,综合
385,261742,浙江,2025,综合
384,262176,浙江,2025,综合
383,262587,浙江,2025,综合
382,262997,浙江,2025,综合
381,263435,浙江,2025,综合
380,263831,浙江,2025,综合
379,264239,浙江,2025,综合
378,264679,浙江,2025,综合
377,265112,浙江,2025,综合
376,265510,浙江,2025,综合
375,265874,浙江,2025,综合
374,266301,浙江,2025,综合
373,266694,浙江,2025,综合
372,267094,浙江,2025,综合
371,267453,浙江,2025,综合
370,267852,浙江,2025,综合
369,268219,浙江,2025,综合
368,268589,浙江,2025,综合
367,268957,浙江,2025,综合
366,269302,浙江,2025,综合
365,269638,浙江,2025,综合
364,269985,浙江,2025,综合
363,270323,浙江,2025,综合
362,270643,浙江,2025,综合
361,271007,浙江,2025,综合
360,271338,浙江,2025,综合
359,271649,浙江,2025,综合
358,271962,浙江,2025,综合
357,272276,浙江,2025,综合
356,272569,浙江,2025,综合
355,272872,浙江,2025,综合
354,273173,浙江,2025,综合
353,273471,浙江,2025,综合
352,273778,浙江,2025,综合
351,274079,浙江,2025,综合
350,274352,浙江,2025,综合
349,274638,浙江,2025,综合
348,274899,浙江,2025,综合
347,275176,浙江,2025,综合
346,275431,浙江,2025,综合
345,275694,浙江,2025,综合
344,275924,浙江,2025,综合
343,276178,浙江,2025,综合
342,276393,浙江,2025,综合
341,276665,浙江,2025,综合
340,276910,浙江,2025,综合
339,277145,浙江,2025,综合
338,277370,浙江,2025,综合
337,277611,浙江,2025,综合
336,277875,浙江,2025,综合
335,278127,浙江,2025,综合
334,278355,浙江,2025,综合
333,278589,浙江,2025,综合
332,278804,浙江,2025,综合
331,279033,浙江,2025,综合
330,279255,浙江,2025,综合
329,279463,浙江,2025,综合
328,279691,浙江,2025,综合
327,279897,浙江,2025,综合
326,280087,浙江,2025,综合
325,280273,浙江,2025,综合
324,280462,浙江,2025,综合
323,280660,浙江,2025,综合
322,280867,浙江,2025,综合
321,281068,浙江,2025,综合
320,281260,浙江,2025,综合
319,281429,浙江,2025,综合
318,281606,浙江,2025,综合
317,281801,浙江,2025,综合
316,282005,浙江,2025,综合
315,282170,浙江,2025,综合
314,282361,浙江,2025,综合
313,282523,浙江,2025,综合
312,282713,浙江,2025,综合
311,282878,浙江,2025,综合
310,283024,浙江,2025,综合
309,283214,浙江,2025,综合
308,283394,浙江,2025,综合
307,283553,浙江,2025,综合
306,283713,浙江,2025,综合
305,283870,浙江,2025,综合
304,284013,浙江,2025,综合
303,284167,浙江,2025,综合
302,284326,浙江,2025,综合
301,284495,浙江,2025,综合
300,284669,浙江,2025,综合
299,284843,浙江,2025,综合
298,285020,浙江,2025,综合
297,285185,浙江,2025,综合
296,285368,浙江,2025,综合
295,285523,浙江,2025,综合
294,285713,浙江,2025,综合
293,285883,浙江,2025,综合
292,286060,浙江,2025,综合
291,286237,浙江,2025,综合
290,286447,浙江,2025,综合
289,286625,浙江,2025,综合
288,286787,浙江,2025,综合
287,286965,浙江,2025,综合
286,287136,浙江,2025,综合
285,287324,浙江,2025,综合
