uni_code,name,prov,city,level,kind,nature
8925,三亚护理职业学院,海南,,民办/独立学院,,民办
5575,三明学院,福建,,普通本科,,公办
8457,上海东海职业技术学院,上海,,民办/独立学院,,民办
2570,上海中医药大学,上海,,普通本科,,公办
8447,上海交通职业技术学院,上海,,普通本科,,公办
15,上海体育大学,上海,,普通本科,,公办
8450,上海农林职业技术学院,上海,,普通本科,,公办
7431,上海南湖职业技术学院,上海,,普通本科,,公办
5605,上海商学院,上海,,普通本科,,公办
1805,上海对外经贸大学,上海,,普通本科,,公办
8458,上海工商外国语职业学院,上海,,民办/独立学院,,民办
8453,上海工商职业技术学院,上海,,民办/独立学院,,民办
2390,上海师范大学,上海,,普通本科,,公办
8465,上海建设管理职业技术学院,上海,,普通本科,,公办
9919,上海戏剧学院,上海,,普通本科,,公办
5610,上海政法学院,上海,,普通本科,,公办
7117,上海旅游高等专科学校,上海,,普通本科,,公办
7608,上海杉达学院,上海,,民办/独立学院,,民办
8880,上海浦东职业技术学院,上海,,普通本科,,公办
2860,上海海事大学,上海,,普通本科,,公办
2875,上海海洋大学,上海,,普通本科,,公办
8464,上海现代化工职业学院,上海,,普通本科,,公办
1795,上海理工大学,上海,,普通本科,,公办
2925,上海立信会计金融学院,上海,,普通本科,,公办
7501,上海第二工业大学,上海,,普通本科,,公办
8442,上海行健职业学院,上海,,普通本科,,公办
1445,上海财经大学,上海,,211,,公办
8455,上海邦德职业技术学院,上海,,民办/独立学院,,民办
8463,上海闵行职业技术学院,上海,,普通本科,,公办
9832,上海震旦职业学院,上海,,民办/独立学院,,民办
1405,东北师范大学,吉林,,211,,公办
1385,东北林业大学,黑龙江,,211,,公办
2235,东北电力大学,吉林,,普通本科,,公办
2375,东北石油大学,黑龙江,,普通本科,,公办
4275,东华理工大学,江西,,普通本科,,公办
6607,东南大学成贤学院,江苏,,民办/独立学院,,民办
8723,东莞职业技术学院,广东,,普通本科,,公办
2530,中北大学,山西,,普通本科,,公办
3100,中华女子学院,北京,,普通本科,,公办
1210,中南大学,湖南,,985,,公办
2800,中南林业科技大学,湖南,,普通本科,,公办
6115,中原工学院,henan,,普通本科,,公办
110,中国人民公安大学,北京,,普通本科,,公办
1470,中国传媒大学,北京,,211,,公办
115,中国刑事警察学院,辽宁,,普通本科,,公办
3035,中国劳动关系学院,北京,,普通本科,,公办
1335,中国地质大学(北京),北京,,211,,公办
1340,中国地质大学(武汉),湖北,,211,,公办
3060,中国民用航空飞行学院,四川,,普通本科,,公办
2215,中国民航大学,天津,,普通本科,,公办
1330,中国海洋大学,山东,,985,,公办
3085,中国消防救援学院,北京,,普通本科,,公办
1295,中国石油大学(北京),北京,,211,,公办
1296,中国石油大学(北京)克拉玛依校区,新疆,,211,,公办
1300,中国石油大学(华东),山东,,211,,公办
6812,中国矿业大学徐海学院,江苏,,民办/独立学院,,民办
2290,中国计量大学,浙江,,普通本科,,公办
9901,中央戏剧学院,北京,,普通本科,,公办
1100,中央民族大学,北京,,985,,公办
9902,中央美术学院,北京,,普通本科,,公办
1460,中央财经大学,北京,,211,,公办
9441,临汾职业技术学院,山西,,普通本科,,公办
4475,临沂大学,山东,,普通本科,,公办
